,close,high,low,open,volume
1602489600,120.2,120.95,118.55,118.55,3629
1602493200,119.75,120.34,119.74,120.15,942
1602496800,120.5,120.59,119.78,119.82,1031
1602500400,120.77,120.84,120.03,120.41,7100
1602504000,120.58,121.0,117.26,120.36,18068
1602507600,120.45,121.49,119.28,120.57,294804
1602511200,121.78,121.82,120.19,120.45,217559
1602514800,122.71,123.63,121.78,121.78,338575
1602518400,123.55,123.75,122.57,122.72,235272
1602522000,124.3,124.48,123.35,123.56,230203
1602525600,124.29,125.18,124.16,124.3,309600
1602529200,124.42,124.66,123.62,124.3,340267
1602532800,124.54,124.75,124.3,124.4,170529
1602536400,124.95,124.95,124.53,124.54,4253
1602540000,124.67,124.98,124.63,124.94,4557
1602543600,124.92,124.98,124.67,124.7,4339
1602576000,126.05,126.18,124.5,124.84,2778
1602579600,126.97,126.99,125.89,126.06,2134
1602583200,126.5,127.32,126.21,126.97,3678
1602586800,126.23,126.6,124.4,126.5,12858
1602590400,125.81,126.6,125.3,125.9,25675
1602594000,122.87,125.83,121.52,125.81,343152
1602597600,123.53,123.92,122.51,122.87,281108
1602601200,123.73,124.74,123.14,123.53,251598
1602604800,122.64,123.76,122.2,123.73,201371
1602608400,120.39,123.68,119.65,122.62,525216
1602612000,121.32,121.46,119.87,120.39,331213
1602615600,121.05,122.2,121.03,121.32,278581
1602619200,120.85,122.4,120.55,121.1,110074
1602622800,120.95,121.07,120.7,120.82,3349
1602626400,121.22,121.48,120.88,120.94,4099
1602630000,121.29,121.44,121.19,121.27,2935
1602662400,122.19,122.57,121.31,121.55,1137
1602666000,121.35,122.31,121.28,122.25,586
1602669600,120.9,121.57,120.6,121.42,941
1602673200,121.42,121.6,120.73,121.06,4133
1602676800,121.28,121.6,120.73,120.85,9205
1602680400,122.68,123.03,120.04,121.29,238378
1602684000,122.12,122.82,121.18,122.69,227951
1602687600,120.82,122.27,120.72,122.13,154605
1602691200,120.28,121.33,119.71,120.83,188689
1602694800,120.55,120.77,119.62,120.28,134631
1602698400,121.19,121.37,120.5,120.54,144993
1602702000,121.18,122.0,121.03,121.18,201424
1602705600,120.76,121.25,120.7,121.18,82557
1602709200,120.88,120.92,120.65,120.78,1183
1602712800,120.9,121.18,120.71,120.89,2014
1602716400,120.81,121.2,120.76,120.9,1498
1602748800,117.83,119.8,117.25,119.58,2344
1602752400,118.0,118.19,117.34,117.75,1808
1602756000,118.4,118.88,117.91,118.0,1044
1602759600,118.89,119.11,118.3,118.5,6531
1602763200,118.77,121.49,118.32,118.85,12978
1602766800,120.2,120.64,118.15,118.83,165948
1602770400,119.74,120.38,119.01,120.18,183160
1602774000,120.29,120.39,119.17,119.74,124817
1602777600,119.81,120.65,119.55,120.28,108085
1602781200,120.34,120.44,119.39,119.81,86667
1602784800,120.67,120.81,120.2,120.34,94629
1602788400,120.75,121.2,120.57,120.66,167847
1602792000,120.65,120.75,120.5,120.71,70063
1602795600,120.85,120.9,120.6,120.63,4713
1602799200,120.93,121.1,120.81,120.85,1691
1602802800,121.0,121.15,120.92,120.98,2087
1602835200,121.47,121.5,120.91,121.06,573
1602838800,120.95,121.5,120.73,121.4,381
