,close,high,low,open,volume
1600156800,116.59,116.65,116.11,116.54,228
1600157400,116.5,116.59,116.2,116.54,80
1600158000,116.85,116.86,116.58,116.58,64
1600158600,116.96,116.96,116.7,116.83,54
1600159200,117.21,117.22,116.98,116.98,146
1600159800,117.19,117.22,117.02,117.18,91
1600160400,117.15,117.35,117.08,117.19,111
1600161000,117.2,117.29,117.15,117.15,67
1600161600,117.48,117.48,117.14,117.19,77
1600162200,117.37,117.5,117.35,117.45,53
1600162800,117.56,117.56,117.36,117.36,59
1600163400,117.49,117.65,117.45,117.55,172
1600164000,117.25,117.55,117.25,117.55,188
1600164600,117.1,117.31,117.1,117.26,132
1600165200,117.07,117.1,116.65,117.1,228
1600165800,117.08,117.2,117.0,117.09,88
1600166400,117.4,117.4,117.06,117.15,106
1600167000,117.48,117.6,117.4,117.4,148
1600167600,117.3,117.59,117.0,117.51,1255
1600168200,117.4,117.5,117.25,117.3,556
1600168800,117.47,117.48,117.25,117.43,437
1600169400,117.83,117.89,117.44,117.47,1407
1600170000,117.82,117.84,117.68,117.84,731
1600170600,117.54,117.75,117.5,117.74,769
1600171200,117.7,117.89,117.0,117.55,4188
1600171800,117.64,117.8,117.56,117.67,1233
1600172400,117.52,117.73,117.45,117.67,1053
1600173000,117.89,117.94,117.52,117.53,2169
1600173600,118.03,118.13,117.89,117.89,3504
1600174200,118.25,118.48,118.02,118.03,3818
1600174800,118.59,118.7,118.25,118.25,4935
1600175400,118.69,118.7,118.48,118.59,2757
1600176000,118.33,118.88,118.21,118.67,3697
1600176600,117.79,118.83,117.43,118.39,88919
1600177200,117.97,118.15,117.23,117.79,58218
1600177800,118.04,118.29,117.78,117.97,44422
1600178400,117.66,118.09,117.36,118.04,36758
1600179000,116.92,117.84,116.82,117.66,37772
1600179600,116.73,116.97,116.07,116.94,52020
1600180200,116.31,116.81,116.22,116.74,27931
1600180800,116.27,116.32,115.64,116.3,37435
1600181400,116.48,116.58,116.07,116.25,26140
1600182000,117.45,117.45,116.26,116.49,41419
1600182600,117.26,117.53,117.05,117.45,34493
1600183200,117.15,117.29,116.93,117.26,17994
1600183800,117.42,117.57,117.12,117.15,22371
1600184400,117.25,117.48,117.08,117.43,16872
1600185000,117.4,117.45,116.95,117.25,20547
1600185600,117.64,117.81,117.34,117.41,26717
1600186200,117.68,117.74,117.38,117.64,16001
1600186800,117.45,117.7,117.13,117.68,20991
1600187400,117.43,117.56,117.22,117.44,15305
1600188000,117.64,117.76,117.42,117.43,20713
1600188600,117.86,118.11,117.55,117.63,30263
1600189200,117.21,118.2,116.76,117.86,63118
1600189800,117.16,117.63,117.05,117.22,36228
