,close,high,low,open,volume
1601280000,113.93,114.0,113.8,113.8,66
1601280060,114.0,114.0,113.9,113.98,58
1601280120,114.0,114.0,113.99,113.99,68
1601280180,113.85,113.95,113.85,113.95,10
1601280240,113.7,113.81,113.7,113.81,6
1601280300,113.78,113.8,113.73,113.73,11
1601280360,113.8,113.89,113.8,113.85,9
1601280420,113.88,113.88,113.88,113.88,1
1601280480,113.9,113.9,113.82,113.88,12
1601280540,114.0,114.0,113.83,113.9,52
1601280600,114.3,114.32,114.0,114.0,53
1601280660,114.3,114.3,114.25,114.3,44
1601280720,114.31,114.32,114.3,114.31,28
1601280780,114.3,114.3,114.29,114.29,3
1601280840,114.25,114.26,114.25,114.26,2
1601280900,114.18,114.18,114.18,114.18,7
1601280960,114.2,114.2,114.19,114.2,4
1601281020,114.12,114.24,114.12,114.24,7
1601281080,114.13,114.17,114.13,114.17,3
1601281140,114.12,114.12,114.12,114.12,1
1601281200,114.2,114.2,114.16,114.16,5
1601281260,114.24,114.24,114.2,114.2,9
1601281320,114.3,114.31,114.3,114.3,6
1601281380,114.27,114.3,114.27,114.3,7
1601281440,114.27,114.27,114.27,114.27,0
1601281500,114.17,114.17,114.17,114.17,2
1601281560,114.17,114.17,114.17,114.17,0
1601281620,114.17,114.17,114.17,114.17,0
1601281680,114.18,114.22,114.18,114.22,4
1601281740,114.17,114.22,114.17,114.22,5
1601281800,114.17,114.28,114.17,114.28,5
1601281860,114.17,114.17,114.17,114.17,14
1601281920,114.3,114.3,114.27,114.27,8
1601281980,114.35,114.35,114.23,114.23,32
1601282040,114.4,114.4,114.4,114.4,1
1601282100,114.38,114.38,114.38,114.38,1
1601282160,114.37,114.37,114.37,114.37,1
1601282220,114.36,114.36,114.36,114.36,1
1601282280,114.36,114.36,114.36,114.36,0
1601282340,114.36,114.36,114.31,114.31,28
1601282400,114.36,114.42,114.35,114.36,8
1601282460,114.36,114.36,114.36,114.36,13
1601282520,114.32,114.35,114.32,114.35,5
1601282580,114.32,114.32,114.32,114.32,1
1601282640,114.32,114.32,114.32,114.32,3
1601282700,114.25,114.28,114.25,114.28,8
1601282760,114.21,114.23,114.21,114.23,10
1601282820,114.21,114.21,114.21,114.21,1
1601282880,114.21,114.21,114.21,114.21,0
1601282940,114.25,114.28,114.25,114.28,6
1601283000,114.25,114.28,114.25,114.28,17
1601283060,114.25,114.25,114.25,114.25,1
1601283120,114.25,114.25,114.25,114.25,0
1601283180,114.27,114.27,114.27,114.27,1
1601283240,114.15,114.2,114.15,114.2,5
1601283300,114.18,114.23,114.18,114.23,12
1601283360,114.19,114.19,114.19,114.19,4
1601283420,114.27,114.27,114.26,114.26,2
1601283480,114.19,114.29,114.19,114.25,16
1601283540,114.19,114.19,114.19,114.19,0
1601283600,114.27,114.27,114.2,114.2,7
1601283660,114.32,114.32,114.27,114.27,13
1601283720,114.32,114.32,114.32,114.32,6
1601283780,114.32,114.32,114.32,114.32,0
1601283840,114.32,114.32,114.32,114.32,0
1601283900,114.32,114.32,114.26,114.26,2
1601283960,114.3,114.3,114.3,114.3,1
1601284020,114.29,114.29,114.29,114.29,2
1601284080,114.29,114.29,114.29,114.29,0
1601284140,114.31,114.31,114.31,114.31,1
1601284200,114.25,114.35,114.25,114.35,9
1601284260,114.2,114.2,114.2,114.2,2
1601284320,114.2,114.2,114.2,114.2,0
1601284380,114.25,114.25,114.25,114.25,1
1601284440,114.25,114.25,114.25,114.25,2
1601284500,114.21,114.25,114.21,114.21,4
1601284560,114.22,114.22,114.22,114.22,2
1601284620,114.3,114.3,114.25,114.25,9
1601284680,114.3,114.3,114.3,114.3,0
1601284740,114.3,114.3,114.3,114.3,0
1601284800,114.3,114.33,114.3,114.3,5
1601284860,114.35,114.35,114.35,114.35,2
1601284920,114.35,114.35,114.35,114.35,0
1601284980,114.31,114.33,114.31,114.33,2
1601285040,114.31,114.31,114.31,114.31,2
1601285100,114.31,114.33,114.31,114.33,13
1601285160,114.31,114.31,114.31,114.31,0
1601285220,114.31,114.31,114.31,114.31,0
1601285280,114.31,114.31,114.31,114.31,0
1601285340,114.3,114.3,114.3,114.3,1
1601285400,114.35,114.35,114.25,114.27,10
1601285460,114.35,114.37,114.27,114.27,17
1601285520,114.4,114.4,114.36,114.36,7
1601285580,114.4,114.4,114.4,114.4,1
1601285640,114.35,114.35,114.35,114.35,1
1601285700,114.36,114.36,114.36,114.36,1
1601285760,114.35,114.35,114.35,114.35,1
1601285820,114.35,114.35,114.35,114.35,0
1601285880,114.35,114.35,114.35,114.35,0
1601285940,114.22,114.28,114.22,114.28,24
1601286000,114.23,114.28,114.23,114.28,21
1601286060,114.25,114.25,114.22,114.23,58
1601286120,114.26,114.33,114.26,114.32,11
1601286180,114.3,114.31,114.3,114.31,11
1601286240,114.3,114.3,114.3,114.3,0
1601286300,114.28,114.28,114.28,114.28,5
1601286360,114.28,114.28,114.28,114.28,0
1601286420,114.29,114.29,114.28,114.28,9
1601286480,114.29,114.29,114.29,114.29,0
1601286540,114.29,114.29,114.29,114.29,1
1601286600,114.29,114.29,114.29,114.29,0
1601286660,114.3,114.3,114.3,114.3,2
1601286720,114.27,114.29,114.27,114.29,3
1601286780,114.3,114.3,114.2,114.21,10
1601286840,114.3,114.3,114.3,114.3,0
1601286900,114.27,114.27,114.27,114.27,1
1601286960,114.26,114.27,114.26,114.27,8
1601287020,114.26,114.3,114.26,114.26,7
1601287080,114.26,114.26,114.26,114.26,1
1601287140,114.26,114.26,114.26,114.26,0
1601287200,114.26,114.26,114.26,114.26,0
1601287260,114.21,114.21,114.21,114.21,3
1601287320,114.18,114.18,114.18,114.18,6
1601287380,114.4,114.57,114.25,114.25,288
1601287440,114.53,114.53,114.33,114.45,26
1601287500,114.41,114.56,114.41,114.46,7
1601287560,114.43,114.43,114.43,114.43,1
1601287620,114.48,114.48,114.43,114.43,6
1601287680,114.43,114.46,114.43,114.46,4
1601287740,114.58,114.58,114.46,114.46,281
1601287800,114.5,114.59,114.5,114.54,15
1601287860,114.53,114.56,114.53,114.56,12
1601287920,114.54,114.54,114.5,114.5,18
1601287980,114.43,114.54,114.43,114.54,30
1601288040,114.5,114.5,114.46,114.48,31
1601288100,114.5,114.5,114.5,114.5,0
1601288160,114.42,114.48,114.42,114.48,4
1601288220,114.6,114.8,114.48,114.48,61
1601288280,114.76,114.8,114.64,114.65,14
1601288340,114.78,114.8,114.67,114.73,18
1601288400,114.66,114.78,114.66,114.78,40
1601288460,114.7,114.7,114.66,114.66,14
1601288520,114.74,114.74,114.74,114.74,1
1601288580,114.63,114.67,114.63,114.67,4
1601288640,114.72,114.72,114.72,114.72,1
1601288700,114.63,114.65,114.63,114.65,3
1601288760,114.68,114.68,114.63,114.65,5
1601288820,114.6,114.6,114.6,114.6,1
1601288880,114.65,114.65,114.6,114.61,31
1601288940,114.64,114.65,114.56,114.65,23
1601289000,114.58,114.8,114.58,114.64,34
1601289060,114.58,114.58,114.58,114.58,10
1601289120,114.65,114.68,114.61,114.61,49
1601289180,114.68,114.7,114.68,114.69,6
1601289240,114.68,114.68,114.68,114.68,0
1601289300,114.68,114.68,114.68,114.68,0
1601289360,114.7,114.7,114.68,114.68,8
1601289420,114.78,114.79,114.7,114.75,21
1601289480,114.7,114.71,114.7,114.71,4
1601289540,114.7,114.71,114.7,114.71,5
1601289600,114.7,114.7,114.7,114.7,1
1601289660,114.8,114.8,114.73,114.78,40
1601289720,114.81,114.81,114.81,114.81,1
1601289780,114.73,114.73,114.73,114.73,2
1601289840,114.64,114.81,114.64,114.79,25
1601289900,114.72,114.72,114.62,114.62,5
1601289960,114.72,114.72,114.72,114.72,0
1601290020,114.66,114.7,114.65,114.66,17
1601290080,114.66,114.66,114.66,114.66,1
1601290140,114.75,114.75,114.65,114.65,36
1601290200,114.8,114.88,114.8,114.82,64
1601290260,114.85,114.9,114.75,114.81,28
1601290320,114.82,114.82,114.82,114.82,1
1601290380,114.84,114.84,114.81,114.81,7
1601290440,114.76,114.76,114.76,114.76,1
1601290500,114.73,114.73,114.7,114.71,15
1601290560,114.7,114.74,114.7,114.74,12
1601290620,114.65,114.68,114.65,114.68,3
1601290680,114.7,114.7,114.69,114.69,12
1601290740,114.7,114.7,114.7,114.7,0
1601290800,114.35,114.85,114.35,114.6,750
1601290860,114.4,114.48,114.35,114.39,331
1601290920,114.53,114.53,114.39,114.4,315
1601290980,114.6,114.61,114.49,114.53,248
1601291040,114.61,114.65,114.57,114.6,273
1601291100,114.71,114.74,114.6,114.62,169
1601291160,114.8,114.81,114.7,114.71,179
1601291220,114.78,114.8,114.74,114.77,88
1601291280,114.84,114.87,114.75,114.76,209
1601291340,114.8,114.85,114.8,114.85,98
1601291400,114.84,114.9,114.75,114.75,113
1601291460,114.82,114.85,114.79,114.85,58
1601291520,114.88,114.89,114.82,114.82,52
1601291580,114.86,114.88,114.85,114.88,23
1601291640,114.9,114.94,114.84,114.86,114
1601291700,114.96,114.96,114.89,114.9,243
1601291760,115.02,115.02,114.96,114.96,609
1601291820,115.02,115.05,115.01,115.05,87
1601291880,114.81,115.01,114.8,115.01,435
1601291940,114.89,114.9,114.74,114.81,137
1601292000,114.95,114.95,114.89,114.9,150
1601292060,114.91,114.98,114.91,114.96,27
1601292120,114.97,115.0,114.95,114.95,49
1601292180,115.05,115.1,114.92,114.95,134
1601292240,115.0,115.02,114.95,115.02,89
1601292300,115.05,115.05,115.03,115.03,21
1601292360,115.06,115.06,115.03,115.03,22
1601292420,115.09,115.1,115.05,115.06,58
1601292480,114.99,115.08,114.99,115.07,79
1601292540,114.94,114.96,114.88,114.96,55
1601292600,114.99,115.0,114.93,114.94,72
1601292660,114.98,114.99,114.96,114.99,9
1601292720,115.03,115.05,114.96,114.96,66
1601292780,115.02,115.02,114.99,115.01,71
1601292840,115.03,115.04,115.01,115.02,16
1601292900,114.95,115.02,114.95,115.02,85
1601292960,114.98,114.99,114.97,114.98,28
1601293020,114.97,114.99,114.97,114.98,10
1601293080,114.99,115.0,114.94,114.95,61
1601293140,115.0,115.02,115.0,115.0,33
1601293200,115.0,115.0,114.96,115.0,91
1601293260,115.0,115.0,114.97,115.0,58
1601293320,115.02,115.02,114.99,115.0,105
1601293380,115.05,115.05,115.0,115.0,112
1601293440,115.0,115.04,115.0,115.04,15
1601293500,114.94,115.0,114.93,115.0,165
1601293560,114.95,114.99,114.95,114.95,69
1601293620,114.99,115.0,114.96,114.99,19
1601293680,114.96,114.99,114.96,114.99,74
1601293740,114.93,114.97,114.93,114.97,10
1601293800,114.96,114.96,114.93,114.93,9
1601293860,114.97,114.98,114.93,114.96,176
1601293920,115.05,115.06,114.97,114.97,337
1601293980,115.14,115.18,115.05,115.05,311
1601294040,115.07,115.17,115.07,115.13,108
1601294100,115.15,115.15,115.06,115.07,92
1601294160,115.23,115.25,115.15,115.15,152
1601294220,115.34,115.34,115.23,115.23,242
1601294280,115.38,115.41,115.3,115.3,192
1601294340,115.4,115.45,115.32,115.35,190
1601294400,115.32,115.43,114.35,115.41,4848
1601294460,115.21,115.38,115.21,115.35,211
1601294520,115.26,115.31,115.21,115.22,104
1601294580,115.32,115.33,115.25,115.29,205
1601294640,115.33,115.33,115.3,115.3,154
1601294700,115.4,115.48,115.32,115.33,198
1601294760,115.43,115.5,115.39,115.47,240
1601294820,115.42,115.45,115.42,115.43,99
1601294880,115.45,115.45,115.41,115.43,119
1601294940,115.38,115.45,115.38,115.45,100
1601295000,115.33,115.4,115.32,115.4,203
1601295060,115.35,115.35,115.32,115.35,99
1601295120,115.32,115.35,115.32,115.35,174
1601295180,115.3,115.33,115.29,115.32,191
1601295240,115.32,115.34,115.29,115.29,218
1601295300,115.35,115.4,115.32,115.32,132
1601295360,115.36,115.36,115.33,115.35,65
1601295420,115.35,115.39,115.32,115.35,53
1601295480,115.36,115.36,115.33,115.33,72
1601295540,115.41,115.44,115.36,115.37,143
1601295600,115.46,115.48,115.43,115.43,299
1601295660,115.49,115.49,115.45,115.45,77
1601295720,115.47,115.5,115.46,115.48,155
1601295780,115.49,115.5,115.43,115.47,121
1601295840,115.45,115.49,115.45,115.46,64
1601295900,115.35,115.47,115.31,115.45,235
1601295960,115.38,115.42,115.31,115.32,107
1601296020,115.29,115.4,115.29,115.38,141
1601296080,115.25,115.31,115.24,115.31,182
1601296140,115.21,115.28,115.21,115.24,76
1601296200,115.33,115.47,115.25,115.25,169
1601296260,115.36,115.42,115.36,115.37,62
1601296320,115.31,115.37,115.29,115.36,86
1601296380,115.34,115.35,115.29,115.29,58
1601296440,115.36,115.39,115.33,115.33,76
1601296500,115.38,115.4,115.33,115.39,96
1601296560,115.33,115.38,115.33,115.37,115
1601296620,115.21,115.31,115.21,115.3,163
1601296680,115.2,115.22,115.16,115.21,123
1601296740,115.25,115.25,115.13,115.16,201
1601296800,115.17,115.25,115.15,115.2,122
1601296860,115.12,115.2,115.12,115.2,55
1601296920,115.15,115.15,115.08,115.1,222
1601296980,115.15,115.18,115.13,115.16,69
1601297040,115.23,115.25,115.14,115.14,99
1601297100,115.21,115.23,115.17,115.2,53
1601297160,115.26,115.31,115.22,115.24,155
1601297220,115.35,115.35,115.28,115.28,112
1601297280,115.34,115.39,115.34,115.35,195
1601297340,115.2,115.34,115.2,115.34,180
1601297400,115.29,115.29,115.17,115.24,96
1601297460,115.29,115.29,115.28,115.29,6
1601297520,115.29,115.31,115.29,115.29,35
1601297580,115.32,115.35,115.28,115.28,181
1601297640,115.28,115.33,115.28,115.33,51
1601297700,115.27,115.31,115.27,115.3,71
1601297760,115.23,115.28,115.23,115.27,51
1601297820,115.24,115.26,115.23,115.24,30
1601297880,115.1,115.22,115.07,115.21,253
1601297940,115.15,115.15,115.08,115.08,152
1601298000,115.16,115.25,115.13,115.16,342
1601298060,115.16,115.21,115.14,115.16,142
