,close,high,low,open,volume
1602236700,144.0,144.0,144.0,144.0,1
1602237600,144.0,144.0,144.0,144.0,0
1602238500,144.0,144.0,144.0,144.0,0
1602239400,144.0,144.0,144.0,144.0,0
1602240300,144.0,144.0,144.0,144.0,0
1602241200,144.0,144.0,144.0,144.0,0
1602242100,144.0,144.0,144.0,144.0,0
1602243000,144.06,144.06,144.06,144.06,1
1602243900,144.4,144.4,144.4,144.4,1
1602244800,144.3,145.0,144.25,144.99,6
1602245700,144.42,144.42,144.42,144.42,1
1602246600,144.45,144.45,144.45,144.45,5
1602247500,144.5,144.5,144.2,144.31,5
1602248400,144.54,144.55,144.5,144.55,4
1602249300,144.5,144.5,144.5,144.5,1
1602250200,143.95,144.3,142.61,144.12,1674
1602251100,144.62,144.8,143.91,143.92,1089
1602252000,144.29,144.9,143.9,144.71,640
1602252900,145.38,145.63,144.28,144.28,958
1602253800,144.9,145.49,144.68,145.38,679
1602254700,144.66,144.95,144.38,144.94,391
1602255600,144.89,144.96,144.35,144.67,475
1602256500,144.71,144.88,144.38,144.88,547
1602257400,144.56,145.18,144.4,144.7,606
1602258300,144.15,144.99,143.87,144.59,539
1602259200,144.65,144.69,143.77,144.1,618
1602260100,143.85,144.73,143.85,144.64,412
1602261000,144.44,144.6,143.8,143.9,625
1602261900,144.03,144.66,143.99,144.49,479
1602262800,143.75,144.41,143.62,144.01,562
1602263700,143.64,143.87,143.17,143.8,385
1602264600,143.58,143.77,143.38,143.63,351
1602265500,143.98,144.1,143.5,143.6,516
1602266400,143.97,144.15,143.69,143.93,422
1602267300,144.0,144.14,143.91,143.94,486
1602268200,143.99,144.1,143.74,143.99,361
1602269100,143.9,144.04,143.55,144.01,366
1602270000,144.0,144.08,143.52,143.98,483
1602270900,144.1,144.29,143.99,144.02,425
1602271800,143.92,144.12,143.75,144.12,623
1602272700,143.58,144.0,143.52,143.86,1759
1602273600,143.52,143.95,143.52,143.58,1248
1602274500,143.58,143.58,143.58,143.58,2
1602275400,143.58,143.75,143.58,143.74,10
1602276300,143.8,143.8,143.6,143.6,2
1602277200,143.6,143.62,143.6,143.62,28
1602278100,143.6,143.6,143.6,143.6,2
1602279000,143.6,143.6,143.6,143.6,15
1602279900,143.6,143.6,143.6,143.6,3
1602280800,143.58,143.6,143.58,143.6,3
1602281700,143.58,143.58,143.58,143.58,0
1602282600,143.58,143.58,143.58,143.58,0
1602283500,143.5,143.5,143.5,143.5,1
1602284400,143.5,143.5,143.5,143.5,0
1602285300,143.5,143.5,143.5,143.5,0
1602286200,143.5,143.5,143.5,143.5,0
1602287100,143.5,143.5,143.5,143.5,1
1602489600,145.0,145.0,144.5,144.55,5
1602490500,145.0,145.0,145.0,145.0,0
1602491400,145.0,145.0,145.0,145.0,0
1602492300,145.0,145.0,145.0,145.0,0
1602493200,147.0,147.0,147.0,147.0,3
1602494100,147.0,147.0,147.0,147.0,3
1602495000,147.0,147.0,147.0,147.0,0
1602495900,147.0,147.0,147.0,147.0,1
1602496800,147.0,147.0,147.0,147.0,0
1602497700,147.15,147.15,147.15,147.15,1
1602498600,147.15,147.15,147.15,147.15,0
1602499500,147.15,147.15,147.15,147.15,0
1602500400,146.55,146.55,146.05,146.05,5
1602501300,146.9,147.05,146.75,146.75,27
1602502200,146.59,146.59,146.57,146.57,3
1602503100,146.6,146.6,146.6,146.6,3
1602504000,146.42,147.0,146.01,146.74,32
1602504900,146.72,146.72,146.49,146.5,11
1602505800,146.63,146.73,146.45,146.5,15
1602506700,146.58,146.9,146.5,146.65,32
1602507600,146.8,146.85,146.52,146.7,39
1602508500,146.5,147.09,146.5,147.0,72
1602509400,148.79,149.75,145.6,146.41,5405
1602510300,148.46,149.44,147.58,148.8,2912
1602511200,146.9,148.47,146.2,148.41,2193
1602512100,147.7,147.93,146.57,146.99,952
1602513000,147.32,147.79,146.55,147.53,725
1602513900,147.05,147.28,146.45,147.15,694
1602514800,147.63,147.7,147.04,147.2,864
1602515700,146.6,147.75,146.6,147.65,773
1602516600,145.51,146.99,145.28,146.65,1137
1602517500,145.82,145.94,144.82,145.45,904
1602518400,146.39,146.5,145.85,145.85,552
1602519300,145.72,146.38,145.6,146.35,468
1602520200,146.18,146.3,145.28,145.8,593
1602521100,147.08,147.2,146.06,146.17,1093
1602522000,146.55,147.25,146.33,147.08,600
1602522900,146.9,147.16,146.6,146.61,526
1602523800,147.33,147.55,146.65,146.9,447
1602524700,146.86,147.37,146.5,147.28,513
1602525600,147.27,147.43,146.75,146.93,422
1602526500,146.85,147.44,146.71,147.31,438
1602527400,146.71,146.86,146.35,146.81,395
1602528300,146.53,146.9,146.27,146.76,402
1602529200,145.88,146.87,145.85,146.59,451
1602530100,146.08,146.18,145.54,145.93,478
1602531000,146.11,146.12,145.36,146.09,592
1602531900,145.92,146.17,145.62,146.09,1226
1602532800,145.99,146.21,145.96,145.96,7227
1602533700,145.94,146.0,145.76,145.76,12
1602534600,146.21,146.21,146.15,146.15,2
1602535500,146.3,146.3,146.3,146.3,1
1602536400,146.3,146.3,146.3,146.3,0
1602537300,146.4,146.4,146.4,146.4,1
1602538200,146.4,146.4,146.4,146.4,0
1602539100,146.4,146.4,146.4,146.4,0
1602540000,146.3,146.3,146.3,146.3,1
1602540900,146.4,146.4,146.4,146.4,2
1602541800,146.4,146.4,146.4,146.4,0
1602542700,146.6,146.6,146.48,146.48,4
1602543600,146.6,146.6,146.6,146.6,0
1602544500,146.5,146.5,146.5,146.5,1
1602545400,146.4,146.4,146.4,146.4,3
1602546300,146.4,146.4,146.4,146.4,0
1602586800,147.25,147.25,146.2,147.0,7
1602587700,147.27,147.27,147.27,147.27,4
1602588600,147.27,147.27,147.27,147.27,0
1602589500,147.02,147.02,147.02,147.02,1
1602590400,147.15,147.4,147.0,147.2,15
1602591300,147.1,147.15,147.0,147.14,18
1602592200,147.0,147.19,147.0,147.18,28
1602593100,146.6,146.9,146.6,146.9,2
1602594000,146.32,146.32,146.32,146.32,1
1602594900,147.0,147.0,146.4,146.4,22
1602595800,149.02,149.75,146.92,146.92,3897
1602596700,152.82,152.82,148.76,148.82,7937
1602597600,151.43,152.99,150.87,152.88,3185
1602598500,152.07,152.8,150.91,151.52,2065
1602599400,152.76,153.55,151.5,152.05,3252
1602600300,152.59,153.63,152.54,152.8,1826
1602601200,152.14,152.69,151.23,152.59,1480
1602602100,152.59,152.71,151.63,152.24,637
1602603000,152.61,153.06,152.33,152.49,904
1602603900,152.37,152.8,152.19,152.55,496
1602604800,151.55,152.69,151.55,152.39,553
1602605700,151.59,151.6,150.6,151.59,742
1602606600,151.6,151.8,151.35,151.68,436
1602607500,151.87,151.95,151.26,151.46,1016
1602608400,151.36,151.78,150.64,151.75,1374
1602609300,151.25,151.64,150.7,151.31,600
1602610200,151.02,151.56,150.98,151.35,348
1602611100,150.49,151.72,150.33,151.06,798
1602612000,149.99,150.47,149.5,150.47,949
1602612900,150.34,150.92,149.62,149.97,646
1602613800,150.65,151.09,150.1,150.36,597
1602614700,150.86,150.9,150.4,150.64,367
1602615600,152.09,152.18,150.78,150.78,1201
1602616500,152.19,152.32,151.88,152.09,881
1602617400,152.99,153.08,151.9,152.17,1438
1602618300,152.82,153.24,152.45,152.99,3187
1602619200,152.8,153.04,152.5,152.8,3165
1602620100,153.06,153.07,152.8,152.8,6
1602621000,152.66,153.19,152.65,153.19,8
1602621900,152.5,152.51,152.5,152.51,2
1602622800,152.5,152.5,152.5,152.5,5
1602623700,152.5,152.5,152.5,152.5,2
1602624600,152.51,152.51,152.5,152.51,1
1602625500,152.75,152.75,152.75,152.75,2
1602626400,152.98,152.98,152.62,152.62,3
1602627300,153.3,153.3,152.98,152.98,15
1602628200,153.0,153.0,153.0,153.0,1
1602629100,153.3,153.3,153.3,153.3,4
1602630000,153.6,153.6,153.47,153.5,7
