,close,high,low,open,volume
1602236820,144.0,144.0,144.0,144.0,1
1602236880,144.0,144.0,144.0,144.0,0
1602236940,144.0,144.0,144.0,144.0,0
1602237000,144.0,144.0,144.0,144.0,0
1602237060,144.0,144.0,144.0,144.0,0
1602237120,144.0,144.0,144.0,144.0,0
1602237180,144.0,144.0,144.0,144.0,0
1602237240,144.0,144.0,144.0,144.0,0
1602237300,144.0,144.0,144.0,144.0,0
1602237360,144.0,144.0,144.0,144.0,0
1602237420,144.0,144.0,144.0,144.0,0
1602237480,144.0,144.0,144.0,144.0,0
1602237540,144.0,144.0,144.0,144.0,0
1602237600,144.0,144.0,144.0,144.0,0
1602237660,144.0,144.0,144.0,144.0,0
1602237720,144.0,144.0,144.0,144.0,0
1602237780,144.0,144.0,144.0,144.0,0
1602237840,144.0,144.0,144.0,144.0,0
1602237900,144.0,144.0,144.0,144.0,0
1602237960,144.0,144.0,144.0,144.0,0
1602238020,144.0,144.0,144.0,144.0,0
1602238080,144.0,144.0,144.0,144.0,0
1602238140,144.0,144.0,144.0,144.0,0
1602238200,144.0,144.0,144.0,144.0,0
1602238260,144.0,144.0,144.0,144.0,0
1602238320,144.0,144.0,144.0,144.0,0
1602238380,144.0,144.0,144.0,144.0,0
1602238440,144.0,144.0,144.0,144.0,0
1602238500,144.0,144.0,144.0,144.0,0
1602238560,144.0,144.0,144.0,144.0,0
1602238620,144.0,144.0,144.0,144.0,0
1602238680,144.0,144.0,144.0,144.0,0
1602238740,144.0,144.0,144.0,144.0,0
1602238800,144.0,144.0,144.0,144.0,0
1602238860,144.0,144.0,144.0,144.0,0
1602238920,144.0,144.0,144.0,144.0,0
1602238980,144.0,144.0,144.0,144.0,0
1602239040,144.0,144.0,144.0,144.0,0
1602239100,144.0,144.0,144.0,144.0,0
1602239160,144.0,144.0,144.0,144.0,0
1602239220,144.0,144.0,144.0,144.0,0
1602239280,144.0,144.0,144.0,144.0,0
1602239340,144.0,144.0,144.0,144.0,0
1602239400,144.0,144.0,144.0,144.0,0
1602239460,144.0,144.0,144.0,144.0,0
1602239520,144.0,144.0,144.0,144.0,0
1602239580,144.0,144.0,144.0,144.0,0
1602239640,144.0,144.0,144.0,144.0,0
1602239700,144.0,144.0,144.0,144.0,0
1602239760,144.0,144.0,144.0,144.0,0
1602239820,144.0,144.0,144.0,144.0,0
1602239880,144.0,144.0,144.0,144.0,0
1602239940,144.0,144.0,144.0,144.0,0
1602240000,144.0,144.0,144.0,144.0,0
1602240060,144.0,144.0,144.0,144.0,0
1602240120,144.0,144.0,144.0,144.0,0
1602240180,144.0,144.0,144.0,144.0,0
1602240240,144.0,144.0,144.0,144.0,0
1602240300,144.0,144.0,144.0,144.0,0
1602240360,144.0,144.0,144.0,144.0,0
1602240420,144.0,144.0,144.0,144.0,0
1602240480,144.0,144.0,144.0,144.0,0
1602240540,144.0,144.0,144.0,144.0,0
1602240600,144.0,144.0,144.0,144.0,0
1602240660,144.0,144.0,144.0,144.0,0
1602240720,144.0,144.0,144.0,144.0,0
1602240780,144.0,144.0,144.0,144.0,0
1602240840,144.0,144.0,144.0,144.0,0
1602240900,144.0,144.0,144.0,144.0,0
1602240960,144.0,144.0,144.0,144.0,0
1602241020,144.0,144.0,144.0,144.0,0
1602241080,144.0,144.0,144.0,144.0,0
1602241140,144.0,144.0,144.0,144.0,0
1602241200,144.0,144.0,144.0,144.0,0
1602241260,144.0,144.0,144.0,144.0,0
1602241320,144.0,144.0,144.0,144.0,0
1602241380,144.0,144.0,144.0,144.0,0
1602241440,144.0,144.0,144.0,144.0,0
1602241500,144.0,144.0,144.0,144.0,0
1602241560,144.0,144.0,144.0,144.0,0
1602241620,144.0,144.0,144.0,144.0,0
1602241680,144.0,144.0,144.0,144.0,0
1602241740,144.0,144.0,144.0,144.0,0
1602241800,144.0,144.0,144.0,144.0,0
1602241860,144.0,144.0,144.0,144.0,0
1602241920,144.0,144.0,144.0,144.0,0
1602241980,144.0,144.0,144.0,144.0,0
1602242040,144.0,144.0,144.0,144.0,0
1602242100,144.0,144.0,144.0,144.0,0
1602242160,144.0,144.0,144.0,144.0,0
1602242220,144.0,144.0,144.0,144.0,0
1602242280,144.0,144.0,144.0,144.0,0
1602242340,144.0,144.0,144.0,144.0,0
1602242400,144.0,144.0,144.0,144.0,0
1602242460,144.0,144.0,144.0,144.0,0
1602242520,144.0,144.0,144.0,144.0,0
1602242580,144.0,144.0,144.0,144.0,0
1602242640,144.0,144.0,144.0,144.0,0
1602242700,144.0,144.0,144.0,144.0,0
1602242760,144.0,144.0,144.0,144.0,0
1602242820,144.0,144.0,144.0,144.0,0
1602242880,144.0,144.0,144.0,144.0,0
1602242940,144.0,144.0,144.0,144.0,0
1602243000,144.0,144.0,144.0,144.0,0
1602243060,144.0,144.0,144.0,144.0,0
1602243120,144.0,144.0,144.0,144.0,0
1602243180,144.0,144.0,144.0,144.0,0
1602243240,144.0,144.0,144.0,144.0,0
1602243300,144.0,144.0,144.0,144.0,0
1602243360,144.0,144.0,144.0,144.0,0
1602243420,144.0,144.0,144.0,144.0,0
1602243480,144.0,144.0,144.0,144.0,0
1602243540,144.0,144.0,144.0,144.0,0
1602243600,144.06,144.06,144.06,144.06,1
1602243660,144.06,144.06,144.06,144.06,0
1602243720,144.06,144.06,144.06,144.06,0
1602243780,144.06,144.06,144.06,144.06,0
1602243840,144.06,144.06,144.06,144.06,0
1602243900,144.06,144.06,144.06,144.06,0
1602243960,144.06,144.06,144.06,144.06,0
1602244020,144.06,144.06,144.06,144.06,0
1602244080,144.06,144.06,144.06,144.06,0
1602244140,144.06,144.06,144.06,144.06,0
1602244200,144.06,144.06,144.06,144.06,0
1602244260,144.06,144.06,144.06,144.06,0
1602244320,144.06,144.06,144.06,144.06,0
1602244380,144.06,144.06,144.06,144.06,0
1602244440,144.06,144.06,144.06,144.06,0
1602244500,144.06,144.06,144.06,144.06,0
1602244560,144.06,144.06,144.06,144.06,0
1602244620,144.06,144.06,144.06,144.06,0
1602244680,144.06,144.06,144.06,144.06,0
1602244740,144.4,144.4,144.4,144.4,1
1602244800,144.25,145.0,144.25,144.99,5
1602244860,144.25,144.25,144.25,144.25,0
1602244920,144.25,144.25,144.25,144.25,0
1602244980,144.25,144.25,144.25,144.25,0
1602245040,144.25,144.25,144.25,144.25,0
