,close,high,low,open,volume
1599724800,115.71,116.9,115.69,116.82,472
1599725700,116.6,116.6,115.71,116.0,77
1599726600,116.99,117.14,116.6,116.6,110
1599727500,116.73,117.31,116.73,117.01,85
1599728400,117.53,117.7,116.64,116.82,75
1599729300,117.51,118.0,117.24,117.4,138
1599730200,117.62,117.94,117.26,117.68,65
1599731100,118.2,118.2,117.51,117.75,124
1599732000,118.4,118.6,118.1,118.2,252
1599732900,117.45,118.4,117.26,118.39,247
1599733800,117.18,117.89,117.17,117.5,175
1599734700,117.1,117.45,116.6,117.23,195
1599735600,117.7,118.2,117.1,117.31,1464
1599736500,117.95,118.06,117.5,117.77,455
1599737400,117.88,118.19,117.8,117.96,853
1599738300,118.95,119.15,117.84,117.85,1643
1599739200,119.22,119.45,117.22,117.79,5737
1599740100,119.18,119.39,118.82,119.18,2489
1599741000,119.72,119.75,118.9,119.25,3585
1599741900,120.25,120.48,119.7,119.72,6302
1599742800,120.15,120.64,120.05,120.28,5624
1599743700,120.47,120.64,120.18,120.18,4407
1599744600,118.8,120.5,118.49,120.44,135856
1599745500,118.96,119.2,118.12,118.79,67426
1599746400,118.97,119.64,118.77,118.97,61848
1599747300,118.22,119.27,118.18,118.96,49416
1599748200,117.54,118.69,117.5,118.2,48219
1599749100,116.15,117.78,116.03,117.56,87889
1599750000,116.81,117.16,115.56,116.15,70507
1599750900,117.53,117.54,116.17,116.82,44503
1599751800,117.55,117.7,116.75,117.52,36361
1599752700,116.89,117.62,116.62,117.56,34470
1599753600,116.84,117.37,116.42,116.89,43275
1599754500,116.55,117.11,116.15,116.83,36163
1599755400,115.94,116.8,115.81,116.55,40580
1599756300,116.45,116.62,115.86,115.93,25070
1599757200,116.31,116.9,116.16,116.43,30520
1599758100,116.13,116.75,115.95,116.33,30600
1599759000,115.71,116.39,115.67,116.14,30501
1599759900,115.27,116.0,115.2,115.72,42259
1599760800,115.13,115.86,115.09,115.27,36043
1599761700,113.1,115.2,113.04,115.15,84590
1599762600,113.56,114.3,112.96,113.09,74646
1599763500,114.2,114.36,113.5,113.54,42366
1599764400,112.88,114.26,112.51,114.2,76752
1599765300,113.35,113.48,112.5,112.88,64751
1599766200,113.99,114.24,113.14,113.37,68447
1599767100,113.48,114.1,113.21,113.98,86887
1599768000,113.7,114.0,113.36,113.42,88719
1599768900,113.58,113.8,113.51,113.7,1193
1599769800,113.63,113.82,113.49,113.58,1830
1599770700,113.69,113.69,113.55,113.6,537
1599771600,113.6,113.78,113.57,113.7,712
1599772500,113.6,113.74,113.55,113.57,653
1599773400,113.84,113.84,113.58,113.6,686
1599774300,114.1,114.18,113.82,113.84,1031
1599775200,114.05,114.34,113.86,114.04,1553
1599776100,114.1,114.3,113.95,114.1,1013
1599777000,114.21,114.26,114.04,114.06,551
1599777900,114.13,114.25,114.13,114.21,423
1599778800,114.15,114.15,114.05,114.11,606
1599779700,114.28,114.3,114.1,114.15,576
1599780600,114.34,114.5,114.28,114.28,1186
1599781500,114.1,114.35,114.04,114.35,1240
1599811200,116.23,116.28,115.1,115.1,349
