,close,high,low,open,volume
1599724800,338.33,338.4,337.87,338.36,133
1599725700,338.17,338.17,337.6,337.75,340
1599726600,338.48,338.48,338.2,338.32,74
1599727500,338.52,338.75,338.5,338.5,94
1599728400,339.05,339.1,338.11,338.29,92
1599729300,338.7,339.06,338.7,339.06,30
1599730200,338.99,339.15,338.86,338.86,67
1599731100,339.35,339.4,338.92,338.92,164
1599732000,339.85,340.05,339.3,339.3,346
1599732900,338.94,339.89,338.86,339.84,120
1599733800,338.2,339.03,338.08,339.03,515
1599734700,338.12,338.46,337.94,338.26,291
1599735600,338.22,338.81,337.95,338.01,1191
1599736500,338.61,338.61,338.0,338.23,528
1599737400,338.44,338.75,338.26,338.47,411
1599738300,339.3,339.44,338.41,338.41,1018
1599739200,339.37,340.92,338.02,338.18,2576
1599740100,339.61,339.81,339.07,339.34,1430
1599741000,340.33,340.41,339.21,339.64,1413
1599741900,340.78,341.18,340.34,340.35,999
1599742800,341.36,341.71,340.72,340.87,1682
1599743700,341.79,341.84,341.38,341.38,1498
1599744600,342.08,342.32,341.21,341.82,26430
1599745500,341.61,342.43,341.2,342.09,19610
1599746400,342.04,342.53,341.51,341.62,20131
1599747300,341.3,342.52,341.29,342.02,20064
1599748200,341.43,342.22,341.29,341.3,15305
1599749100,338.8,341.57,338.64,341.42,50694
1599750000,340.13,340.24,338.12,338.8,36506
1599750900,340.81,340.82,338.85,340.13,25672
1599751800,340.5,340.83,340.0,340.79,16074
1599752700,339.43,340.74,339.16,340.51,15963
1599753600,339.2,339.96,338.73,339.43,14216
1599754500,338.84,339.5,338.31,339.17,12724
1599755400,337.38,339.16,337.34,338.82,20847
1599756300,338.51,338.72,337.33,337.38,12838
1599757200,338.74,339.25,338.21,338.5,12043
1599758100,338.52,339.6,338.4,338.75,12121
1599759000,338.17,339.2,338.09,338.57,11310
1599759900,337.78,338.56,337.57,338.18,11201
1599760800,337.39,338.51,337.37,337.75,13338
1599761700,334.28,337.49,334.18,337.4,44970
1599762600,334.41,335.61,334.11,334.26,39708
1599763500,336.02,336.24,334.35,334.42,28544
1599764400,334.29,336.11,333.83,336.03,36019
1599765300,334.02,334.39,332.85,334.29,36617
1599766200,335.19,335.65,333.62,334.04,38630
1599767100,333.92,335.31,333.56,335.2,91708
1599768000,334.06,334.6,333.54,333.93,39097
1599768900,333.9,334.16,333.72,334.11,2542
1599769800,334.16,334.81,333.95,333.95,3058
1599770700,334.33,334.33,334.13,334.18,973
1599771600,334.07,334.37,334.01,334.3,482
1599772500,334.1,334.21,333.89,334.08,1111
