,close,high,low,open,volume
1599724800,338.07,338.36,338.06,338.36,16
1599724860,337.9,338.12,337.87,338.12,39
1599724920,338.27,338.37,338.27,338.27,23
1599724980,338.32,338.32,338.25,338.31,9
1599725040,338.29,338.32,338.29,338.32,7
1599725100,338.22,338.22,338.22,338.22,1
1599725160,338.22,338.22,338.22,338.22,0
1599725220,338.22,338.22,338.22,338.22,0
1599725280,338.23,338.23,338.08,338.08,4
1599725340,338.4,338.4,338.25,338.25,11
1599725400,338.4,338.4,338.4,338.4,0
1599725460,338.4,338.4,338.4,338.4,0
1599725520,338.3,338.3,338.3,338.3,10
1599725580,338.3,338.3,338.28,338.28,11
1599725640,338.33,338.33,338.33,338.33,1
1599725700,338.05,338.05,337.75,337.75,6
1599725760,338.08,338.08,338.08,338.08,3
1599725820,337.88,337.88,337.88,337.88,1
1599725880,337.98,337.98,337.82,337.85,51
1599725940,338.07,338.07,338.07,338.07,5
1599726000,337.97,338.07,337.97,338.07,5
1599726060,337.86,337.9,337.82,337.9,13
1599726120,337.8,337.9,337.8,337.89,4
1599726180,337.65,337.74,337.64,337.73,129
1599726240,337.84,337.84,337.84,337.84,1
1599726300,337.6,337.79,337.6,337.77,17
1599726360,337.6,337.6,337.6,337.6,0
1599726420,337.88,337.89,337.88,337.88,29
1599726480,338.12,338.12,337.98,337.98,72
1599726540,338.17,338.17,338.17,338.17,1
1599726600,338.27,338.32,338.26,338.32,4
1599726660,338.27,338.27,338.27,338.27,0
1599726720,338.2,338.2,338.2,338.2,10
1599726780,338.32,338.35,338.32,338.35,6
1599726840,338.32,338.32,338.32,338.32,0
1599726900,338.32,338.32,338.32,338.32,0
1599726960,338.3,338.3,338.3,338.3,2
1599727020,338.35,338.35,338.35,338.35,2
1599727080,338.35,338.35,338.35,338.35,0
1599727140,338.38,338.38,338.38,338.38,11
1599727200,338.4,338.4,338.4,338.4,10
1599727260,338.34,338.45,338.33,338.45,26
1599727320,338.33,338.33,338.33,338.33,1
1599727380,338.33,338.33,338.33,338.33,0
1599727440,338.48,338.48,338.46,338.46,2
1599727500,338.54,338.54,338.5,338.5,2
1599727560,338.6,338.6,338.59,338.6,11
1599727620,338.75,338.75,338.65,338.65,38
1599727680,338.75,338.75,338.75,338.75,0
1599727740,338.7,338.7,338.7,338.7,1
1599727800,338.7,338.7,338.7,338.7,0
1599727860,338.53,338.53,338.53,338.53,10
1599727920,338.51,338.51,338.51,338.51,3
1599727980,338.5,338.5,338.5,338.5,8
1599728040,338.55,338.55,338.52,338.52,16
1599728100,338.59,338.59,338.59,338.59,2
1599728160,338.59,338.59,338.59,338.59,0
1599728220,338.59,338.59,338.59,338.59,0
1599728280,338.6,338.6,338.6,338.6,1
1599728340,338.52,338.56,338.52,338.56,2
1599728400,338.11,338.29,338.11,338.29,8
1599728460,338.35,338.35,338.3,338.3,4
1599728520,338.35,338.35,338.35,338.35,0
1599728580,338.35,338.35,338.35,338.35,0
1599728640,338.58,338.58,338.45,338.45,4
1599728700,338.52,338.52,338.52,338.52,1
1599728760,338.58,338.6,338.58,338.6,3
1599728820,338.65,338.65,338.65,338.65,3
1599728880,338.88,338.94,338.8,338.81,31
1599728940,338.85,338.85,338.85,338.85,9
1599729000,338.97,338.97,338.97,338.97,1
1599729060,338.97,338.97,338.97,338.97,0
1599729120,339.05,339.06,339.05,339.06,5
1599729180,339.0,339.1,339.0,339.1,13
1599729240,339.05,339.05,339.05,339.05,10
1599729300,339.06,339.06,339.06,339.06,1
1599729360,339.06,339.06,339.06,339.06,0
1599729420,339.06,339.06,339.06,339.06,0
1599729480,339.06,339.06,339.06,339.06,0
1599729540,339.06,339.06,339.06,339.06,0
1599729600,339.06,339.06,339.06,339.06,0
1599729660,339.06,339.06,339.06,339.06,0
1599729720,338.85,338.85,338.85,338.85,1
1599729780,338.82,338.82,338.82,338.82,1
1599729840,338.82,338.82,338.82,338.82,0
1599729900,338.79,338.79,338.79,338.79,10
1599729960,338.99,338.99,338.93,338.93,15
1599730020,338.99,338.99,338.99,338.99,0
1599730080,338.99,338.99,338.99,338.99,0
1599730140,338.7,338.7,338.7,338.7,2
1599730200,338.7,338.7,338.7,338.7,0
1599730260,338.86,338.86,338.86,338.86,1
1599730320,338.86,338.86,338.86,338.86,0
1599730380,338.86,338.86,338.86,338.86,0
1599730440,338.86,338.86,338.86,338.86,0
1599730500,339.1,339.15,339.05,339.15,39
1599730560,339.1,339.1,339.1,339.1,0
1599730620,339.1,339.1,339.1,339.1,0
1599730680,338.99,339.07,338.99,339.06,4
1599730740,339.12,339.12,339.12,339.12,1
1599730800,339.07,339.07,339.07,339.07,2
1599730860,339.07,339.07,339.07,339.07,0
1599730920,339.07,339.07,339.07,339.07,0
1599730980,338.93,339.05,338.93,339.05,19
1599731040,338.99,338.99,338.99,338.99,1
1599731100,338.99,338.99,338.99,338.99,0
1599731160,338.93,338.93,338.92,338.92,15
1599731220,338.93,338.93,338.93,338.93,0
1599731280,339.13,339.13,339.12,339.12,7
1599731340,339.21,339.21,339.14,339.14,6
1599731400,339.12,339.18,339.12,339.18,2
1599731460,339.12,339.12,339.12,339.12,0
1599731520,339.19,339.21,339.19,339.21,8
1599731580,339.4,339.4,339.4,339.4,3
1599731640,339.29,339.31,339.29,339.31,9
1599731700,339.29,339.29,339.29,339.29,0
1599731760,339.29,339.29,339.29,339.29,0
1599731820,339.28,339.32,339.21,339.32,112
1599731880,339.31,339.31,339.31,339.31,1
1599731940,339.35,339.35,339.35,339.35,1
1599732000,339.38,339.38,339.3,339.3,8
1599732060,339.65,339.65,339.4,339.4,8
1599732120,339.53,339.6,339.53,339.6,11
1599732180,339.51,339.53,339.51,339.53,7
1599732240,339.51,339.51,339.51,339.51,0
1599732300,339.6,339.6,339.6,339.6,3
1599732360,339.99,340.0,339.61,339.61,280
1599732420,339.92,339.94,339.92,339.94,4
1599732480,339.89,339.89,339.84,339.89,7
1599732540,339.99,340.05,339.99,340.0,10
1599732600,339.99,339.99,339.99,339.99,3
1599732660,339.99,339.99,339.99,339.99,0
1599732720,339.99,339.99,339.99,339.99,0
1599732780,339.77,339.77,339.77,339.77,1
1599732840,339.85,339.9,339.85,339.9,4
1599732900,339.84,339.84,339.84,339.84,3
