,close,high,low,open,volume
1599724800,144.0,144.0,144.0,144.0,3
1599724860,142.8,142.8,142.8,142.8,1
1599724920,142.8,142.8,142.8,142.8,0
1599724980,142.8,142.8,142.8,142.8,0
1599725040,142.8,142.8,142.8,142.8,0
1599725100,142.8,142.8,142.8,142.8,0
1599725160,142.8,142.8,142.8,142.8,0
1599725220,142.8,142.8,142.8,142.8,0
1599725280,142.8,142.8,142.8,142.8,0
1599725340,142.8,142.8,142.8,142.8,0
1599725400,142.8,142.8,142.8,142.8,0
1599725460,142.8,142.8,142.8,142.8,0
1599725520,142.8,142.8,142.8,142.8,0
1599725580,142.8,142.8,142.8,142.8,0
1599725640,142.8,142.8,142.8,142.8,0
1599725700,142.7,142.7,142.7,142.7,1
1599725760,142.7,142.7,142.7,142.7,0
1599725820,142.7,142.7,142.7,142.7,0
1599725880,142.7,142.7,142.7,142.7,0
1599725940,142.7,142.7,142.7,142.7,0
1599726000,142.7,142.7,142.7,142.7,0
1599726060,142.7,142.7,142.7,142.7,0
1599726120,142.7,142.7,142.7,142.7,0
1599726180,142.7,142.7,142.7,142.7,0
1599726240,142.7,142.7,142.7,142.7,0
1599726300,142.7,142.7,142.7,142.7,0
1599726360,142.7,142.7,142.7,142.7,0
1599726420,142.3,142.3,142.3,142.3,1
1599726480,142.3,142.3,142.3,142.3,0
1599726540,142.3,142.3,142.3,142.3,0
1599726600,142.3,142.3,142.3,142.3,0
1599726660,142.3,142.3,142.3,142.3,0
1599726720,142.7,142.7,142.7,142.7,1
1599726780,142.7,142.7,142.7,142.7,4
1599726840,142.7,142.7,142.7,142.7,4
1599726900,142.7,142.7,142.7,142.7,1
1599726960,142.7,142.7,142.7,142.7,0
1599727020,142.7,142.7,142.7,142.7,4
1599727080,142.7,142.7,142.7,142.7,6
1599727140,142.7,142.7,142.7,142.7,0
1599727200,142.7,142.7,142.7,142.7,0
1599727260,142.7,142.7,142.7,142.7,0
1599727320,142.7,142.7,142.7,142.7,0
1599727380,142.7,142.7,142.7,142.7,0
1599727440,142.7,142.7,142.7,142.7,0
1599727500,142.7,142.7,142.7,142.7,0
1599727560,142.7,142.7,142.7,142.7,0
