,close,high,low,open,volume
1599724800,142.7,144.0,142.7,144.0,5
1599726000,142.7,142.7,142.3,142.3,21
1599727200,143.3,143.3,143.22,143.22,11
1599728400,143.6,143.6,143.6,143.6,12
1599729600,143.6,143.6,143.6,143.6,0
1599730800,143.6,143.6,143.6,143.6,4
1599732000,144.55,144.55,143.85,143.9,19
1599733200,144.41,144.41,144.3,144.3,4
1599734400,143.49,143.49,143.49,143.49,1
1599735600,143.7,144.5,143.5,143.6,14
1599736800,144.76,144.76,144.76,144.76,1
1599738000,145.55,145.55,144.61,144.61,21
1599739200,146.01,146.5,143.6,144.0,82
1599740400,146.5,146.5,146.0,146.09,39
1599741600,147.2,147.4,146.74,146.74,98
1599742800,147.6,147.69,146.99,147.2,79
1599744000,148.23,148.55,146.25,147.69,4354
1599745200,145.9,148.17,144.5,148.17,6332
1599746400,147.46,147.89,145.88,145.96,3509
1599747600,146.17,147.79,145.8,147.52,2787
1599748800,144.35,146.36,143.81,146.22,3207
1599750000,145.59,145.69,143.6,144.36,2550
1599751200,145.84,146.32,145.0,145.65,1912
1599752400,145.13,146.31,144.86,145.81,1393
1599753600,144.89,145.49,144.81,145.16,781
1599754800,143.68,144.98,143.38,144.95,1393
1599756000,144.87,144.98,143.57,143.77,1249
1599757200,145.29,145.29,144.35,144.82,1122
1599758400,144.2,145.29,144.06,145.2,805
1599759600,143.29,144.35,143.12,144.19,1137
1599760800,141.97,143.8,141.79,143.43,2349
1599762000,141.75,142.27,140.12,141.9,2993
1599763200,142.05,142.32,140.72,141.65,1692
1599764400,139.94,142.22,139.82,142.13,2700
1599765600,141.15,141.57,139.83,139.94,2585
1599766800,141.01,141.64,140.56,140.97,3887
1599768000,142.0,142.0,140.72,141.28,2110
1599769200,141.02,141.69,141.02,141.69,86
1599770400,140.8,141.0,140.8,141.0,8
1599771600,141.0,141.25,141.0,141.09,25
1599772800,141.0,141.2,141.0,141.2,3
1599774000,141.2,141.2,141.06,141.2,14
1599775200,141.94,141.94,141.25,141.25,47
1599776400,141.89,141.89,141.4,141.78,5
1599777600,141.85,141.9,141.52,141.54,39
1599778800,141.68,141.68,141.68,141.68,2
1599780000,141.75,141.9,141.7,141.73,28
1599781200,141.55,141.87,141.55,141.69,22
1599811200,143.72,143.72,143.0,143.0,2
1599812400,143.72,143.72,143.72,143.72,0
1599813600,143.72,143.72,143.72,143.72,0
1599814800,143.72,143.72,143.72,143.72,0
1599816000,144.0,144.0,144.0,144.0,3
1599817200,144.0,144.0,144.0,144.0,0
1599818400,143.5,144.0,143.5,144.0,25
1599819600,143.5,143.5,143.4,143.42,6
1599820800,143.0,143.0,143.0,143.0,3
1599822000,143.48,143.48,143.0,143.0,7
1599823200,143.0,143.45,143.0,143.3,54
1599824400,143.53,143.53,143.01,143.01,7
1599825600,143.0,143.75,143.0,143.25,60
1599826800,142.5,142.63,142.0,142.62,37
1599828000,142.1,142.5,142.1,142.5,18
1599829200,143.0,143.0,142.1,142.1,28
1599830400,140.22,144.3,139.59,143.0,3894
1599831600,139.55,142.09,139.16,140.21,4770
1599832800,139.38,139.93,138.01,139.53,4654
1599834000,139.61,140.57,139.0,139.45,2336
1599835200,140.13,141.09,139.48,139.5,1656
1599836400,140.58,140.73,139.92,140.28,2643
1599837600,139.24,140.69,138.7,140.51,1950
1599838800,138.84,139.74,138.79,139.22,1480
1599840000,138.3,139.14,138.08,138.85,2524
1599841200,136.69,139.15,136.64,138.32,3884
1599842400,136.17,137.56,136.07,136.7,3518
1599843600,135.67,136.66,135.13,136.17,5344
1599844800,136.08,136.18,134.26,135.69,4563
1599846000,135.52,136.9,135.5,136.1,3187
1599847200,136.78,137.27,135.53,135.62,1876
1599848400,137.28,137.29,136.01,136.62,1880
1599849600,137.59,138.45,137.08,137.33,2948
1599850800,137.81,137.81,136.5,137.5,2175
1599852000,137.13,138.18,137.06,137.72,2497
1599853200,137.45,137.61,136.88,137.17,4805
1599854400,137.4,137.5,137.01,137.45,3845
1599855600,137.5,137.5,137.45,137.45,55
1599856800,137.45,137.57,137.33,137.45,27
1599858000,137.45,137.5,137.22,137.48,25
1599859200,137.65,137.65,137.45,137.46,17
1599860400,137.65,137.65,137.65,137.65,0
1599861600,137.45,137.5,137.45,137.5,8
1599862800,137.69,137.69,137.69,137.69,1
1599864000,137.5,137.56,137.5,137.56,30
1599865200,137.68,137.68,137.6,137.6,40
1599866400,137.45,137.46,137.45,137.45,17
1599867600,137.67,137.67,137.45,137.45,8
1600070400,140.99,143.5,140.55,140.55,5
1600071600,140.15,140.55,140.15,140.55,5
1600072800,140.2,140.2,140.2,140.2,1
1600074000,140.2,140.2,140.2,140.2,0
1600075200,140.2,140.2,140.2,140.2,0
1600076400,138.52,139.12,138.5,139.01,79
1600077600,139.23,139.23,139.18,139.18,3
1600078800,139.99,139.99,139.99,139.99,1
1600080000,140.0,140.0,140.0,140.0,1
1600081200,139.9,140.6,139.86,140.46,25
1600082400,139.5,139.77,139.5,139.77,7
1600083600,139.03,139.2,139.03,139.2,5
1600084800,139.43,140.89,139.0,140.1,86
1600086000,139.4,139.54,139.3,139.47,21
1600087200,139.3,140.0,139.3,139.39,57
1600088400,139.65,139.92,139.1,139.3,57
1600089600,140.24,140.8,138.81,139.68,3723
1600090800,142.05,142.68,140.26,140.27,5085
1600092000,142.81,143.38,141.33,142.15,3903
1600093200,142.48,143.4,142.11,142.79,2817
1600094400,142.16,142.65,141.5,142.5,3156
1600095600,143.64,144.05,141.96,142.1,3930
1600096800,144.64,144.68,143.17,143.61,3395
1600098000,144.41,144.92,143.84,144.67,3616
1600099200,144.04,145.4,144.04,144.37,3480
1600100400,144.0,144.55,143.8,144.07,2472
1600101600,144.36,144.69,143.98,144.0,1462
1600102800,143.28,144.75,142.93,144.39,2538
1600104000,143.72,144.15,143.24,143.3,2439
1600105200,144.49,144.88,143.65,143.77,2358
1600106400,144.49,144.81,144.29,144.49,1872
1600107600,144.69,145.05,144.32,144.49,1744
1600108800,144.65,144.88,144.19,144.65,1709
1600110000,144.5,144.71,143.93,144.64,1514
1600111200,144.85,144.96,143.93,144.53,2179
1600112400,144.3,145.18,144.23,144.87,4752
1600113600,144.4,145.0,144.4,144.4,1743
1600114800,144.1,144.87,144.1,144.55,329
1600116000,144.8,144.98,144.23,144.52,32
1600117200,144.99,144.99,144.99,144.99,1
1600118400,144.74,145.15,144.74,145.0,18
1600119600,144.9,145.0,144.55,144.55,7
1600120800,144.98,145.0,144.9,144.9,6
1600122000,145.27,145.27,144.5,145.0,10
1600123200,145.0,145.0,145.0,145.0,3
1600124400,145.01,145.88,145.01,145.3,22
1600125600,145.85,145.85,145.35,145.35,22
1600126800,145.99,145.99,145.5,145.83,19
1600156800,146.0,146.0,146.0,146.0,6
1600158000,146.0,146.0,146.0,146.0,0
1600159200,146.0,146.0,146.0,146.0,0
1600160400,146.13,146.2,146.13,146.2,5
1600161600,146.75,146.75,146.75,146.75,1
1600162800,146.76,146.76,146.76,146.76,6
1600164000,147.0,147.01,146.99,146.99,12
1600165200,147.0,147.0,147.0,147.0,0
1600166400,146.95,146.95,146.95,146.95,1
1600167600,147.25,147.9,147.0,147.9,35
