,close,high,low,open,volume
1602230400,183.66,183.66,183.66,183.66,1
1602230460,183.66,183.66,183.66,183.66,0
1602230520,183.66,183.66,183.66,183.66,0
1602230580,183.66,183.66,183.66,183.66,0
1602230640,183.66,183.66,183.66,183.66,0
1602230700,183.66,183.66,183.66,183.66,0
1602230760,183.66,183.66,183.66,183.66,0
1602230820,183.66,183.66,183.66,183.66,0
1602230880,183.66,183.66,183.66,183.66,0
1602230940,183.66,183.66,183.66,183.66,0
1602231000,183.66,183.66,183.66,183.66,0
1602231060,183.66,183.66,183.66,183.66,0
1602231120,183.66,183.66,183.66,183.66,0
1602231180,183.66,183.66,183.66,183.66,0
1602231240,183.66,183.66,183.66,183.66,0
1602231300,183.66,183.66,183.66,183.66,0
1602231360,183.66,183.66,183.66,183.66,0
1602231420,183.66,183.66,183.66,183.66,0
1602231480,183.66,183.66,183.66,183.66,0
1602231540,183.66,183.66,183.66,183.66,0
1602231600,183.66,183.66,183.66,183.66,0
1602231660,183.66,183.66,183.66,183.66,0
1602231720,183.66,183.66,183.66,183.66,0
1602231780,183.66,183.66,183.66,183.66,0
1602231840,184.84,184.84,184.84,184.84,1
1602231900,184.84,184.84,184.84,184.84,1
1602231960,184.84,184.84,184.84,184.84,0
1602232020,184.84,184.84,184.84,184.84,0
1602232080,184.84,184.84,184.84,184.84,0
1602232140,184.84,184.84,184.84,184.84,0
1602232200,184.84,184.84,184.84,184.84,0
1602232260,184.84,184.84,184.84,184.84,0
1602232320,184.84,184.84,184.84,184.84,0
1602232380,184.84,184.84,184.84,184.84,0
1602232440,184.84,184.84,184.84,184.84,0
1602232500,184.84,184.84,184.84,184.84,0
1602232560,184.84,184.84,184.84,184.84,0
1602232620,184.84,184.84,184.84,184.84,0
1602232680,184.84,184.84,184.84,184.84,0
1602232740,184.84,184.84,184.84,184.84,0
1602232800,184.84,184.84,184.84,184.84,0
1602232860,184.84,184.84,184.84,184.84,0
1602232920,184.84,184.84,184.84,184.84,0
1602232980,184.84,184.84,184.84,184.84,0
1602233040,184.84,184.84,184.84,184.84,0
1602233100,184.84,184.84,184.84,184.84,0
1602233160,184.84,184.84,184.84,184.84,0
1602233220,184.84,184.84,184.84,184.84,0
1602233280,184.84,184.84,184.84,184.84,0
1602233340,184.84,184.84,184.84,184.84,0
1602233400,184.84,184.84,184.84,184.84,0
1602233460,184.84,184.84,184.84,184.84,0
1602233520,184.84,184.84,184.84,184.84,0
1602233580,184.84,184.84,184.84,184.84,0
1602233640,184.84,184.84,184.84,184.84,0
1602233700,184.84,184.84,184.84,184.84,0
1602233760,184.84,184.84,184.84,184.84,0
1602233820,184.84,184.84,184.84,184.84,0
1602233880,184.84,184.84,184.84,184.84,0
1602233940,184.84,184.84,184.84,184.84,0
1602234000,184.84,184.84,184.84,184.84,0
1602234060,184.84,184.84,184.84,184.84,0
1602234120,184.84,184.84,184.84,184.84,0
1602234180,184.84,184.84,184.84,184.84,0
1602234240,184.84,184.84,184.84,184.84,0
1602234300,184.84,184.84,184.84,184.84,0
1602234360,184.84,184.84,184.84,184.84,0
1602234420,184.84,184.84,184.84,184.84,0
1602234480,184.84,184.84,184.84,184.84,0
1602234540,184.84,184.84,184.84,184.84,0
1602234600,184.84,184.84,184.84,184.84,0
1602234660,184.84,184.84,184.84,184.84,0
1602234720,184.84,184.84,184.84,184.84,0
1602234780,184.84,184.84,184.84,184.84,0
1602234840,184.84,184.84,184.84,184.84,0
1602234900,184.84,184.84,184.84,184.84,0
1602234960,184.84,184.84,184.84,184.84,0
1602235020,184.84,184.84,184.84,184.84,0
1602235080,184.43,184.43,184.43,184.43,1
1602235140,184.43,184.43,184.43,184.43,0
1602235200,184.43,184.43,184.43,184.43,0
1602235260,184.43,184.43,184.43,184.43,0
1602235320,184.43,184.43,184.43,184.43,0
1602235380,184.43,184.43,184.43,184.43,0
1602235440,184.43,184.43,184.43,184.43,0
1602235500,184.43,184.43,184.43,184.43,0
1602235560,184.43,184.43,184.43,184.43,0
1602235620,184.43,184.43,184.43,184.43,0
1602235680,184.43,184.43,184.43,184.43,0
1602235740,184.43,184.43,184.43,184.43,0
1602235800,184.43,184.43,184.43,184.43,0
1602235860,184.43,184.43,184.43,184.43,0
1602235920,184.43,184.43,184.43,184.43,0
1602235980,184.43,184.43,184.43,184.43,0
1602236040,184.43,184.43,184.43,184.43,0
1602236100,184.43,184.43,184.43,184.43,0
1602236160,184.43,184.43,184.43,184.43,0
1602236220,184.43,184.43,184.43,184.43,0
1602236280,184.43,184.43,184.43,184.43,0
1602236340,184.43,184.43,184.43,184.43,0
1602236400,184.43,184.43,184.43,184.43,0
1602236460,184.43,184.43,184.43,184.43,0
1602236520,184.43,184.43,184.43,184.43,0
1602236580,184.43,184.43,184.43,184.43,0
1602236640,184.43,184.43,184.43,184.43,0
1602236700,184.43,184.43,184.43,184.43,0
1602236760,184.43,184.43,184.43,184.43,0
1602236820,184.43,184.43,184.43,184.43,0
1602236880,184.43,184.43,184.43,184.43,0
1602236940,184.43,184.43,184.43,184.43,0
1602237000,184.43,184.43,184.43,184.43,0
1602237060,184.43,184.43,184.43,184.43,0
1602237120,184.43,184.43,184.43,184.43,0
1602237180,184.43,184.43,184.43,184.43,0
1602237240,184.43,184.43,184.43,184.43,0
1602237300,184.43,184.43,184.43,184.43,0
1602237360,184.43,184.43,184.43,184.43,0
1602237420,184.43,184.43,184.43,184.43,0
1602237480,184.43,184.43,184.43,184.43,0
1602237540,184.43,184.43,184.43,184.43,0
1602237600,184.43,184.43,184.43,184.43,0
1602237660,184.43,184.43,184.43,184.43,0
1602237720,184.43,184.43,184.43,184.43,0
1602237780,184.43,184.43,184.43,184.43,0
1602237840,184.43,184.43,184.43,184.43,0
1602237900,184.43,184.43,184.43,184.43,0
1602237960,184.43,184.43,184.43,184.43,0
1602238020,184.43,184.43,184.43,184.43,0
1602238080,184.43,184.43,184.43,184.43,0
1602238140,184.43,184.43,184.43,184.43,0
1602238200,184.43,184.43,184.43,184.43,0
1602238260,184.43,184.43,184.43,184.43,0
1602238320,184.43,184.43,184.43,184.43,0
1602238380,184.43,184.43,184.43,184.43,0
1602238440,184.43,184.43,184.43,184.43,0
1602238500,184.87,184.87,184.87,184.87,1
1602238560,184.87,184.87,184.87,184.87,0
1602238620,184.87,184.87,184.87,184.87,0
1602238680,184.87,184.87,184.87,184.87,0
1602238740,184.87,184.87,184.87,184.87,0
1602238800,184.87,184.87,184.87,184.87,0
1602238860,184.87,184.87,184.87,184.87,0
1602238920,184.87,184.87,184.87,184.87,0
1602238980,184.87,184.87,184.87,184.87,0
1602239040,184.87,184.87,184.87,184.87,0
1602239100,184.87,184.87,184.87,184.87,0
1602239160,184.87,184.87,184.87,184.87,0
1602239220,184.87,184.87,184.87,184.87,0
1602239280,184.87,184.87,184.87,184.87,0
1602239340,184.87,184.87,184.87,184.87,0
1602239400,184.87,184.87,184.87,184.87,0
1602239460,184.87,184.87,184.87,184.87,0
1602239520,184.87,184.87,184.87,184.87,0
1602239580,184.87,184.87,184.87,184.87,0
