,close,high,low,open,volume
1600156800,146.0,146.0,146.0,146.0,6
1600158600,146.0,146.0,146.0,146.0,0
1600160400,146.75,146.75,146.13,146.2,6
1600162200,146.76,146.76,146.76,146.76,6
1600164000,147.0,147.01,146.99,146.99,12
1600165800,146.95,146.95,146.95,146.95,1
1600167600,147.49,147.9,147.0,147.9,42
1600169400,147.64,147.8,147.3,147.5,13
1600171200,147.8,147.8,147.0,147.47,69
1600173000,147.8,148.25,147.8,147.8,91
1600174800,146.0,148.0,146.0,147.83,140
1600176600,151.86,152.24,146.13,146.13,20442
1600178400,153.21,154.31,151.26,151.81,25224
1600180200,152.73,154.15,151.53,153.19,12985
1600182000,156.9,157.5,152.54,152.75,19331
1600183800,156.13,158.5,155.65,156.99,14677
1600185600,156.2,156.42,154.69,156.14,9863
1600187400,154.7,156.45,154.36,156.17,7365
1600189200,154.2,155.5,154.07,154.64,5375
1600191000,153.86,154.52,153.5,154.23,5761
1600192800,154.53,154.89,153.31,153.87,4863
1600194600,155.3,155.38,153.96,154.53,5653
1600196400,154.09,155.82,152.91,155.3,8687
1600198200,154.49,155.0,152.28,154.03,14197
1600200000,154.9,155.0,154.49,154.78,3085
1600201800,155.5,155.8,154.86,154.9,179
1600203600,155.49,155.82,155.15,155.58,35
1600205400,155.75,155.75,155.7,155.74,8
1600207200,155.5,155.8,155.5,155.71,22
1600209000,155.5,155.9,155.5,155.51,59
1600210800,155.52,155.75,155.5,155.6,77
1600212600,155.54,155.55,154.94,155.5,111
1600245000,156.38,156.38,156.38,156.38,1
1600246800,156.38,156.38,156.38,156.38,3
1600248600,156.38,156.38,156.38,156.38,0
1600250400,157.25,157.25,156.91,156.91,28
1600252200,156.95,156.95,156.95,156.95,1
1600254000,154.9,157.0,154.8,156.88,69
1600255800,155.75,155.83,154.3,155.17,236
1600257600,155.73,157.0,154.5,154.55,160
1600259400,155.2,155.9,155.0,155.6,124
1600261200,155.6,155.6,153.12,155.3,200
1600263000,153.69,159.0,152.6,155.2,14722
1600264800,154.21,154.38,152.23,153.68,6257
1600266600,151.63,154.29,149.88,154.23,9593
1600268400,152.31,152.92,151.43,151.44,4260
1600270200,151.54,152.9,151.44,152.22,2574
1600272000,152.13,152.68,151.52,151.53,1779
1600273800,151.8,152.15,151.26,152.08,1688
1600275600,151.71,152.26,151.45,151.79,2125
1600277400,151.92,152.0,151.32,151.71,1947
1600279200,154.19,154.79,151.79,151.89,5199
1600281000,153.79,155.09,153.16,154.17,4480
1600282800,152.29,154.16,152.15,153.75,3877
1600284600,151.14,152.31,150.65,152.23,8982
1600286400,151.53,151.62,151.05,151.05,14528
1600288200,151.78,152.04,151.48,151.5,47
1600290000,152.1,152.36,151.78,151.78,31
1600291800,152.15,152.26,151.94,152.0,48
1600293600,152.1,152.15,151.87,151.87,11
1600295400,152.0,152.21,152.0,152.21,7
1600297200,151.81,152.2,151.81,152.0,9
1600299000,151.8,152.18,151.8,151.8,19
1600329600,148.05,148.05,147.0,147.0,4
1600331400,148.05,148.05,148.05,148.05,0
1600333200,148.05,148.05,148.05,148.05,0
1600335000,148.03,148.03,148.03,148.03,1
1600336800,148.27,148.27,148.27,148.27,1
1600338600,148.01,148.21,148.01,148.21,6
1600340400,148.0,149.01,148.0,148.87,75
1600342200,146.5,147.85,146.4,147.55,150
1600344000,145.8,149.0,145.0,148.13,286
1600345800,145.15,146.0,145.15,145.76,153
1600347600,145.81,151.05,143.36,145.07,422
1600349400,145.66,147.69,143.11,146.27,15761
1600351200,143.9,146.14,143.75,145.67,9367
1600353000,142.79,144.09,142.66,143.9,12033
1600354800,144.34,145.21,142.83,142.83,6638
1600356600,143.17,144.8,143.03,144.48,3240
1600358400,143.18,143.83,142.51,143.14,4309
1600360200,143.23,143.5,142.24,143.15,5215
1600362000,144.25,144.29,143.09,143.29,5069
1600363800,144.28,145.39,144.02,144.25,3781
1600365600,144.68,145.58,144.25,144.28,3193
1600367400,145.25,145.4,144.0,144.65,3030
1600369200,144.4,145.48,144.09,145.25,3648
1600371000,145.67,145.72,144.27,144.34,8244
1600372800,145.61,151.05,145.27,145.66,16061
1600374600,145.8,145.95,145.64,145.64,74
1600376400,145.75,145.93,145.72,145.8,22
1600378200,145.4,145.7,145.21,145.7,21
1600380000,145.87,145.87,145.4,145.49,12
1600381800,145.95,145.95,145.7,145.83,12
1600383600,146.36,146.36,145.95,145.99,18
1600385400,145.5,146.55,145.5,146.55,25
1600417800,146.0,146.0,146.0,146.0,4
1600419600,146.86,146.86,146.78,146.78,5
1600421400,146.86,146.86,146.86,146.86,0
1600423200,146.86,146.86,146.86,146.86,0
1600425000,146.75,146.75,146.75,146.75,1
1600426800,147.0,147.15,146.6,146.75,28
1600428600,146.52,147.45,146.52,147.44,43
1600430400,146.5,147.4,146.5,147.38,123
1600432200,147.1,147.55,146.2,146.2,53
1600434000,147.2,147.55,146.5,147.31,132
1600435800,145.76,149.13,145.21,147.37,8752
1600437600,147.0,148.32,145.8,145.8,5265
1600439400,145.79,147.12,145.2,146.89,3017
1600441200,145.33,145.9,144.62,145.7,3068
1600443000,145.27,145.49,144.04,145.41,1900
1600444800,145.15,146.29,144.85,145.24,2292
1600446600,143.72,145.21,143.43,145.15,2287
1600448400,142.31,144.14,142.3,143.77,2668
1600450200,142.38,143.12,141.72,142.32,5538
1600452000,142.5,142.65,141.64,142.34,6432
1600453800,143.19,143.2,141.97,142.48,3539
1600455600,143.71,144.1,143.11,143.2,3665
1600457400,145.08,145.19,143.66,143.76,7121
1600459200,145.0,145.1,143.93,145.01,16649
1600461000,145.01,145.15,144.93,145.03,129
1600462800,144.2,145.04,144.16,145.04,82
1600464600,144.5,144.51,144.33,144.5,13
1600466400,145.49,145.5,144.8,144.8,45
1600468200,145.46,145.46,145.01,145.01,14
1600470000,145.46,145.46,145.46,145.46,0
1600471800,145.19,145.45,145.12,145.4,45
1600675200,143.33,143.33,143.33,143.33,1
1600677000,140.0,140.12,140.0,140.1,4
1600678800,141.28,141.28,139.8,140.01,35
1600680600,139.2,139.9,139.12,139.9,4
1600682400,139.24,139.43,138.03,139.01,19
1600684200,140.05,140.5,139.5,139.5,20
1600686000,139.51,141.4,139.51,141.0,65
1600687800,141.74,141.85,139.61,139.99,63
1600689600,140.42,141.85,139.5,140.99,134
1600691400,140.5,141.0,139.76,140.99,292
1600693200,139.95,140.55,139.38,140.5,128
1600695000,143.83,144.9,139.31,140.42,13575
1600696800,143.29,145.81,142.24,143.83,7589
1600698600,144.12,144.37,141.81,143.29,4634
1600700400,145.14,146.23,143.9,143.96,5031
1600702200,146.28,146.3,144.21,145.06,5502
1600704000,148.69,148.79,146.25,146.25,6679
1600705800,149.3,149.86,148.55,148.75,5317
1600707600,150.79,151.3,148.65,149.25,5288
1600709400,149.13,150.9,148.72,150.8,4861
1600711200,148.69,149.69,147.82,149.1,4761
1600713000,149.3,149.43,147.63,148.67,4515
1600714800,150.9,150.9,149.13,149.29,4805
1600716600,151.02,151.98,150.06,150.89,11982
1600718400,151.22,151.9,151.02,151.02,17221
1600720200,151.44,151.54,151.3,151.3,18
1600722000,151.0,151.22,151.0,151.22,9
1600723800,151.37,151.37,150.5,151.0,35
1600725600,151.25,151.25,150.31,150.5,23
1600727400,151.15,151.25,151.12,151.12,11
1600729200,151.45,151.45,151.44,151.44,2
1600731000,151.52,151.85,151.12,151.32,44
1600761600,151.75,151.75,151.45,151.45,2
1600763400,151.75,151.75,151.75,151.75,0
1600765200,151.75,151.75,151.75,151.75,0
1600767000,152.25,152.25,152.25,152.25,10
1600768800,152.3,152.3,152.11,152.11,8
1600770600,152.3,152.3,152.3,152.3,0
1600772400,152.63,152.89,152.5,152.6,46
1600774200,152.0,153.4,152.0,152.9,45
1600776000,151.8,153.4,151.8,152.6,85
1600777800,152.59,152.77,151.82,151.9,74
1600779600,153.0,153.25,152.5,152.5,160
1600781400,151.2,152.99,148.59,152.82,11539
1600783200,152.64,153.92,150.65,151.3,7761
1600785000,150.97,153.0,150.39,152.69,5157
1600786800,151.87,152.2,149.87,150.95,4075
1600788600,153.0,153.1,151.39,151.9,3275
1600790400,153.03,153.58,152.41,152.91,3988
1600792200,152.95,153.22,152.11,153.07,3902
1600794000,154.14,154.19,152.74,152.96,3460
1600795800,154.25,154.66,153.17,154.11,4643
1600797600,154.7,155.48,154.04,154.26,5632
1600799400,155.34,155.54,154.44,154.73,4054
