,close,high,low,open,volume
1602230400,429.9,430.75,429.75,429.75,66
1602231300,430.6,430.6,430.04,430.28,13
1602232200,430.21,430.7,430.21,430.58,10
1602233100,430.75,431.0,430.21,430.22,8
1602234000,430.51,430.9,430.26,430.8,10
1602234900,430.5,430.5,430.25,430.5,4
1602235800,430.5,430.5,430.5,430.5,2
1602236700,430.52,430.52,430.5,430.5,9
1602237600,431.0,431.0,430.5,430.5,9
1602238500,431.78,431.78,431.46,431.46,8
1602239400,431.68,431.83,431.61,431.81,9
1602240300,431.03,431.68,430.79,431.5,39
1602241200,431.3,433.0,430.87,430.87,613
1602242100,430.98,431.6,430.39,431.48,233
1602243000,430.54,431.33,430.5,431.21,189
1602243900,430.32,430.8,429.9,430.8,210
1602244800,430.5,432.9,429.78,432.72,724
1602245700,430.63,430.98,430.14,430.5,215
1602246600,431.18,431.54,430.7,430.7,199
1602247500,430.62,431.3,430.5,431.2,160
1602248400,430.82,431.0,430.11,431.0,216
1602249300,430.3,431.55,430.02,430.82,588
1602250200,428.02,430.7,426.46,430.01,20945
1602251100,432.07,432.82,427.53,428.02,20474
1602252000,429.36,432.75,429.29,432.15,12098
1602252900,429.27,430.64,428.51,429.5,8292
1602253800,430.64,432.19,429.15,429.27,11302
1602254700,431.86,432.47,430.59,430.63,8189
1602255600,433.28,433.84,431.66,431.86,12452
1602256500,432.18,433.46,431.25,433.22,8173
1602257400,433.33,434.02,432.0,432.17,9210
1602258300,433.0,434.59,432.36,433.38,9092
1602259200,434.01,434.13,432.76,432.98,5598
1602260100,432.47,434.38,432.05,434.04,5263
1602261000,433.09,433.38,432.31,432.49,4947
1602261900,431.88,433.39,431.59,433.11,5869
1602262800,432.58,432.78,431.46,431.83,4051
1602263700,433.0,433.11,432.0,432.62,3278
1602264600,433.19,433.44,432.4,433.04,4528
1602265500,433.53,433.99,433.09,433.25,5180
1602266400,433.17,433.75,432.41,433.52,4538
1602267300,433.06,433.5,432.81,433.12,3271
1602268200,432.25,433.07,431.8,433.02,3132
1602269100,432.13,432.35,431.31,432.25,4293
1602270000,432.81,432.95,431.96,432.23,3503
1602270900,433.4,433.5,432.74,432.84,4847
1602271800,432.62,433.48,432.32,433.39,5568
1602272700,433.96,433.97,432.55,432.65,10776
1602273600,433.79,434.0,431.77,434.0,5056
1602274500,433.8,433.85,433.37,433.85,395
1602275400,433.68,433.95,433.16,433.86,175
1602276300,433.81,433.88,433.68,433.72,85
1602277200,433.82,433.95,433.7,433.95,93
1602278100,433.82,433.9,433.79,433.82,94
1602279000,433.9,433.9,433.81,433.85,50
1602279900,434.0,434.0,433.9,433.9,118
1602280800,433.9,434.0,433.8,434.0,49
1602281700,433.75,433.8,433.63,433.8,54
1602282600,433.91,433.93,433.76,433.79,46
1602283500,433.88,433.9,433.8,433.83,25
1602284400,434.2,434.26,433.89,433.91,248
1602285300,434.25,434.48,434.1,434.25,67
1602286200,434.2,434.5,434.07,434.26,134
1602287100,434.47,434.5,434.13,434.13,244
1602489600,438.53,438.53,435.5,436.47,74
1602490500,440.4,440.52,438.53,438.53,134
1602491400,439.0,440.02,438.2,440.02,76
1602492300,439.4,439.56,439.0,439.0,29
1602493200,439.6,439.6,439.39,439.39,6
1602494100,439.34,440.0,439.34,439.99,10
1602495000,439.8,440.03,439.79,439.79,12
1602495900,439.55,439.75,439.45,439.66,8
1602496800,439.55,439.55,439.55,439.55,20
1602497700,439.83,439.84,439.83,439.84,2
1602498600,440.51,440.7,440.0,440.0,59
1602499500,441.48,441.56,440.59,440.78,23
1602500400,440.8,441.68,439.6,440.51,375
1602501300,441.5,441.62,440.61,440.7,278
1602502200,442.55,442.74,441.0,441.14,344
1602503100,442.39,442.65,441.91,442.6,193
1602504000,442.17,442.74,435.08,440.6,952
1602504900,442.55,442.55,441.79,442.05,352
1602505800,442.85,442.96,441.9,442.4,459
1602506700,441.45,443.0,441.3,442.84,416
1602507600,440.71,442.0,440.7,441.45,502
1602508500,441.99,442.0,440.5,440.85,599
1602509400,443.36,445.85,440.61,441.99,31176
1602510300,440.99,444.03,439.33,443.45,16412
1602511200,440.2,441.09,438.58,441.0,13886
1602512100,441.38,442.18,439.66,440.2,10900
1602513000,440.3,441.66,439.06,441.39,8794
1602513900,442.56,443.35,439.7,440.38,11536
1602514800,442.46,443.5,442.02,442.6,8506
1602515700,440.74,442.65,440.6,442.5,6849
1602516600,440.41,441.71,440.07,440.63,6068
1602517500,441.12,441.28,439.67,440.47,7552
1602518400,442.26,442.44,440.45,441.15,5619
1602519300,443.2,443.7,442.04,442.26,10192
1602520200,444.1,444.24,441.88,443.29,6956
1602521100,443.84,444.77,443.48,444.15,7703
1602522000,443.26,444.89,442.7,443.88,7481
1602522900,443.58,444.22,443.01,443.3,6329
1602523800,444.3,445.0,443.25,443.56,6599
1602524700,444.87,445.4,443.54,444.28,7738
1602525600,447.04,447.29,444.6,444.95,10923
1602526500,448.14,448.39,446.58,447.09,10474
1602527400,446.07,448.74,445.65,448.14,11997
1602528300,446.7,448.03,446.05,446.17,7968
1602529200,444.23,447.35,443.83,446.6,9896
1602530100,444.66,444.95,443.18,444.13,8859
1602531000,443.66,444.7,442.26,444.64,8798
1602531900,442.0,443.65,441.51,443.62,11950
1602532800,441.92,443.25,441.0,442.3,8028
1602533700,442.6,442.6,441.5,441.92,209
1602534600,443.07,443.25,442.7,442.7,315
1602535500,442.55,443.0,442.3,443.0,3054
1602536400,442.55,442.7,442.48,442.62,22
1602537300,443.0,443.0,442.63,442.63,27
1602538200,443.73,443.73,442.94,443.0,135
1602539100,443.6,443.89,443.46,443.63,112
1602540000,443.7,443.7,443.5,443.5,29
1602540900,442.7,443.86,442.51,443.61,135
1602541800,441.99,442.89,441.8,442.65,257
1602542700,441.83,442.3,441.8,441.85,88
1602543600,442.69,442.69,441.85,441.85,94
1602544500,442.81,442.97,442.65,442.79,62
1602545400,442.4,442.97,442.4,442.9,72
1602546300,442.19,442.64,442.0,442.16,301
1602576000,441.71,442.0,440.0,441.5,46
1602576900,441.75,441.75,441.0,441.2,23
1602577800,442.42,443.0,441.98,441.98,38
1602578700,444.0,444.0,443.38,443.49,24
1602579600,444.86,444.91,444.0,444.0,44
1602580500,444.89,444.95,444.4,444.89,16
1602581400,445.49,445.49,444.95,445.0,28
1602582300,445.49,445.71,445.49,445.5,17
1602583200,446.26,446.26,445.14,445.5,19
1602584100,447.98,448.34,446.2,446.2,75
1602585000,446.5,448.38,446.48,447.5,90
1602585900,447.0,447.0,446.05,446.51,24
1602586800,446.1,446.9,444.4,446.73,371
1602587700,445.8,446.2,445.6,446.05,89
1602588600,445.15,445.77,444.52,445.77,145
1602589500,445.01,445.25,444.85,445.25,37
1602590400,444.95,446.8,444.5,445.11,614
1602591300,445.35,445.75,444.91,444.94,124
1602592200,445.22,445.79,445.22,445.25,140
1602593100,443.51,445.25,443.5,445.01,539
1602594000,441.2,443.66,440.5,443.65,919
1602594900,443.5,443.57,441.11,441.21,678
1602595800,437.6,443.6,437.25,443.35,21963
1602596700,440.0,440.25,436.6,437.53,14730
1602597600,442.25,442.39,439.3,440.0,12400
1602598500,444.5,445.81,442.09,442.25,15824
1602599400,444.92,446.03,443.75,444.55,11481
1602600300,447.4,447.6,445.0,445.0,14069
1602601200,448.16,448.89,446.56,447.4,12636
1602602100,446.69,448.4,446.51,448.2,7101
1602603000,446.2,447.43,445.63,446.7,10346
1602603900,445.71,446.4,444.67,446.25,7139
1602604800,445.68,447.07,445.43,445.64,5379
1602605700,444.55,445.84,443.52,445.63,8933
1602606600,443.05,444.69,442.64,444.5,7300
1602607500,443.53,444.26,442.21,443.04,6813
1602608400,442.15,443.65,440.67,443.53,6399
1602609300,443.89,444.1,442.0,442.14,6889
1602610200,444.76,445.33,443.53,443.91,6342
1602611100,443.68,445.97,443.44,444.76,5780
1602612000,446.17,446.23,443.43,443.79,6200
1602612900,445.92,447.45,445.75,446.23,6912
1602613800,446.87,447.15,445.09,445.89,4917
1602614700,446.14,447.54,445.2,446.92,5924
1602615600,447.32,447.4,445.38,446.14,4799
1602616500,447.7,448.5,446.87,447.36,8635
1602617400,446.74,447.92,446.5,447.7,5606
1602618300,446.65,447.84,446.12,446.78,10218
1602619200,446.4,447.59,444.54,446.65,5583
1602620100,446.22,446.64,446.0,446.39,110
1602621000,446.64,446.7,446.22,446.22,90
1602621900,446.0,446.6,446.0,446.6,84
1602622800,446.29,446.45,446.01,446.01,60
1602623700,446.81,446.81,446.0,446.21,72
1602624600,446.65,446.9,446.5,446.9,91
1602625500,446.82,446.87,446.51,446.55,119
1602626400,446.8,446.9,446.72,446.8,40
1602627300,446.6,446.8,446.53,446.73,37
1602628200,446.78,446.79,446.52,446.6,37
1602629100,447.12,447.22,446.67,446.69,160
1602630000,447.2,447.22,447.0,447.12,87
1602630900,447.49,447.5,447.2,447.25,66
1602631800,447.9,447.9,447.48,447.48,152
1602632700,447.92,448.0,447.6,447.9,207
1602662400,449.6,450.45,446.5,448.0,158
1602663300,451.91,452.04,450.0,450.0,102
1602664200,451.2,452.01,450.61,452.01,40
1602665100,450.36,451.5,450.36,451.0,27
1602666000,449.45,450.21,449.45,450.21,15
1602666900,450.0,450.0,449.65,449.65,5
1602667800,449.66,450.01,449.53,450.0,20
1602668700,449.7,449.74,449.5,449.74,28
1602669600,448.0,449.71,447.95,449.7,34
1602670500,449.01,450.1,448.05,448.05,31
1602671400,446.6,449.06,446.6,449.06,55
1602672300,446.0,447.09,445.5,446.5,65
1602673200,449.0,449.88,446.46,446.46,479
1602674100,449.39,449.5,448.0,448.9,357
1602675000,449.05,449.8,448.77,449.4,169
1602675900,448.58,449.3,448.58,449.02,124
1602676800,448.8,449.88,447.0,448.83,821
1602677700,449.15,449.4,448.78,448.8,237
1602678600,449.29,449.49,449.0,449.03,358
1602679500,448.99,451.45,447.4,449.39,1479
1602680400,449.7,449.93,448.18,448.94,476
1602681300,449.8,451.15,449.25,449.69,887
1602682200,456.37,458.14,447.35,449.8,39428
1602683100,458.8,458.96,454.3,456.29,21234
1602684000,457.66,459.79,457.04,458.76,16071
1602684900,457.89,461.08,456.49,457.66,20246
1602685800,457.1,458.2,453.55,457.87,20270
1602686700,458.42,458.75,456.35,457.1,9334
1602687600,459.3,459.75,457.14,458.48,7811
1602688500,461.72,463.19,458.91,459.48,15928
1602689400,463.72,465.0,460.25,461.76,14527
1602690300,459.17,464.4,459.05,463.79,15332
1602691200,458.5,461.8,458.32,459.41,10200
1602692100,458.25,459.25,455.71,458.56,13144
1602693000,460.13,460.57,457.37,458.21,10621
1602693900,457.97,461.05,457.67,460.16,8131
1602694800,458.56,460.07,457.66,457.94,5386
1602695700,460.98,461.81,458.16,458.56,7200
1602696600,462.6,463.25,459.62,460.86,10780
1602697500,464.52,465.0,462.69,462.75,11603
1602698400,465.38,465.9,463.05,464.48,11723
1602699300,463.21,465.75,461.77,465.44,11877
1602700200,462.45,463.65,461.38,463.18,8106
1602701100,463.39,464.0,461.53,462.39,7698
1602702000,463.42,463.79,461.84,463.3,7093
1602702900,463.65,464.23,462.18,463.37,6926
1602703800,463.79,464.73,463.06,463.55,8347
1602704700,461.3,463.85,461.09,463.8,11068
1602705600,462.0,462.4,458.92,461.3,6698
1602706500,459.99,462.0,459.65,461.95,402
1602707400,460.12,461.3,459.71,459.99,205
1602708300,458.7,460.13,458.28,460.13,182
1602709200,459.35,459.4,458.2,458.7,154
1602710100,459.56,460.25,459.49,459.49,161
1602711000,460.55,461.3,460.0,460.0,170
1602711900,461.0,461.2,460.75,460.75,79
1602712800,461.21,461.94,461.0,461.04,156
1602713700,460.95,461.5,460.9,461.21,71
1602714600,460.01,461.16,459.94,461.05,138
1602715500,459.65,460.77,459.57,460.0,100
1602716400,459.73,460.0,459.51,459.67,110
1602717300,459.55,459.8,459.54,459.6,116
1602718200,460.25,460.5,459.55,459.69,154
1602719100,460.35,460.49,460.15,460.2,396
1602748800,450.02,460.0,450.0,452.95,210
1602749700,449.47,450.64,448.0,450.01,136
1602750600,446.0,449.49,446.0,449.45,120
1602751500,445.0,446.64,442.02,446.0,186
1602752400,445.5,445.52,443.54,444.98,36
1602753300,446.0,446.0,445.24,445.5,93
1602754200,444.14,446.18,444.0,446.18,27
1602755100,445.47,446.01,445.0,446.01,32
1602756000,446.1,446.87,445.5,445.5,34
1602756900,447.5,447.5,446.0,446.0,42
1602757800,449.81,449.84,447.73,447.73,91
1602758700,449.0,450.8,449.0,449.93,127
1602759600,450.77,453.5,449.0,449.8,647
1602760500,452.14,452.55,450.49,450.79,239
1602761400,452.2,452.95,451.63,452.15,286
1602762300,451.34,452.5,451.0,452.34,308
1602763200,447.8,453.58,447.76,453.42,1775
1602764100,448.91,449.5,447.1,447.8,834
1602765000,449.11,449.5,447.42,448.79,665
1602765900,449.69,449.69,448.3,449.19,445
1602766800,448.95,450.32,448.15,449.7,608
1602767700,450.3,450.8,447.15,448.87,786
1602768600,454.75,456.5,450.0,450.31,27328
1602769500,453.39,456.57,452.45,454.75,13531
1602770400,451.15,453.35,449.16,453.33,14990
1602771300,450.76,453.76,450.26,451.16,11405
1602772200,447.9,451.8,446.17,450.82,16612
1602773100,445.82,448.3,443.68,448.1,15527
1602774000,448.3,448.68,444.28,445.93,11135
1602774900,447.81,449.78,447.18,448.25,10111
1602775800,450.83,451.29,446.89,447.81,8334
1602776700,448.88,451.28,448.6,450.85,7778
1602777600,447.54,450.13,447.33,448.72,6245
1602778500,445.79,448.4,445.25,447.54,5750
1602779400,445.28,446.86,445.01,445.75,6267
1602780300,444.92,446.07,444.12,445.22,8067
1602781200,444.03,445.72,443.7,444.89,7185
1602782100,444.03,444.85,442.5,444.0,7200
1602783000,446.72,447.18,443.0,444.07,7492
1602783900,446.53,446.96,445.69,446.73,4930
1602784800,447.22,447.94,446.05,446.51,6640
1602785700,446.33,447.49,445.3,447.3,4524
1602786600,444.97,447.05,444.68,446.36,5132
1602787500,447.75,447.8,444.96,444.98,5801
1602788400,447.61,448.8,447.35,447.7,5956
1602789300,449.89,449.9,447.31,447.59,7011
1602790200,449.36,450.66,449.16,449.82,7497
1602791100,448.88,449.8,447.9,449.37,8698
1602792000,448.78,449.2,448.5,448.88,3241
1602792900,448.81,449.0,448.0,448.82,111
1602793800,449.5,449.8,449.0,449.0,133
1602794700,449.2,449.2,449.0,449.19,43
1602795600,448.88,449.05,448.88,449.05,11
1602796500,448.52,449.1,448.52,449.1,18
1602797400,448.8,448.95,448.6,448.6,53
1602798300,449.0,449.0,448.45,448.79,81
1602799200,448.51,449.15,448.51,449.0,38
1602800100,448.48,448.94,448.15,448.5,49
1602801000,448.5,448.74,448.4,448.7,44
1602801900,448.19,448.4,448.15,448.3,51
1602802800,448.35,448.4,448.07,448.1,78
1602803700,448.6,448.89,448.0,448.28,104
1602804600,448.56,448.81,448.3,448.8,143
1602805500,446.75,448.57,446.58,448.53,248
1602835200,450.46,452.6,448.88,448.88,81
1602836100,450.21,451.1,450.21,450.7,34
1602837000,451.0,451.05,449.58,450.22,24
1602837900,449.88,450.64,449.88,450.64,11
1602838800,450.5,450.5,449.6,449.6,2
1602839700,450.0,450.0,450.0,450.0,2
1602840600,449.4,449.67,449.0,449.62,36
1602841500,450.2,450.2,449.76,449.76,2
1602842400,449.77,450.34,449.77,450.34,10
1602843300,450.3,450.5,449.7,449.7,14
1602844200,451.33,451.33,450.0,450.71,9
1602845100,449.4,451.5,449.4,451.39,12
1602846000,453.4,453.68,449.9,449.9,486
1602846900,452.69,453.35,452.69,453.32,113
1602847800,452.6,452.97,452.0,452.5,99
1602848700,452.9,453.2,452.88,452.88,52
1602849600,453.0,453.6,450.72,451.98,607
1602850500,452.75,453.12,452.5,453.0,254
1602851400,453.5,454.0,452.6,452.6,378
1602852300,454.75,454.97,453.1,453.5,723
1602853200,453.65,454.86,453.61,454.8,235
1602854100,453.91,454.7,453.55,453.6,362
1602855000,453.0,455.95,451.88,454.19,19947
1602855900,451.91,453.57,451.04,453.09,10478
1602856800,453.84,455.08,451.83,451.83,11688
1602857700,452.25,454.6,452.1,453.75,6976
1602858600,450.34,452.87,449.81,452.24,10366
1602859500,449.84,450.91,448.06,450.39,14074
1602860400,445.86,451.16,445.5,449.81,12870
1602861300,445.57,446.99,442.88,445.96,15559
1602862200,445.14,446.85,444.0,445.51,9885
1602863100,446.69,447.0,444.5,445.17,6639
1602864000,445.93,447.02,444.76,446.69,5157
1602864900,447.96,448.25,445.52,445.9,6487
1602865800,445.98,448.29,445.67,447.88,5473
1602866700,449.0,449.35,445.92,445.92,7086
1602867600,450.4,450.64,448.45,448.94,7322
1602868500,450.29,451.44,449.87,450.41,5381
1602869400,449.76,450.71,449.32,450.32,3551
1602870300,448.45,450.1,448.03,449.78,4175
1602871200,447.0,449.0,446.81,448.48,5791
1602872100,447.57,447.85,446.41,447.04,4339
1602873000,448.73,448.92,447.2,447.64,3980
1602873900,449.08,449.4,448.05,448.75,3814
1602874800,445.41,449.45,445.05,449.12,5987
1602875700,444.6,446.49,444.4,445.4,6264
1602876600,440.45,444.8,439.42,444.5,14532
1602877500,439.91,441.02,438.85,440.4,13405
1602878400,438.0,448.32,437.21,439.67,6884
1602879300,439.87,440.0,437.75,438.0,677
1602880200,439.82,440.12,439.5,439.9,331
1602881100,439.91,440.15,439.68,439.82,262
1602882000,439.97,440.39,439.72,439.91,219
1602882900,439.95,440.15,439.81,439.85,93
1602883800,440.12,440.55,439.98,440.0,171
1602884700,440.2,440.25,440.0,440.12,161
1602885600,439.8,440.2,439.68,440.11,91
1602886500,437.65,439.8,437.5,439.8,204
1602887400,438.4,440.7,437.0,437.55,244
1602888300,438.8,438.92,438.55,438.55,68
1602889200,438.95,439.11,438.7,438.85,84
1602890100,439.0,439.0,438.8,438.9,34
1602891000,438.22,438.98,438.02,438.98,72
1602891900,438.2,438.7,438.0,438.39,217
1603094400,446.66,448.48,445.51,446.0,88
1603095300,447.8,448.29,446.7,446.98,46
1603096200,448.6,448.6,447.76,447.8,23
1603097100,447.8,448.75,447.8,448.5,21
1603098000,447.5,448.1,447.5,447.55,10
1603098900,447.1,447.69,447.1,447.69,4
1603099800,447.3,447.3,447.3,447.3,1
1603100700,447.18,447.18,447.1,447.1,2
1603101600,447.18,447.18,447.18,447.18,4
1603102500,446.5,446.61,446.4,446.61,8
1603103400,446.84,446.84,446.3,446.3,15
1603104300,447.5,447.53,447.29,447.53,9
1603105200,445.77,447.58,445.77,447.14,528
1603106100,445.6,446.5,445.5,445.98,127
1603107000,446.42,446.75,445.5,445.51,152
1603107900,446.68,447.1,446.6,446.64,124
1603108800,446.2,447.6,445.47,447.0,921
1603109700,445.73,446.35,445.5,446.15,271
1603110600,445.75,446.91,445.7,445.74,339
1603111500,446.44,446.44,445.0,445.7,377
1603112400,447.8,447.99,445.83,445.91,576
1603113300,446.34,448.34,445.8,447.55,702
1603114200,444.48,447.0,442.6,446.35,19439
1603115100,441.7,445.8,441.12,444.48,16270
1603116000,440.84,442.4,437.6,441.69,15708
1603116900,443.09,443.88,440.22,440.77,14605
1603117800,434.6,443.4,434.11,443.04,14987
1603118700,436.57,437.15,432.67,434.65,11435
1603119600,439.08,439.28,436.11,436.61,8976
1603120500,439.61,439.85,437.34,439.1,8420
1603121400,439.1,441.37,438.76,439.65,9266
1603122300,438.04,440.2,437.69,439.05,5549
1603123200,435.8,439.07,435.64,438.09,8471
1603124100,437.38,437.5,434.86,435.77,7581
1603125000,438.66,438.91,436.75,437.28,5504
1603125900,438.78,439.65,438.27,438.68,3423
1603126800,440.08,440.26,437.29,438.72,4891
1603127700,438.68,440.41,438.27,440.01,5172
1603128600,437.76,438.82,437.31,438.8,3379
1603129500,437.23,437.76,435.5,437.68,7019
1603130400,439.55,440.0,436.84,437.2,5839
1603131300,438.37,441.15,437.86,439.64,8502
1603132200,435.86,438.5,435.7,438.36,8866
1603133100,435.0,437.7,434.72,435.86,10008
1603134000,432.97,435.16,432.34,434.8,11176
1603134900,429.45,433.47,428.87,432.9,12646
1603135800,431.98,433.04,429.42,429.44,10354
1603136700,430.83,434.12,430.41,432.0,13224
1603137600,431.5,438.29,430.83,430.83,7191
1603138500,433.15,433.23,431.3,431.59,285
1603139400,433.1,434.65,433.02,433.5,279
