,close,high,low,open,volume
1602230400,430.11,430.74,429.75,429.75,13
1602230460,430.43,430.43,430.37,430.37,5
1602230520,430.43,430.43,430.43,430.43,0
1602230580,430.32,430.43,430.32,430.43,7
1602230640,430.51,430.51,430.2,430.21,6
1602230700,430.75,430.75,430.75,430.75,1
1602230760,430.75,430.75,430.75,430.75,0
1602230820,430.75,430.75,430.75,430.75,0
1602230880,429.99,430.52,429.99,430.52,23
1602230940,430.48,430.48,430.48,430.48,1
1602231000,430.48,430.48,430.48,430.48,0
1602231060,429.9,430.0,429.9,430.0,8
1602231120,429.9,429.9,429.9,429.9,0
1602231180,429.9,429.9,429.9,429.9,0
1602231240,429.9,429.9,429.9,429.9,0
1602231300,430.3,430.3,430.28,430.28,2
1602231360,430.3,430.3,430.3,430.3,0
1602231420,430.3,430.3,430.3,430.3,0
1602231480,430.2,430.29,430.2,430.29,4
1602231540,430.3,430.3,430.3,430.3,1
1602231600,430.3,430.3,430.3,430.3,0
1602231660,430.04,430.04,430.04,430.04,1
1602231720,430.04,430.04,430.04,430.04,0
1602231780,430.53,430.53,430.53,430.53,1
1602231840,430.53,430.53,430.53,430.53,0
1602231900,430.53,430.53,430.53,430.53,0
1602231960,430.49,430.49,430.49,430.49,1
1602232020,430.49,430.49,430.49,430.49,0
1602232080,430.49,430.49,430.49,430.49,0
1602232140,430.6,430.6,430.58,430.58,3
1602232200,430.58,430.58,430.58,430.58,2
1602232260,430.7,430.7,430.53,430.54,3
1602232320,430.53,430.53,430.53,430.53,1
1602232380,430.53,430.53,430.53,430.53,0
1602232440,430.35,430.35,430.35,430.35,1
1602232500,430.21,430.22,430.21,430.22,2
1602232560,430.21,430.21,430.21,430.21,0
1602232620,430.21,430.21,430.21,430.21,0
1602232680,430.21,430.21,430.21,430.21,0
1602232740,430.21,430.21,430.21,430.21,0
1602232800,430.21,430.21,430.21,430.21,0
1602232860,430.21,430.21,430.21,430.21,0
1602232920,430.21,430.21,430.21,430.21,0
1602232980,430.21,430.21,430.21,430.21,0
1602233040,430.21,430.21,430.21,430.21,0
1602233100,430.21,430.21,430.21,430.21,0
1602233160,430.21,430.21,430.21,430.21,0
1602233220,430.21,430.21,430.21,430.21,0
1602233280,430.21,430.21,430.21,430.21,0
1602233340,430.21,430.22,430.21,430.22,2
1602233400,430.21,430.21,430.21,430.21,0
1602233460,430.21,430.21,430.21,430.21,0
1602233520,430.21,430.21,430.21,430.21,0
1602233580,430.21,430.21,430.21,430.21,0
1602233640,430.21,430.21,430.21,430.21,0
1602233700,430.21,430.21,430.21,430.21,0
1602233760,430.21,430.21,430.21,430.21,0
1602233820,430.21,430.21,430.21,430.21,0
1602233880,431.0,431.0,430.7,430.7,5
1602233940,430.75,430.75,430.75,430.75,1
1602234000,430.75,430.75,430.75,430.75,0
1602234060,430.8,430.8,430.8,430.8,1
1602234120,430.8,430.8,430.8,430.8,0
1602234180,430.79,430.8,430.79,430.8,5
1602234240,430.79,430.79,430.79,430.79,0
1602234300,430.26,430.26,430.26,430.26,1
1602234360,430.26,430.26,430.26,430.26,0
1602234420,430.9,430.9,430.9,430.9,1
1602234480,430.9,430.9,430.9,430.9,0
1602234540,430.9,430.9,430.9,430.9,0
1602234600,430.9,430.9,430.9,430.9,0
1602234660,430.9,430.9,430.9,430.9,0
1602234720,430.51,430.51,430.51,430.51,1
1602234780,430.51,430.51,430.51,430.51,0
1602234840,430.51,430.51,430.51,430.51,0
1602234900,430.51,430.51,430.51,430.51,0
1602234960,430.5,430.5,430.5,430.5,1
1602235020,430.5,430.5,430.5,430.5,0
1602235080,430.5,430.5,430.5,430.5,0
1602235140,430.5,430.5,430.5,430.5,0
1602235200,430.5,430.5,430.5,430.5,0
1602235260,430.25,430.33,430.25,430.33,2
1602235320,430.25,430.25,430.25,430.25,0
1602235380,430.25,430.25,430.25,430.25,0
1602235440,430.25,430.25,430.25,430.25,0
1602235500,430.5,430.5,430.5,430.5,1
1602235560,430.5,430.5,430.5,430.5,0
1602235620,430.5,430.5,430.5,430.5,0
1602235680,430.5,430.5,430.5,430.5,0
1602235740,430.5,430.5,430.5,430.5,0
1602235800,430.5,430.5,430.5,430.5,0
1602235860,430.5,430.5,430.5,430.5,0
1602235920,430.5,430.5,430.5,430.5,0
1602235980,430.5,430.5,430.5,430.5,0
1602236040,430.5,430.5,430.5,430.5,0
1602236100,430.5,430.5,430.5,430.5,0
1602236160,430.5,430.5,430.5,430.5,1
1602236220,430.5,430.5,430.5,430.5,0
1602236280,430.5,430.5,430.5,430.5,0
1602236340,430.5,430.5,430.5,430.5,0
1602236400,430.5,430.5,430.5,430.5,0
1602236460,430.5,430.5,430.5,430.5,0
1602236520,430.5,430.5,430.5,430.5,0
1602236580,430.5,430.5,430.5,430.5,0
1602236640,430.5,430.5,430.5,430.5,1
1602236700,430.5,430.5,430.5,430.5,0
1602236760,430.5,430.5,430.5,430.5,7
1602236820,430.5,430.5,430.5,430.5,0
1602236880,430.5,430.5,430.5,430.5,0
1602236940,430.5,430.5,430.5,430.5,0
1602237000,430.5,430.5,430.5,430.5,0
1602237060,430.5,430.5,430.5,430.5,0
1602237120,430.5,430.5,430.5,430.5,0
1602237180,430.5,430.5,430.5,430.5,0
1602237240,430.5,430.5,430.5,430.5,0
1602237300,430.5,430.5,430.5,430.5,0
1602237360,430.5,430.5,430.5,430.5,0
1602237420,430.5,430.5,430.5,430.5,0
1602237480,430.52,430.52,430.52,430.52,2
1602237540,430.52,430.52,430.52,430.52,0
1602237600,430.52,430.52,430.52,430.52,0
1602237660,430.52,430.52,430.52,430.52,0
1602237720,430.52,430.52,430.52,430.52,0
1602237780,430.5,430.5,430.5,430.5,2
1602237840,430.5,430.5,430.5,430.5,0
1602237900,430.5,430.5,430.5,430.5,0
1602237960,430.5,430.5,430.5,430.5,0
1602238020,430.5,430.5,430.5,430.5,0
1602238080,430.65,430.65,430.65,430.65,3
1602238140,430.65,430.65,430.65,430.65,0
1602238200,430.65,430.65,430.65,430.65,0
