,close,high,low,open,volume
1602241200,483.89,483.89,483.15,483.18,15
1602242100,484.44,484.5,483.9,484.25,22
1602243000,484.4,484.4,484.4,484.4,4
1602243900,486.5,487.04,484.76,484.76,48
1602244800,485.76,487.0,483.17,483.18,64
1602245700,486.8,486.8,485.5,485.5,43
1602246600,488.15,488.47,486.85,486.85,61
1602247500,488.1,489.0,488.0,488.4,114
1602248400,488.46,488.64,487.1,487.24,64
1602249300,487.99,488.59,487.6,488.58,34
1602250200,494.1,496.88,484.08,487.99,12695
1602251100,494.72,497.84,493.27,494.07,5491
1602252000,493.57,497.2,492.0,494.65,3958
1602252900,496.24,496.53,493.62,493.78,2260
1602253800,496.89,498.79,495.82,496.34,3987
1602254700,496.54,498.86,496.01,496.77,2681
1602255600,497.34,498.9,496.23,496.45,2147
1602256500,496.67,497.26,495.5,497.18,1276
1602257400,495.45,497.4,494.08,496.67,1607
1602258300,491.61,495.61,490.12,495.53,2649
1602259200,494.84,495.44,491.53,491.78,1685
1602260100,492.78,495.14,491.97,494.9,762
1602261000,493.98,495.47,492.6,492.95,891
1602261900,493.9,496.5,493.66,494.1,1333
1602262800,492.01,494.25,491.96,493.91,883
1602263700,492.0,493.72,491.25,492.23,850
1602264600,491.2,492.3,490.22,491.91,1264
1602265500,492.15,493.08,490.32,491.2,1035
1602266400,490.73,492.14,488.94,492.14,1442
1602267300,489.62,490.9,489.5,490.78,715
1602268200,489.89,490.2,488.41,489.61,1121
1602269100,491.07,491.65,489.03,489.83,1008
1602270000,489.36,491.34,488.21,490.89,949
1602270900,490.99,491.0,488.28,489.62,1323
1602271800,490.3,491.06,489.51,490.92,1062
1602272700,492.5,492.53,489.86,490.21,2489
1602273600,492.4,493.0,492.3,492.41,1340
1602274500,492.4,492.4,492.36,492.37,2
1602275400,492.6,492.86,492.3,492.6,62
1602276300,492.7,492.89,492.5,492.89,15
1602277200,492.4,492.64,492.4,492.64,14
1602278100,492.89,492.89,492.87,492.87,3
1602279000,492.89,492.89,492.89,492.89,0
1602279900,492.8,492.85,492.8,492.85,4
1602280800,492.99,493.0,492.88,492.88,10
1602281700,492.7,492.85,492.7,492.85,5
1602282600,492.95,492.95,492.95,492.95,1
1602283500,492.95,492.95,492.95,492.95,0
1602284400,493.0,493.0,493.0,493.0,4
1602285300,493.0,493.0,493.0,493.0,3
1602286200,493.05,493.05,492.7,492.7,4
1602287100,493.0,493.1,492.7,492.7,43
1602494100,500.0,500.0,500.0,500.0,3
1602495000,499.65,500.0,499.65,500.0,2
1602495900,499.7,499.7,499.7,499.7,1
1602496800,499.7,499.7,499.0,499.0,7
1602497700,500.14,500.14,499.54,499.8,6
1602498600,498.05,499.05,498.05,499.05,3
1602499500,498.05,498.05,498.05,498.05,0
1602500400,499.8,499.94,499.12,499.13,6
1602501300,499.88,499.9,499.75,499.77,11
1602502200,500.77,500.77,499.77,499.77,18
1602503100,501.48,501.48,500.5,500.68,31
1602504000,501.65,501.65,499.01,499.9,93
1602504900,502.0,502.2,501.2,501.9,43
1602505800,501.37,501.9,501.37,501.9,14
1602506700,501.2,502.02,501.2,501.5,39
1602507600,500.75,502.25,500.75,501.04,48
1602508500,500.73,501.0,499.71,501.0,117
1602509400,498.4,506.11,498.08,501.1,6405
1602510300,497.69,500.62,495.41,498.11,3284
1602511200,499.26,500.36,494.6,497.73,2099
1602512100,499.63,500.94,498.27,499.47,1885
1602513000,498.6,500.24,497.61,499.38,1008
1602513900,497.96,499.0,496.0,498.77,1006
1602514800,494.48,498.15,493.93,497.98,1661
1602515700,494.16,495.27,491.9,494.56,1978
1602516600,494.02,495.4,493.77,494.02,996
1602517500,491.44,494.52,490.47,494.0,1523
1602518400,493.26,493.94,491.0,491.43,811
1602519300,496.6,497.24,492.27,493.42,3255
1602520200,498.23,498.24,495.38,496.68,1237
1602521100,497.25,498.23,496.04,498.12,771
1602522000,496.58,497.45,495.51,497.45,662
1602522900,497.89,498.74,496.59,496.7,1104
1602523800,499.27,500.15,498.01,498.23,1539
1602524700,499.23,500.3,498.18,499.11,1068
1602525600,500.9,500.9,498.79,499.23,1041
1602526500,501.04,501.75,499.55,500.95,1029
1602527400,500.78,502.2,499.51,500.76,1407
1602528300,499.54,501.83,499.27,500.57,822
1602529200,498.19,500.55,497.78,499.86,1307
1602530100,497.56,499.01,496.17,498.19,1056
1602531000,497.3,497.67,496.03,497.6,813
1602531900,491.54,497.3,490.89,497.3,3257
1602532800,492.0,492.07,490.58,491.54,2092
1602533700,492.6,492.6,491.98,492.0,10
1602534600,493.44,493.44,492.5,492.5,10
1602535500,493.25,493.5,493.25,493.5,13
1602536400,493.25,493.25,493.25,493.25,1
1602537300,493.5,493.5,493.0,493.0,4
1602538200,494.17,494.8,493.74,493.75,23
1602539100,494.15,494.15,494.0,494.0,3
1602540000,494.15,494.15,494.15,494.15,0
1602540900,494.73,494.73,494.73,494.73,1
1602541800,494.25,494.5,494.25,494.5,5
1602542700,494.4,494.4,494.4,494.4,1
1602543600,494.4,494.4,494.05,494.34,5
1602544500,494.7,494.7,494.31,494.31,5
1602545400,494.8,494.8,494.5,494.5,2
1602546300,494.5,494.6,494.5,494.6,7
1602583200,495.48,495.48,495.48,495.48,1
1602584100,495.48,495.48,495.48,495.48,0
1602585000,495.48,495.48,495.48,495.48,0
1602585900,496.0,496.7,496.0,496.7,5
1602586800,496.39,496.39,495.0,496.0,10
1602587700,496.5,496.5,496.45,496.45,5
1602588600,495.6,496.4,495.45,496.4,3
1602589500,493.8,495.15,493.79,495.15,7
1602590400,493.95,496.88,493.51,496.51,70
1602591300,495.04,496.76,495.04,495.9,6
1602592200,494.91,495.6,494.91,495.14,95
1602593100,494.47,494.6,493.16,494.54,71
1602594000,492.2,493.45,492.2,493.45,48
1602594900,493.93,493.93,492.89,493.0,25
1602595800,498.64,500.77,493.0,493.99,4455
1602596700,504.79,504.88,497.2,498.36,3704
1602597600,501.39,505.94,499.35,504.6,3817
1602598500,503.69,505.1,500.48,501.53,2171
1602599400,508.34,508.64,503.71,504.08,2567
1602600300,509.37,509.65,507.38,508.39,2804
1602601200,506.25,509.5,505.6,509.48,1846
1602602100,508.54,508.95,505.46,506.4,1277
1602603000,513.18,513.2,507.83,508.5,4130
1602603900,512.94,514.12,510.6,513.01,2294
