,close,high,low,open,volume
1602241680,483.18,483.18,483.18,483.18,1
1602241740,483.18,483.18,483.18,483.18,3
1602241800,483.18,483.18,483.18,483.18,0
1602241860,483.15,483.15,483.15,483.15,1
1602241920,483.15,483.15,483.15,483.15,1
1602241980,483.15,483.15,483.15,483.15,0
1602242040,483.89,483.89,483.25,483.25,8
1602242100,483.89,483.89,483.89,483.89,0
1602242160,483.89,483.89,483.89,483.89,0
1602242220,483.9,484.25,483.9,484.25,5
1602242280,483.9,483.9,483.9,483.9,0
1602242340,483.9,483.9,483.9,483.9,0
1602242400,484.42,484.42,484.42,484.42,1
1602242460,484.42,484.42,484.42,484.42,0
1602242520,484.5,484.5,483.98,483.98,14
1602242580,484.5,484.5,484.5,484.5,0
1602242640,484.5,484.5,484.5,484.5,0
1602242700,484.25,484.25,484.25,484.25,1
1602242760,484.25,484.25,484.25,484.25,0
1602242820,484.44,484.44,484.44,484.44,1
1602242880,484.44,484.44,484.44,484.44,0
1602242940,484.44,484.44,484.44,484.44,0
1602243000,484.44,484.44,484.44,484.44,0
1602243060,484.44,484.44,484.44,484.44,0
1602243120,484.44,484.44,484.44,484.44,0
1602243180,484.44,484.44,484.44,484.44,0
1602243240,484.44,484.44,484.44,484.44,0
1602243300,484.44,484.44,484.44,484.44,0
1602243360,484.44,484.44,484.44,484.44,0
1602243420,484.44,484.44,484.44,484.44,0
1602243480,484.44,484.44,484.44,484.44,0
1602243540,484.4,484.4,484.4,484.4,4
1602243600,484.4,484.4,484.4,484.4,0
1602243660,484.4,484.4,484.4,484.4,0
1602243720,484.4,484.4,484.4,484.4,0
1602243780,484.4,484.4,484.4,484.4,0
1602243840,484.4,484.4,484.4,484.4,0
1602243900,484.4,484.4,484.4,484.4,0
1602243960,484.4,484.4,484.4,484.4,0
1602244020,485.0,485.0,484.76,484.76,7
1602244080,485.0,485.0,485.0,485.0,0
1602244140,486.97,487.0,486.54,486.54,24
1602244200,487.0,487.0,486.5,486.99,4
1602244260,487.0,487.04,487.0,487.04,4
1602244320,486.94,486.94,486.94,486.94,1
1602244380,487.0,487.0,487.0,487.0,1
1602244440,487.0,487.0,487.0,487.0,0
1602244500,487.0,487.0,487.0,487.0,0
1602244560,486.76,486.76,486.76,486.76,2
1602244620,486.76,486.76,486.76,486.76,0
1602244680,486.75,486.77,486.75,486.77,2
1602244740,486.5,486.5,486.5,486.5,1
1602244800,486.5,487.0,483.17,483.18,45
1602244860,486.5,486.5,486.5,486.5,0
1602244920,486.5,486.5,486.5,486.5,1
1602244980,486.38,486.38,486.37,486.38,1
1602245040,486.38,486.38,486.38,486.38,0
1602245100,486.3,486.3,486.3,486.3,1
1602245160,486.7,486.7,486.69,486.7,1
1602245220,486.31,486.7,486.31,486.7,2
