,close,high,low,open,volume
1602230400,183.66,183.66,183.66,183.66,1
1602231300,184.84,184.84,184.84,184.84,2
1602232200,184.84,184.84,184.84,184.84,0
1602233100,184.84,184.84,184.84,184.84,0
1602234000,184.84,184.84,184.84,184.84,0
1602234900,184.43,184.43,184.43,184.43,1
1602235800,184.43,184.43,184.43,184.43,0
1602236700,184.43,184.43,184.43,184.43,0
1602237600,184.43,184.43,184.43,184.43,0
1602238500,184.87,184.87,184.87,184.87,1
1602239400,184.87,184.87,184.87,184.87,0
1602240300,184.87,184.9,184.79,184.89,5
1602241200,184.85,184.89,184.47,184.47,7
1602242100,184.9,184.9,184.6,184.8,5
1602243000,185.25,185.25,184.93,184.93,17
1602243900,185.5,185.5,185.45,185.45,4
1602244800,185.5,185.69,184.8,184.9,66
1602245700,185.62,185.95,185.62,185.62,38
1602246600,185.78,185.9,185.67,185.8,7
1602247500,185.51,185.7,185.51,185.7,42
1602248400,185.5,185.79,185.47,185.73,17
1602249300,185.35,185.7,185.0,185.5,44
1602250200,184.37,185.12,183.77,185.12,4199
1602251100,184.34,185.02,184.14,184.45,1779
1602252000,183.96,184.5,183.73,184.35,2534
1602252900,184.6,184.79,183.84,183.9,1830
1602253800,184.96,185.64,184.61,184.62,2337
1602254700,185.17,185.4,184.61,184.95,1059
1602255600,185.4,185.55,185.18,185.3,982
1602256500,185.39,185.47,185.17,185.41,866
1602257400,185.39,185.86,185.18,185.32,1799
1602258300,185.73,186.17,185.29,185.4,2090
1602259200,186.56,186.56,185.54,185.73,1457
1602260100,186.35,186.88,186.1,186.58,1877
1602261000,186.61,186.79,186.05,186.29,1303
1602261900,186.82,187.19,186.46,186.65,1039
1602262800,187.09,187.38,186.82,186.88,1485
1602263700,186.48,187.09,186.14,187.09,1428
1602264600,186.39,186.55,185.7,186.55,1643
1602265500,186.8,186.8,186.25,186.39,700
1602266400,186.61,186.98,186.15,186.79,1185
1602267300,186.36,186.64,186.2,186.61,494
1602268200,186.55,186.61,186.19,186.31,861
1602269100,186.98,187.07,186.55,186.57,1947
1602270000,188.41,188.57,186.95,186.97,4389
1602270900,187.94,188.74,187.84,188.43,2953
1602271800,187.13,188.05,186.92,187.98,3466
1602272700,187.25,187.54,186.52,187.13,4606
1602273600,187.59,187.59,187.01,187.01,3299
1602274500,187.56,187.57,187.4,187.5,19
1602275400,187.6,187.6,187.45,187.58,14
1602276300,187.3,187.56,187.3,187.5,46
1602277200,188.0,188.0,188.0,188.0,14
1602278100,187.46,187.46,187.46,187.46,26
1602279000,187.8,187.96,187.8,187.96,10
1602279900,187.4,187.4,187.4,187.4,2
1602280800,187.55,187.55,187.31,187.45,35
1602281700,187.6,187.6,187.3,187.3,2
1602282600,187.32,187.48,187.32,187.48,2
1602283500,187.2,187.32,187.2,187.3,21
1602284400,187.4,187.4,187.4,187.4,1
1602285300,187.39,187.39,187.17,187.17,2
1602286200,187.3,187.3,187.15,187.27,12
1602287100,187.5,187.5,187.27,187.27,15
1602489600,190.0,190.0,189.95,189.95,6
1602490500,191.0,191.0,191.0,191.0,1
1602491400,191.0,191.0,191.0,191.0,0
1602492300,190.95,190.98,190.5,190.5,5
1602493200,190.8,190.84,190.8,190.84,3
1602494100,190.5,190.9,190.5,190.84,10
1602495000,190.9,190.9,190.84,190.84,5
1602495900,190.9,190.9,190.9,190.9,0
1602496800,190.65,190.65,190.65,190.65,3
1602497700,190.65,190.65,190.65,190.65,0
1602498600,190.6,190.66,190.6,190.66,3
1602499500,190.89,190.89,190.84,190.84,2
1602500400,190.5,191.38,190.0,190.8,94
1602501300,190.74,191.0,190.5,190.6,20
1602502200,190.52,191.0,190.49,190.84,28
1602503100,191.2,191.25,190.68,190.68,29
1602504000,191.5,191.9,190.05,190.7,77
1602504900,191.4,191.57,191.08,191.5,48
1602505800,191.6,191.7,191.33,191.45,80
1602506700,191.22,191.72,191.18,191.69,41
1602507600,191.0,191.5,191.0,191.18,64
1602508500,190.87,191.3,190.5,190.82,54
1602509400,187.98,191.94,187.83,190.68,9184
1602510300,189.44,189.85,187.28,188.16,4022
1602511200,187.96,189.41,187.56,189.28,2782
1602512100,188.21,189.1,187.71,188.04,1856
1602513000,188.7,189.17,188.1,188.16,1689
