,close,high,low,open,volume
1599105600.0,128.25,128.84,126.27,126.94,91893
1599106200.0,127.56,128.27,127.17,128.26,57779
1599106800.0,127.35,127.94,126.7,127.56,51889
1599107400.0,127.16,127.79,127.04,127.32,45864
1599108000.0,126.05,127.48,125.75,127.15,54651
1599108600.0,126.14,126.43,125.31,126.02,64757
1599109200.0,125.38,126.57,125.1,126.13,55519
1599109800.0,123.35,125.7,123.22,125.38,90173
1599110400.0,124.98,125.1,123.35,123.42,65558
1599111000.0,123.91,125.09,123.6,124.98,50549
1599111600.0,121.68,124.32,121.48,123.9,83135
1599112200.0,123.29,123.35,120.72,121.68,98152
1599112800.0,124.23,124.3,122.92,123.28,59154
1599113400.0,124.25,124.93,124.17,124.21,47361
1599114000.0,124.1,125.17,123.92,124.3,44503
1599114600.0,124.17,124.41,123.36,124.12,37017
1599115200.0,123.83,124.39,123.55,124.18,29728
1599115800.0,123.39,123.88,123.15,123.8,30797
1599116400.0,122.88,123.48,122.22,123.4,38534
1599117000.0,122.13,123.01,122.08,122.87,31049
1599117600.0,122.7,123.1,122.09,122.11,31789
1599118200.0,122.79,123.0,121.84,122.7,35435
1599118800.0,122.89,123.63,122.63,122.8,36423
1599119400.0,123.78,123.84,122.61,122.88,29592
1599120000.0,122.53,123.77,122.49,123.77,30675
1599120600.0,122.11,123.01,122.07,122.54,27999
1599121200.0,122.76,123.0,122.12,122.13,24425
1599121800.0,123.14,123.28,122.54,122.76,22214
1599122400.0,122.64,123.4,122.5,123.15,23320
1599123000.0,122.78,122.94,122.25,122.66,21674
1599123600.0,123.02,123.38,122.68,122.77,24408
1599124200.0,122.64,123.27,122.5,123.02,22381
1599124800.0,121.77,122.79,121.77,122.62,33879
1599125400.0,121.15,122.29,121.12,121.81,48753
1599126000.0,121.31,121.86,121.06,121.14,35652
1599126600.0,120.85,121.5,120.8,121.31,53284
1599127200.0,121.08,121.41,120.51,120.86,60417
1599127800.0,120.83,121.7,120.58,121.1,62470
1599128400.0,120.92,121.51,120.5,120.81,130580
1599192000.0,122.46,123.7,118.51,120.14,179434
1599192600.0,118.9,122.91,118.54,122.46,116631
1599193200.0,116.44,119.71,113.68,118.93,152721
1599193800.0,116.74,118.1,115.63,116.46,88348
1599194400.0,114.6,117.15,114.49,116.77,84966
1599195000.0,113.86,115.67,113.63,114.59,108953
1599195600.0,113.15,114.48,111.75,113.89,128597
1599196200.0,112.92,113.23,110.89,113.13,114046
1599196800.0,115.23,115.45,112.26,112.94,95154
1599197400.0,114.02,115.35,113.6,115.19,58609
1599198000.0,115.36,115.78,113.98,114.0,56464
1599198600.0,114.27,115.62,113.35,115.38,54888
1599199200.0,116.45,116.5,114.05,114.26,58190
1599199800.0,116.32,116.46,115.02,116.44,51722
1599200400.0,118.5,118.5,116.05,116.33,80206
1599201000.0,117.72,119.3,117.5,118.48,81503
1599201600.0,117.83,118.75,117.4,117.73,51085
1599202200.0,120.15,120.42,117.8,117.84,61317
1599202800.0,119.56,120.68,119.27,120.16,61364
