,close,high,low,open,volume
1599105600.0,128.1,128.1,126.27,126.94,21636
1599105660.0,127.92,128.43,127.8,128.05,10986
1599105720.0,128.0,128.27,127.68,127.85,7160
1599105780.0,128.55,128.75,127.61,127.99,9418
1599105840.0,127.7,128.62,127.6,128.55,7654
1599105900.0,127.86,127.96,127.42,127.75,8093
1599105960.0,127.92,128.48,127.81,127.84,6222
1599106020.0,128.6,128.64,127.87,127.95,6773
1599106080.0,128.46,128.84,128.12,128.61,7411
1599106140.0,128.25,128.47,127.86,128.45,6534
1599106200.0,127.89,128.27,127.7,128.26,5719
1599106260.0,127.91,128.0,127.71,127.87,4593
1599106320.0,127.52,128.2,127.41,127.9,8589
1599106380.0,127.21,127.76,127.17,127.54,6632
1599106440.0,127.74,127.8,127.18,127.24,5579
1599106500.0,127.54,127.85,127.41,127.74,5684
1599106560.0,127.86,127.88,127.28,127.56,4445
1599106620.0,128.0,128.07,127.6,127.88,6524
1599106680.0,127.68,128.14,127.68,128.0,4521
1599106740.0,127.56,127.69,127.35,127.69,5489
1599106800.0,127.58,127.66,127.23,127.56,4800
1599106860.0,127.83,127.94,127.52,127.57,4798
1599106920.0,127.56,127.84,127.47,127.81,4270
1599106980.0,127.28,127.66,127.24,127.56,4136
1599107040.0,126.74,127.43,126.71,127.26,9438
1599107100.0,127.33,127.57,126.7,126.71,6581
1599107160.0,127.44,127.6,127.32,127.34,4377
1599107220.0,127.44,127.49,127.2,127.44,4524
1599107280.0,126.96,127.46,126.91,127.45,5188
1599107340.0,127.35,127.37,126.92,126.96,3772
1599107400.0,127.37,127.55,127.23,127.32,4442
1599107460.0,127.6,127.65,127.31,127.36,4753
1599107520.0,127.75,127.79,127.36,127.61,5621
1599107580.0,127.33,127.79,127.2,127.77,4988
1599107640.0,127.43,127.6,127.32,127.38,4512
1599107700.0,127.65,127.67,127.34,127.45,3590
1599107760.0,127.45,127.74,127.42,127.66,4006
1599107820.0,127.36,127.53,127.25,127.45,5924
1599107880.0,127.43,127.45,127.3,127.35,2862
1599107940.0,127.16,127.55,127.04,127.43,5162
1599108000.0,127.23,127.48,127.1,127.15,3479
1599108060.0,127.04,127.24,126.88,127.21,5582
1599108120.0,126.79,127.19,126.76,127.04,4703
1599108180.0,126.94,127.1,126.77,126.81,4270
1599108240.0,127.27,127.3,126.95,126.97,4126
1599108300.0,126.94,127.3,126.8,127.25,3784
1599108360.0,126.67,126.97,126.59,126.93,6001
1599108420.0,126.55,126.69,126.48,126.68,5152
1599108480.0,126.34,126.64,126.31,126.56,6287
1599108540.0,126.05,126.35,125.75,126.34,11262
1599108600.0,125.51,126.12,125.51,126.02,7973
1599108660.0,125.82,126.0,125.31,125.51,7279
1599108720.0,125.78,126.25,125.7,125.81,6678
1599108780.0,125.52,125.99,125.5,125.79,7105
1599108840.0,125.62,125.65,125.37,125.51,6951
1599108900.0,126.09,126.25,125.61,125.63,7513
1599108960.0,125.91,126.43,125.69,126.08,7832
1599109020.0,126.07,126.09,125.77,125.92,4631
1599109080.0,125.94,126.14,125.85,126.07,4350
1599109140.0,126.14,126.14,125.79,125.93,4440
1599109200.0,125.82,126.18,125.3,126.13,7696
1599109260.0,126.02,126.05,125.72,125.82,3646
1599109320.0,126.22,126.57,126.01,126.04,7006
1599109380.0,126.27,126.5,126.19,126.22,4515
1599109440.0,125.93,126.36,125.9,126.25,5849
1599109500.0,126.07,126.18,125.9,125.94,3484
1599109560.0,126.15,126.34,126.04,126.06,3526
1599109620.0,125.67,126.29,125.62,126.14,5072
1599109680.0,125.31,125.77,125.27,125.68,6738
1599109740.0,125.38,125.44,125.1,125.28,7983
1599109800.0,125.47,125.65,125.34,125.38,5505
1599109860.0,125.38,125.7,125.3,125.46,5261
1599109920.0,125.2,125.49,125.17,125.4,4202
1599109980.0,125.15,125.35,125.1,125.2,5097
1599110040.0,125.05,125.22,124.6,125.18,13385
1599110100.0,124.83,125.09,124.6,125.07,7950
1599110160.0,124.05,124.9,123.75,124.85,15019
1599110220.0,124.21,124.5,124.01,124.02,8369
1599110280.0,123.69,124.24,123.22,124.24,14360
1599110340.0,123.35,123.95,123.33,123.73,11020
1599110400.0,124.23,124.25,123.35,123.42,10678
1599110460.0,124.37,124.4,124.02,124.26,7897
1599110520.0,124.89,124.92,124.31,124.35,7453
1599110580.0,124.67,124.98,124.55,124.9,6500
1599110640.0,124.95,125.04,124.43,124.65,7319
1599110700.0,124.3,125.0,124.3,124.95,6124
1599110760.0,124.63,124.72,124.2,124.3,4736
1599110820.0,124.83,124.85,124.5,124.62,4349
1599110880.0,124.96,125.1,124.78,124.84,5822
1599110940.0,124.98,125.08,124.58,124.96,4675
1599111000.0,124.61,125.09,124.54,124.98,5096
1599111060.0,124.38,124.77,124.25,124.64,4614
1599111120.0,124.64,124.88,124.36,124.36,3945
1599111180.0,124.66,124.66,124.25,124.62,4486
1599111240.0,123.98,124.69,123.93,124.69,5588
1599111300.0,124.09,124.29,123.85,123.97,6652
1599111360.0,123.89,124.25,123.66,124.1,5523
1599111420.0,123.77,124.11,123.75,123.89,4670
1599111480.0,123.67,124.0,123.6,123.81,4645
1599111540.0,123.91,124.14,123.6,123.68,5326
1599111600.0,124.05,124.24,123.83,123.9,5096
1599111660.0,124.19,124.19,123.54,124.04,5647
1599111720.0,123.8,124.32,123.75,124.19,5783
1599111780.0,123.72,124.04,123.64,123.82,3594
1599111840.0,123.89,124.16,123.65,123.65,6827
1599111900.0,123.52,123.91,123.43,123.89,7052
1599111960.0,123.25,123.96,123.23,123.5,7320
1599112020.0,122.87,123.38,122.81,123.25,11155
1599112080.0,122.02,122.91,122.02,122.9,16080
1599112140.0,121.68,122.46,121.48,122.06,14576
1599112200.0,121.37,122.31,121.36,121.68,13764
1599112260.0,121.59,122.0,120.72,121.42,18868
1599112320.0,121.81,122.66,121.22,121.62,11084
1599112380.0,122.28,122.34,121.57,121.83,8949
1599112440.0,121.96,122.41,121.86,122.28,8106
1599112500.0,122.4,122.41,121.91,121.91,6704
1599112560.0,122.98,122.99,122.36,122.37,7097
1599112620.0,123.19,123.26,122.79,122.98,9080
1599112680.0,122.95,123.25,122.82,123.19,8575
1599112740.0,123.29,123.35,122.93,122.95,5921
1599112800.0,123.28,123.4,122.96,123.28,5722
1599112860.0,123.72,123.84,123.18,123.25,6393
1599112920.0,123.59,123.74,123.39,123.72,6075
1599112980.0,123.53,123.61,122.92,123.59,7133
1599113040.0,123.62,123.83,123.42,123.51,6249
1599113100.0,123.39,123.76,123.06,123.63,5074
1599113160.0,123.22,123.53,123.22,123.38,3056
1599113220.0,123.52,123.66,122.94,123.23,6178
1599113280.0,123.95,124.03,123.49,123.56,6810
1599113340.0,124.23,124.3,123.82,123.95,6458
1599113400.0,124.68,124.7,124.18,124.21,6379
1599113460.0,124.39,124.68,124.37,124.65,5511
1599113520.0,124.7,124.8,124.3,124.37,5623
1599113580.0,124.83,124.84,124.52,124.69,5442
1599113640.0,124.43,124.83,124.4,124.83,5038
1599113700.0,124.48,124.56,124.2,124.42,4422
1599113760.0,124.78,124.84,124.46,124.48,4324
1599113820.0,124.65,124.93,124.51,124.77,3823
1599113880.0,124.44,124.66,124.31,124.64,3373
1599113940.0,124.25,124.54,124.17,124.45,3422
1599114000.0,124.34,124.51,124.25,124.3,3065
1599114060.0,124.34,124.53,124.25,124.34,3534
1599114120.0,124.72,124.77,124.3,124.32,3207
1599114180.0,124.74,124.83,124.56,124.7,3821
1599114240.0,125.16,125.17,124.7,124.75,7484
1599114300.0,124.55,125.16,124.52,125.15,4921
1599114360.0,124.56,124.85,124.53,124.54,3906
1599114420.0,124.27,124.8,124.21,124.56,4835
1599114480.0,124.01,124.5,124.01,124.26,4875
1599114540.0,124.1,124.18,123.92,124.05,4849
1599114600.0,123.91,124.41,123.89,124.12,3514
1599114660.0,123.37,123.97,123.37,123.9,5573
1599114720.0,123.68,123.76,123.36,123.36,4328
1599114780.0,123.83,123.98,123.67,123.69,3346
1599114840.0,123.73,123.86,123.51,123.82,3131
1599114900.0,123.57,123.81,123.52,123.75,3105
1599114960.0,123.61,123.73,123.42,123.57,4081
1599115020.0,124.16,124.25,123.58,123.63,4281
1599115080.0,123.96,124.17,123.86,124.15,3132
1599115140.0,124.17,124.17,123.66,123.94,2521
1599115200.0,124.34,124.39,124.03,124.18,3506
1599115260.0,124.26,124.33,124.07,124.32,2243
1599115320.0,124.23,124.31,124.16,124.28,1619
1599115380.0,124.06,124.35,123.97,124.21,3094
1599115440.0,124.17,124.24,123.95,124.04,3022
1599115500.0,123.72,124.35,123.69,124.14,4168
1599115560.0,123.74,123.95,123.65,123.68,3028
1599115620.0,123.6,124.0,123.57,123.73,3325
1599115680.0,123.69,123.82,123.55,123.6,2880
1599115740.0,123.83,123.98,123.7,123.72,2837
1599115800.0,123.58,123.88,123.52,123.8,2966
1599115860.0,123.53,123.68,123.42,123.56,3175
1599115920.0,123.65,123.85,123.48,123.53,2528
1599115980.0,123.67,123.76,123.52,123.63,2694
1599116040.0,123.24,123.68,123.23,123.66,5749
1599116100.0,123.33,123.61,123.15,123.25,3885
1599116160.0,123.22,123.46,123.2,123.32,2760
1599116220.0,123.41,123.48,123.19,123.2,2150
1599116280.0,123.29,123.44,123.24,123.39,2239
1599116340.0,123.39,123.54,123.24,123.29,2647
1599116400.0,123.4,123.48,123.21,123.4,2365
1599116460.0,122.91,123.41,122.87,123.4,5212
1599116520.0,122.74,123.03,122.67,122.91,4236
1599116580.0,122.56,122.88,122.5,122.72,4520
1599116640.0,122.3,122.7,122.24,122.55,4538
1599116700.0,122.35,122.43,122.22,122.33,4244
1599116760.0,122.66,122.67,122.35,122.35,4157
1599116820.0,122.91,122.99,122.66,122.66,4153
1599116880.0,122.73,122.92,122.62,122.91,2926
1599116940.0,122.88,122.88,122.61,122.72,2178
1599117000.0,122.81,123.01,122.8,122.87,3114
1599117060.0,122.76,122.99,122.65,122.82,2998
1599117120.0,122.69,122.95,122.67,122.78,1976
1599117180.0,122.62,122.79,122.4,122.69,2918
1599117240.0,122.42,122.67,122.3,122.61,3658
1599117300.0,122.56,122.58,122.14,122.41,4401
1599117360.0,122.67,122.91,122.51,122.56,3670
1599117420.0,122.34,122.79,122.31,122.66,2585
1599117480.0,122.24,122.56,122.22,122.32,2560
1599117540.0,122.13,122.4,122.08,122.22,3166
1599117600.0,122.38,122.47,122.1,122.11,3814
1599117660.0,122.24,122.49,122.2,122.36,3275
1599117720.0,122.26,122.37,122.15,122.22,2872
1599117780.0,122.16,122.41,122.09,122.27,3119
1599117840.0,122.51,122.63,122.14,122.18,3024
1599117900.0,122.73,122.74,122.28,122.5,2780
1599117960.0,123.07,123.1,122.6,122.73,3541
1599118020.0,122.93,123.08,122.8,123.07,3360
1599118080.0,122.67,122.94,122.65,122.94,2404
1599118140.0,122.7,122.95,122.6,122.66,3595
1599118200.0,122.46,122.94,122.44,122.7,3223
1599118260.0,122.44,122.58,122.39,122.48,2367
1599118320.0,122.38,122.55,122.29,122.45,2616
1599118380.0,122.01,122.43,122.0,122.39,5098
1599118440.0,122.15,122.32,121.84,122.0,4947
1599118500.0,122.27,122.52,122.12,122.14,3499
1599118560.0,122.42,122.5,122.11,122.25,3143
1599118620.0,122.4,122.59,122.31,122.4,2968
1599118680.0,122.68,122.68,122.24,122.4,2910
1599118740.0,122.79,123.0,122.56,122.69,4660
1599118800.0,122.97,123.05,122.69,122.8,4667
1599118860.0,123.11,123.18,122.83,122.98,3468
1599118920.0,123.42,123.48,122.96,123.11,4031
1599118980.0,123.5,123.63,123.17,123.42,4577
1599119040.0,123.46,123.57,123.25,123.47,3667
1599119100.0,123.14,123.48,123.12,123.47,3156
1599119160.0,122.97,123.33,122.92,123.15,3852
1599119220.0,122.84,123.03,122.8,123.0,2880
1599119280.0,122.8,123.04,122.63,122.83,3677
1599119340.0,122.89,122.99,122.77,122.79,2443
1599119400.0,122.85,123.05,122.75,122.88,2989
1599119460.0,122.68,123.05,122.63,122.83,2083
1599119520.0,122.96,123.14,122.61,122.69,3277
1599119580.0,123.29,123.37,122.96,122.98,3408
1599119640.0,123.14,123.31,123.04,123.29,3201
1599119700.0,123.14,123.19,123.0,123.14,2281
1599119760.0,123.32,123.46,123.14,123.15,3397
1599119820.0,123.43,123.46,123.22,123.35,2496
1599119880.0,123.67,123.76,123.43,123.44,3359
1599119940.0,123.78,123.84,123.53,123.66,3095
1599120000.0,123.27,123.77,123.22,123.77,4288
1599120060.0,123.07,123.42,123.0,123.31,3558
1599120120.0,123.22,123.32,123.05,123.08,2519
1599120180.0,123.01,123.24,123.0,123.23,2076
1599120240.0,122.76,123.14,122.75,123.01,3515
1599120300.0,122.87,122.93,122.71,122.76,2441
1599120360.0,122.89,123.06,122.82,122.89,2145
1599120420.0,122.59,122.9,122.51,122.89,3274
1599120480.0,122.51,122.77,122.5,122.6,2947
1599120540.0,122.53,122.6,122.49,122.52,3908
1599120600.0,122.84,122.85,122.5,122.54,2488
1599120660.0,122.91,123.01,122.82,122.83,3037
1599120720.0,122.72,122.92,122.7,122.9,2096
1599120780.0,122.48,122.75,122.44,122.7,3019
1599120840.0,122.28,122.58,122.19,122.47,3950
1599120900.0,122.36,122.48,122.25,122.27,2618
1599120960.0,122.47,122.56,122.33,122.36,2866
1599121020.0,122.49,122.54,122.4,122.47,2432
1599121080.0,122.28,122.53,122.26,122.5,2445
1599121140.0,122.11,122.42,122.07,122.28,3043
1599121200.0,122.6,122.65,122.12,122.13,3334
1599121260.0,122.82,122.83,122.51,122.58,3382
1599121320.0,122.57,122.82,122.53,122.82,2218
1599121380.0,122.62,122.7,122.56,122.56,2166
1599121440.0,122.89,122.93,122.62,122.64,2616
1599121500.0,122.87,122.93,122.75,122.88,2350
1599121560.0,122.81,123.0,122.79,122.88,2226
1599121620.0,122.8,122.88,122.6,122.81,2640
1599121680.0,122.72,122.88,122.72,122.79,1811
1599121740.0,122.76,122.83,122.66,122.73,1676
1599121800.0,122.65,122.77,122.54,122.76,2018
1599121860.0,123.03,123.24,122.63,122.63,3611
1599121920.0,122.92,123.12,122.81,123.04,2771
1599121980.0,122.95,122.99,122.75,122.92,1846
1599122040.0,122.96,123.09,122.9,122.95,1817
1599122100.0,122.9,122.98,122.75,122.96,2061
1599122160.0,123.25,123.27,122.81,122.88,2152
1599122220.0,123.17,123.28,123.1,123.27,1940
1599122280.0,123.08,123.18,123.04,123.17,1797
1599122340.0,123.14,123.24,122.95,123.09,2197
1599122400.0,123.21,123.38,123.13,123.15,2012
1599122460.0,123.3,123.35,123.2,123.2,1778
1599122520.0,123.17,123.4,123.15,123.28,2535
1599122580.0,122.88,123.23,122.85,123.16,2655
1599122640.0,122.87,122.92,122.67,122.88,2921
1599122700.0,122.75,122.92,122.62,122.89,2398
1599122760.0,122.73,122.79,122.6,122.75,2048
1599122820.0,122.63,122.75,122.5,122.72,2756
1599122880.0,122.62,122.69,122.5,122.63,1973
1599122940.0,122.64,122.78,122.55,122.61,2240
1599123000.0,122.62,122.79,122.53,122.66,2032
1599123060.0,122.61,122.75,122.53,122.62,1771
1599123120.0,122.58,122.7,122.51,122.61,1626
1599123180.0,122.53,122.6,122.4,122.6,2082
1599123240.0,122.52,122.64,122.46,122.51,1832
1599123300.0,122.39,122.52,122.3,122.52,2220
1599123360.0,122.55,122.57,122.25,122.4,2807
1599123420.0,122.73,122.8,122.49,122.55,2784
1599123480.0,122.84,122.94,122.7,122.75,2503
1599123540.0,122.78,122.88,122.73,122.83,2012
1599123600.0,123.06,123.09,122.68,122.77,3012
1599123660.0,123.24,123.24,123.02,123.04,2696
1599123720.0,123.24,123.38,123.18,123.22,2965
1599123780.0,123.25,123.26,123.1,123.22,2329
1599123840.0,122.96,123.24,122.89,123.24,2284
1599123900.0,123.14,123.22,122.85,122.92,2265
1599123960.0,123.09,123.2,123.03,123.17,1792
1599124020.0,123.21,123.24,123.02,123.07,1695
1599124080.0,123.34,123.38,123.12,123.2,2596
1599124140.0,123.02,123.37,123.0,123.35,2768
1599124200.0,123.03,123.27,123.01,123.02,2528
1599124260.0,122.91,123.06,122.88,123.05,2582
1599124320.0,123.05,123.07,122.8,122.91,3049
1599124380.0,122.84,123.06,122.8,123.06,1937
1599124440.0,122.88,122.97,122.72,122.83,2061
1599124500.0,122.87,122.99,122.82,122.9,1613
1599124560.0,122.8,123.0,122.79,122.87,1848
1599124620.0,122.61,122.86,122.55,122.81,2694
1599124680.0,122.72,122.75,122.59,122.61,1841
1599124740.0,122.64,122.71,122.5,122.7,2224
1599124800.0,122.66,122.73,122.54,122.62,1534
1599124860.0,122.53,122.66,122.5,122.65,2456
1599124920.0,122.48,122.6,122.4,122.55,3690
1599124980.0,122.38,122.55,122.27,122.47,2686
1599125040.0,122.65,122.79,122.38,122.39,4005
1599125100.0,122.25,122.65,122.22,122.65,2839
1599125160.0,122.14,122.31,122.08,122.25,3848
1599125220.0,122.21,122.41,122.11,122.15,3767
1599125280.0,122.17,122.22,122.02,122.18,2899
1599125340.0,121.77,122.27,121.77,122.16,6149
1599125400.0,121.89,122.29,121.78,121.81,5140
1599125460.0,121.55,121.9,121.5,121.86,4567
1599125520.0,121.33,121.61,121.3,121.54,5747
1599125580.0,121.31,121.5,121.21,121.34,5913
1599125640.0,121.31,121.5,121.25,121.31,4225
1599125700.0,121.49,121.67,121.28,121.32,5714
1599125760.0,121.82,121.9,121.23,121.5,5624
1599125820.0,121.67,121.85,121.55,121.83,4508
1599125880.0,121.54,121.71,121.5,121.67,2375
1599125940.0,121.15,121.55,121.12,121.53,4935
1599126000.0,121.18,121.5,121.06,121.14,4497
1599126060.0,121.43,121.58,121.16,121.17,3504
1599126120.0,121.27,121.45,121.14,121.43,3510
1599126180.0,121.56,121.69,121.14,121.26,3986
1599126240.0,121.73,121.75,121.41,121.56,3829
1599126300.0,121.57,121.86,121.56,121.75,4114
1599126360.0,121.63,121.82,121.42,121.59,3608
1599126420.0,121.46,121.66,121.32,121.63,2562
1599126480.0,121.43,121.63,121.37,121.46,3089
1599126540.0,121.31,121.49,121.29,121.43,2947
1599126600.0,121.17,121.5,121.14,121.31,4683
1599126660.0,121.08,121.23,121.04,121.18,5669
1599126720.0,121.17,121.41,121.0,121.09,5362
1599126780.0,121.14,121.31,121.0,121.17,3718
1599126840.0,121.17,121.18,120.9,121.1,6794
1599126900.0,121.23,121.24,120.85,121.17,6134
1599126960.0,121.38,121.44,121.12,121.24,5580
1599127020.0,121.17,121.43,121.13,121.4,4218
1599127080.0,121.09,121.42,121.07,121.17,4720
1599127140.0,120.85,121.11,120.8,121.09,6401
1599127200.0,121.13,121.22,120.76,120.86,7065
1599127260.0,121.01,121.24,120.86,121.13,4515
1599127320.0,120.97,121.02,120.75,121.0,5982
1599127380.0,120.96,121.15,120.77,120.96,4928
1599127440.0,120.52,120.98,120.51,120.98,7290
1599127500.0,121.05,121.1,120.52,120.53,6561
1599127560.0,121.02,121.25,121.0,121.03,6574
1599127620.0,121.09,121.24,121.0,121.02,4373
1599127680.0,121.29,121.34,121.02,121.11,5836
1599127740.0,121.08,121.41,121.0,121.33,7288
1599127800.0,120.89,121.1,120.77,121.1,4927
1599127860.0,121.3,121.37,120.8,120.84,5196
1599127920.0,121.28,121.3,121.03,121.28,4872
1599127980.0,121.63,121.65,121.19,121.27,6574
1599128040.0,121.41,121.7,121.3,121.63,5987
1599128100.0,121.32,121.59,121.3,121.41,6553
1599128160.0,121.01,121.38,121.0,121.32,6268
1599128220.0,120.91,121.13,120.8,121.02,6670
1599128280.0,120.64,120.95,120.58,120.91,6937
1599128340.0,120.83,121.05,120.64,120.64,8480
1599128400.0,120.74,120.82,120.5,120.81,10954
1599128460.0,120.86,121.09,120.66,120.71,8582
1599128520.0,121.26,121.29,120.85,120.85,8394
1599128580.0,121.18,121.31,120.88,121.28,8443
1599128640.0,120.87,121.51,120.79,121.18,12490
1599128700.0,121.22,121.34,120.72,120.88,11457
1599128760.0,121.11,121.23,120.99,121.23,9138
1599128820.0,121.0,121.13,120.86,121.11,12860
1599128880.0,120.94,121.15,120.79,120.99,16286
1599128940.0,120.92,121.22,120.81,120.94,31971
1599192000.0,120.35,120.36,118.51,120.14,60432
1599192060.0,121.65,121.73,120.33,120.36,16477
1599192120.0,122.59,122.62,121.0,121.65,15590
1599192180.0,122.64,122.99,122.17,122.61,15954
1599192240.0,121.86,122.66,121.7,122.61,12767
1599192300.0,122.87,122.93,121.75,121.84,11607
1599192360.0,123.28,123.7,122.66,122.89,14317
1599192420.0,123.18,123.37,122.92,123.31,12004
1599192480.0,122.75,123.19,122.51,123.18,11063
1599192540.0,122.46,123.2,122.41,122.81,9218
1599192600.0,122.43,122.91,122.29,122.46,7413
1599192660.0,121.55,122.49,121.55,122.43,10337
1599192720.0,120.53,121.95,120.52,121.55,12581
1599192780.0,120.32,120.69,120.19,120.53,13881
1599192840.0,119.88,120.49,119.37,120.28,12399
1599192900.0,119.0,120.18,119.0,119.88,14418
1599192960.0,118.88,119.68,118.82,118.96,10855
1599193020.0,118.54,119.55,118.54,118.89,12823
1599193080.0,118.61,119.52,118.55,118.56,10959
1599193140.0,118.9,119.37,118.59,118.62,10961
1599193200.0,119.33,119.71,118.91,118.93,7210
1599193260.0,119.35,119.47,118.65,119.33,10384
1599193320.0,118.92,119.45,118.61,119.38,6886
1599193380.0,118.16,119.2,118.1,118.89,10614
1599193440.0,115.5,118.57,115.5,118.18,24497
1599193500.0,115.57,116.72,115.27,115.47,21347
1599193560.0,116.7,116.93,115.33,115.57,16737
1599193620.0,115.03,116.83,113.68,116.73,24512
1599193680.0,115.29,116.17,114.2,115.01,18093
1599193740.0,116.44,116.5,115.06,115.29,12436
1599193800.0,116.87,116.9,115.63,116.46,11581
1599193860.0,117.01,117.2,116.64,116.89,11265
1599193920.0,117.55,117.63,116.62,117.06,10743
1599193980.0,117.59,117.89,117.4,117.57,8350
1599194040.0,117.47,118.1,117.26,117.59,11095
1599194100.0,116.77,117.5,116.69,117.48,9675
1599194160.0,117.0,117.26,116.73,116.82,5844
1599194220.0,116.75,117.25,116.5,116.96,6160
1599194280.0,116.84,117.22,116.63,116.74,7057
1599194340.0,116.74,116.9,116.33,116.83,6573
1599194400.0,116.41,117.15,116.32,116.77,8058
