,close,high,low,open,volume
1599624000.0,116.88,118.0,116.01,117.25,88883
1599624300.0,115.59,116.97,115.26,116.9,48949
1599624600.0,116.41,116.65,115.52,115.57,34100
1599624900.0,115.93,116.63,115.64,116.41,29358
1599625200.0,116.09,116.29,115.32,115.9,32833
1599625500.0,116.39,116.49,115.8,116.06,24621
1599625800.0,116.88,117.26,116.24,116.39,33468
1599626100.0,116.26,116.99,116.08,116.86,21602
1599626400.0,116.48,116.59,115.81,116.26,21936
1599626700.0,116.29,116.88,116.23,116.49,19487
1599627000.0,116.46,116.66,116.19,116.31,14603
1599627300.0,117.62,117.7,116.44,116.44,32677
1599627600.0,117.08,117.8,117.05,117.62,19453
1599627900.0,117.82,117.91,116.92,117.09,23449
1599628200.0,117.56,118.08,117.33,117.81,23897
1599628500.0,117.83,118.18,117.53,117.56,23603
1599628800.0,117.64,118.07,117.45,117.82,16693
1599629100.0,117.85,118.02,117.65,117.65,13713
1599629400.0,118.29,118.46,117.84,117.85,21154
1599629700.0,117.52,118.47,117.5,118.3,21009
1599630000.0,117.59,117.83,117.31,117.52,18668
1599630300.0,117.47,117.85,116.97,117.59,19215
1599630600.0,117.82,117.9,117.38,117.47,14780
1599630900.0,117.84,117.94,117.69,117.83,10768
1599631200.0,117.6,117.92,117.38,117.84,12229
1599631500.0,117.86,117.91,117.57,117.61,10346
1599631800.0,117.59,117.87,117.32,117.87,11473
1599632100.0,117.76,117.85,117.51,117.6,9014
1599632400.0,117.89,118.0,117.64,117.76,12607
1599632700.0,117.85,118.0,117.67,117.9,10443
1599633000.0,118.0,118.01,117.66,117.85,11582
1599633300.0,117.92,118.1,117.71,118.0,11178
1599633600.0,118.15,118.31,117.92,117.93,12668
1599633900.0,118.25,118.28,117.98,118.14,11879
1599634200.0,117.96,118.27,117.76,118.25,12452
1599634500.0,117.98,118.12,117.87,117.98,7710
1599634800.0,117.92,118.24,117.8,117.98,11726
1599635100.0,118.03,118.12,117.89,117.92,8267
1599635400.0,118.27,118.3,118.0,118.02,11759
1599635700.0,118.32,118.43,118.16,118.27,8560
1599636000.0,118.21,118.5,118.15,118.32,11813
1599636300.0,118.42,118.53,118.2,118.2,11083
1599636600.0,118.7,118.76,118.41,118.42,13453
1599636900.0,119.09,119.12,118.66,118.71,16742
1599637200.0,118.78,119.14,118.72,119.09,18341
1599637500.0,118.21,118.8,118.08,118.77,20249
1599637800.0,118.5,118.55,118.21,118.21,15196
1599638100.0,118.3,118.63,118.26,118.48,11469
1599638400.0,118.1,118.4,117.92,118.3,13317
1599638700.0,118.0,118.26,117.74,118.1,14506
1599639000.0,117.56,118.08,117.51,118.01,14173
1599639300.0,117.93,118.01,117.56,117.56,14111
1599639600.0,117.88,117.97,117.74,117.95,10687
1599639900.0,117.42,117.89,117.3,117.88,11868
1599640200.0,117.25,117.59,117.15,117.42,13626
1599640500.0,117.37,117.65,117.1,117.23,15554
1599640800.0,117.49,117.76,117.34,117.39,10486
1599641100.0,117.83,117.89,117.48,117.49,10570
1599641400.0,117.68,117.83,117.62,117.83,7706
1599641700.0,117.52,117.8,117.35,117.7,10583
1599642000.0,117.87,117.88,117.52,117.52,9307
1599642300.0,118.23,118.29,117.78,117.87,13439
1599642600.0,118.02,118.26,117.93,118.24,10559
1599642900.0,117.83,118.08,117.75,118.02,9054
1599643200.0,118.04,118.18,117.77,117.84,9650
1599643500.0,117.87,118.16,117.75,118.04,9701
1599643800.0,117.95,118.08,117.87,117.87,9966
1599644100.0,118.01,118.03,117.82,117.96,9780
1599644400.0,117.54,118.02,117.52,118.01,14026
1599644700.0,117.87,118.0,117.53,117.55,10380
1599645000.0,117.81,117.94,117.69,117.88,11749
1599645300.0,117.8,117.95,117.78,117.82,12178
1599645600.0,118.02,118.15,117.71,117.8,14133
1599645900.0,117.64,118.08,117.64,118.02,15075
1599646200.0,117.59,117.8,117.5,117.65,15163
1599646500.0,117.38,117.58,116.8,117.58,25541
1599646800.0,118.11,118.12,117.02,117.4,30571
1599647100.0,117.18,118.15,117.17,118.11,40874
1599710400.0,119.43,120.5,118.99,120.44,71344
1599710700.0,118.81,119.46,118.69,119.44,36149
1599711000.0,118.8,119.23,118.49,118.81,28361
1599711300.0,118.66,119.2,118.43,118.79,24499
1599711600.0,118.7,118.79,118.12,118.66,23625
1599711900.0,118.96,119.03,118.62,118.7,19301
1599712200.0,119.53,119.62,118.9,118.97,26657
1599712500.0,119.17,119.64,118.95,119.53,19681
1599712800.0,118.97,119.29,118.77,119.18,15510
1599713100.0,118.93,119.27,118.87,118.96,14698
1599713400.0,118.77,119.04,118.65,118.94,15796
1599713700.0,118.22,118.79,118.18,118.79,18922
1599714000.0,118.65,118.69,118.2,118.2,14933
1599714300.0,118.35,118.67,118.18,118.65,12185
1599714600.0,117.54,118.43,117.5,118.36,21100
1599714900.0,116.87,117.78,116.8,117.56,33844
1599715200.0,117.28,117.47,116.73,116.88,23933
1599715500.0,116.15,117.33,116.03,117.27,30112
1599715800.0,116.43,116.44,115.56,116.15,30615
1599716100.0,116.77,116.9,116.26,116.44,18811
1599716400.0,116.81,117.16,116.33,116.76,21080
1599716700.0,116.76,116.95,116.17,116.82,15688
1599717000.0,117.12,117.27,116.7,116.78,15226
1599717300.0,117.53,117.54,117.06,117.13,13588
1599717600.0,116.81,117.52,116.75,117.52,13074
1599717900.0,117.38,117.44,116.81,116.82,10356
1599718200.0,117.55,117.7,117.28,117.36,12930
1599718500.0,117.52,117.62,117.09,117.56,12012
1599718800.0,117.25,117.52,117.21,117.51,8949
1599719100.0,116.89,117.25,116.62,117.24,13507
1599719400.0,116.68,117.2,116.42,116.89,15274
1599719700.0,116.92,117.09,116.67,116.67,13788
1599720000.0,116.84,117.37,116.81,116.91,14211
1599720300.0,116.82,117.11,116.45,116.83,13496
1599720600.0,116.48,116.83,116.15,116.82,12810
1599720900.0,116.55,116.7,116.36,116.48,9856
1599721200.0,116.5,116.8,116.32,116.55,10135
1599721500.0,115.91,116.54,115.84,116.48,17946
1599721800.0,115.94,116.34,115.81,115.91,12498
1599722100.0,116.21,116.43,115.86,115.93,9467
1599722400.0,116.35,116.55,116.11,116.2,9231
1599722700.0,116.45,116.62,116.35,116.35,6371
