,close,high,low,open,volume
1600056000.0,114.23,114.82,114.21,114.72,22367
1600056060.0,113.99,114.73,113.86,114.22,8252
1600056120.0,114.21,114.54,113.9,113.99,5885
1600056180.0,114.19,114.23,113.75,114.21,5781
1600056240.0,113.76,114.24,113.72,114.23,5152
1600056300.0,113.6,113.96,113.59,113.79,4663
1600056360.0,113.95,113.99,113.52,113.6,4404
1600056420.0,114.19,114.38,113.94,113.95,6420
1600056480.0,114.12,114.25,114.07,114.23,3926
1600056540.0,114.22,114.28,113.95,114.12,5448
1600056600.0,114.56,114.57,114.16,114.22,7319
1600056660.0,114.6,114.62,114.37,114.56,5232
1600056720.0,114.9,114.91,114.51,114.59,6241
1600056780.0,114.83,114.94,114.73,114.9,4893
1600056840.0,114.74,114.85,114.45,114.82,6234
1600056900.0,114.99,115.03,114.72,114.75,8558
1600056960.0,115.32,115.32,114.91,115.0,7985
1600057020.0,115.47,115.6,115.26,115.3,8611
1600057080.0,115.33,115.71,115.31,115.46,8257
1600057140.0,115.46,115.46,114.96,115.32,8481
1600057200.0,115.23,115.57,115.14,115.48,4856
1600057260.0,115.37,115.47,115.22,115.23,3550
1600057320.0,115.3,115.44,115.2,115.35,3948
1600057380.0,114.93,115.32,114.83,115.32,5901
1600057440.0,115.08,115.13,114.93,114.94,4606
1600057500.0,115.06,115.23,114.94,115.09,5089
1600057560.0,115.01,115.24,114.93,115.04,4253
1600057620.0,114.97,115.04,114.9,115.01,2801
1600057680.0,114.89,114.98,114.75,114.98,3542
1600057740.0,114.83,114.97,114.73,114.89,3366
1600057800.0,114.57,114.95,114.51,114.81,4572
1600057860.0,114.68,114.69,114.42,114.56,4635
1600057920.0,114.94,115.04,114.67,114.68,4920
1600057980.0,114.91,115.1,114.89,114.95,4153
1600058040.0,115.15,115.16,114.85,114.91,3930
1600058100.0,115.04,115.15,114.97,115.15,2550
1600058160.0,115.16,115.24,114.97,115.06,3738
1600058220.0,115.06,115.16,114.92,115.16,3178
1600058280.0,115.09,115.11,114.9,115.06,2804
1600058340.0,115.38,115.42,115.1,115.1,4434
1600058400.0,115.15,115.39,115.11,115.38,3929
1600058460.0,115.01,115.28,114.98,115.16,3142
1600058520.0,115.03,115.04,114.92,115.0,2778
1600058580.0,115.19,115.28,114.98,115.03,3176
1600058640.0,115.1,115.22,115.0,115.19,2491
1600058700.0,115.16,115.18,114.93,115.11,3012
1600058760.0,115.12,115.19,115.04,115.16,3252
1600058820.0,115.03,115.18,114.97,115.12,2827
1600058880.0,115.06,115.08,114.92,115.04,2332
1600058940.0,114.93,115.08,114.85,115.06,3741
1600059000.0,114.89,115.03,114.82,114.93,2742
1600059060.0,114.89,115.04,114.87,114.89,2612
1600059120.0,114.91,114.93,114.73,114.88,3777
1600059180.0,114.91,115.07,114.86,114.91,3650
1600059240.0,114.95,114.97,114.87,114.92,2210
1600059300.0,114.99,115.02,114.86,114.95,3089
1600059360.0,114.99,115.09,114.98,114.99,3931
1600059420.0,114.92,115.04,114.91,115.0,2492
1600059480.0,114.93,114.94,114.84,114.91,3072
1600059540.0,115.0,115.08,114.91,114.93,3286
1600059600.0,114.81,115.02,114.76,115.0,2917
1600059660.0,114.37,114.82,114.31,114.82,4893
1600059720.0,114.45,114.47,114.2,114.38,3511
1600059780.0,114.38,114.54,114.37,114.45,3084
1600059840.0,114.43,114.46,114.22,114.38,4976
1600059900.0,114.91,114.92,114.4,114.43,7025
1600059960.0,114.73,115.0,114.72,114.9,4331
1600060020.0,114.85,114.89,114.73,114.73,2207
1600060080.0,114.64,114.9,114.61,114.84,3605
1600060140.0,114.57,114.72,114.53,114.64,1940
1600060200.0,114.39,114.61,114.38,114.57,3232
1600060260.0,114.38,114.48,114.31,114.39,2274
1600060320.0,114.46,114.53,114.33,114.36,2104
1600060380.0,114.49,114.51,114.41,114.46,2739
1600060440.0,114.22,114.53,114.13,114.49,3755
1600060500.0,114.08,114.29,114.01,114.22,3611
1600060560.0,114.07,114.13,113.97,114.07,3764
1600060620.0,113.92,114.07,113.85,114.06,3729
1600060680.0,113.96,114.09,113.91,113.91,3806
1600060740.0,113.98,114.08,113.93,113.95,3201
1600060800.0,114.11,114.17,113.95,113.98,3326
1600060860.0,114.16,114.2,114.06,114.1,2842
1600060920.0,114.23,114.33,114.16,114.17,3444
1600060980.0,114.22,114.24,114.07,114.23,2333
1600061040.0,114.2,114.27,114.14,114.22,2116
1600061100.0,114.02,114.2,114.01,114.19,2623
1600061160.0,114.09,114.14,114.02,114.03,1827
1600061220.0,114.21,114.26,114.07,114.08,2095
1600061280.0,114.36,114.38,114.19,114.21,3024
1600061340.0,114.5,114.52,114.35,114.36,2810
1600061400.0,114.44,114.5,114.35,114.49,2499
1600061460.0,114.34,114.48,114.31,114.45,2168
1600061520.0,114.42,114.46,114.32,114.34,1786
1600061580.0,114.21,114.43,114.2,114.42,2540
1600061640.0,114.31,114.4,114.2,114.21,2400
1600061700.0,114.41,114.42,114.26,114.3,1781
1600061760.0,114.5,114.55,114.37,114.41,2876
1600061820.0,114.43,114.52,114.43,114.5,2095
1600061880.0,114.29,114.44,114.26,114.44,2075
1600061940.0,114.23,114.38,114.21,114.29,2327
1600062000.0,113.97,114.24,113.95,114.23,4298
1600062060.0,113.82,114.03,113.76,113.97,3564
1600062120.0,113.76,113.87,113.76,113.82,2399
1600062180.0,113.92,113.97,113.67,113.77,3854
