,close,high,low,open,volume
1598442300.0,1.18322,1.18345,1.18316,1.18345,-1
1598442360.0,1.18322,1.18322,1.18322,1.18322,-1
1598442420.0,1.18335,1.18335,1.1832,1.18322,-1
1598442480.0,1.18335,1.18335,1.18335,1.18335,-1
1598442540.0,1.18325,1.18335,1.18325,1.18335,-1
1598442600.0,1.18322,1.18325,1.18322,1.18325,-1
1598442660.0,1.18322,1.18322,1.18322,1.18322,-1
1598442720.0,1.18322,1.18322,1.18322,1.18322,-1
1598442780.0,1.18322,1.18322,1.18322,1.18322,-1
1598442840.0,1.18322,1.18325,1.1832,1.18322,-1
1598442900.0,1.18322,1.18322,1.18322,1.18322,-1
1598442960.0,1.18322,1.18322,1.18322,1.18322,-1
1598443020.0,1.18322,1.18322,1.18322,1.18322,-1
1598443080.0,1.1833,1.18337,1.18322,1.18322,-1
1598443140.0,1.18331,1.18337,1.1833,1.1833,-1
1598443200.0,1.18339,1.18339,1.18331,1.18331,-1
1598443260.0,1.18331,1.18339,1.18331,1.18339,-1
1598443320.0,1.18331,1.18331,1.18331,1.18331,-1
1598443380.0,1.18331,1.18331,1.18331,1.18331,-1
1598443440.0,1.18331,1.18331,1.18331,1.18331,-1
1598443500.0,1.18331,1.18332,1.18329,1.18331,-1
1598443560.0,1.18331,1.18331,1.18327,1.18331,-1
1598443620.0,1.18327,1.18331,1.18327,1.18331,-1
1598443680.0,1.18336,1.18336,1.18312,1.18327,-1
1598443740.0,1.18326,1.18336,1.18316,1.18336,-1
1598443800.0,1.18325,1.18326,1.18325,1.18326,-1
1598443860.0,1.18322,1.18325,1.18319,1.18325,-1
1598443920.0,1.18329,1.18329,1.1832,1.18322,-1
1598443980.0,1.18319,1.18334,1.18311,1.18329,-1
1598444040.0,1.18317,1.18319,1.18314,1.18319,-1
1598444100.0,1.18317,1.18317,1.18314,1.18317,-1
1598444160.0,1.18322,1.18322,1.18317,1.18317,-1
1598444220.0,1.18322,1.18323,1.18322,1.18322,-1
1598444280.0,1.18312,1.18322,1.18307,1.18322,-1
1598444340.0,1.18312,1.18314,1.18312,1.18312,-1
1598444400.0,1.18314,1.18316,1.18312,1.18312,-1
1598444460.0,1.18316,1.18327,1.18312,1.18314,-1
1598444520.0,1.18316,1.1832,1.18316,1.18316,-1
1598444580.0,1.1832,1.1832,1.18316,1.18316,-1
1598444640.0,1.18321,1.18321,1.18313,1.1832,-1
1598444700.0,1.18321,1.18325,1.18308,1.18321,-1
1598444760.0,1.1832,1.18323,1.1832,1.18321,-1
1598444820.0,1.1832,1.1832,1.18319,1.1832,-1
1598444880.0,1.1832,1.1832,1.18317,1.1832,-1
1598444940.0,1.1832,1.1832,1.18317,1.1832,-1
1598445000.0,1.1833,1.18334,1.18314,1.1832,-1
1598445060.0,1.18332,1.18332,1.18328,1.1833,-1
1598445120.0,1.18332,1.18335,1.1833,1.18332,-1
1598445180.0,1.1833,1.18332,1.1833,1.18332,-1
1598445240.0,1.1833,1.18332,1.1833,1.1833,-1
1598445300.0,1.18334,1.18334,1.1833,1.1833,-1
1598445360.0,1.18328,1.18334,1.18328,1.18334,-1
1598445420.0,1.18325,1.18329,1.18316,1.18328,-1
1598445480.0,1.18325,1.18325,1.18325,1.18325,-1
1598445540.0,1.18321,1.18325,1.18319,1.18325,-1
1598445600.0,1.18322,1.18326,1.18319,1.18321,-1
1598445660.0,1.18323,1.18323,1.18317,1.18322,-1
1598445720.0,1.18322,1.18325,1.18322,1.18323,-1
1598445780.0,1.18322,1.18322,1.18319,1.18322,-1
1598445840.0,1.1832,1.18322,1.1832,1.18322,-1
1598445900.0,1.18321,1.18322,1.18316,1.1832,-1
1598445960.0,1.1832,1.18322,1.18319,1.18321,-1
1598446020.0,1.18312,1.1832,1.18311,1.1832,-1
1598446080.0,1.18332,1.18332,1.18307,1.18312,-1
1598446140.0,1.1833,1.18342,1.1833,1.18332,-1
1598446200.0,1.18334,1.1834,1.1833,1.1833,-1
1598446260.0,1.1834,1.1834,1.18334,1.18334,-1
1598446320.0,1.18318,1.1834,1.18316,1.1834,-1
1598446380.0,1.1832,1.1832,1.18316,1.18318,-1
1598446440.0,1.18342,1.18343,1.1832,1.1832,-1
1598446500.0,1.18332,1.18342,1.1833,1.18342,-1
1598446560.0,1.18327,1.18332,1.18327,1.18332,-1
1598446620.0,1.1833,1.1833,1.18325,1.18327,-1
1598446680.0,1.18331,1.18332,1.18329,1.1833,-1
1598446740.0,1.18334,1.18337,1.18331,1.18331,-1
1598446800.0,1.18332,1.18335,1.18331,1.18334,-1
1598446860.0,1.18334,1.18334,1.18331,1.18332,-1
1598446920.0,1.18339,1.18339,1.18332,1.18334,-1
1598446980.0,1.18344,1.18346,1.18339,1.18339,-1
1598447040.0,1.18344,1.18346,1.18342,1.18344,-1
1598447100.0,1.18331,1.18344,1.18331,1.18344,-1
1598447160.0,1.18326,1.18334,1.18326,1.18331,-1
1598447220.0,1.1833,1.18332,1.18322,1.18326,-1
1598447280.0,1.1834,1.1834,1.18326,1.1833,-1
1598447340.0,1.18342,1.18344,1.18338,1.1834,-1
1598447400.0,1.18351,1.18354,1.18342,1.18342,-1
1598447460.0,1.18354,1.18358,1.18351,1.18351,-1
1598447520.0,1.18353,1.18358,1.18351,1.18354,-1
1598447580.0,1.1836,1.1836,1.18351,1.18353,-1
1598447640.0,1.1837,1.18371,1.18357,1.1836,-1
1598447700.0,1.18363,1.18373,1.18362,1.1837,-1
1598447760.0,1.1837,1.18381,1.18351,1.18363,-1
1598447820.0,1.18364,1.18371,1.1836,1.1837,-1
1598447880.0,1.18373,1.18373,1.18364,1.18364,-1
1598447940.0,1.1838,1.1838,1.18373,1.18373,-1
1598448000.0,1.18379,1.18381,1.18376,1.1838,-1
1598448060.0,1.18369,1.18379,1.18364,1.18379,-1
1598448120.0,1.1837,1.18373,1.18362,1.18369,-1
1598448180.0,1.1837,1.18372,1.18366,1.1837,-1
