,close,high,low,open,volume
1599105600.0,356.11,356.38,355.45,355.86,27440
1599106200.0,356.06,356.22,355.18,356.1,24149
1599106800.0,355.8,356.06,355.16,356.06,13854
1599107400.0,354.57,355.92,354.54,355.77,16303
1599108000.0,353.73,354.83,353.6,354.57,18543
1599108600.0,352.74,353.81,352.01,353.74,34349
1599109200.0,351.81,353.15,351.41,352.74,26936
1599109800.0,350.42,352.23,350.35,351.81,44584
1599110400.0,351.32,351.7,350.42,350.42,25833
1599111000.0,348.77,351.48,348.3,351.33,37881
1599111600.0,345.43,349.28,345.31,348.8,56597
1599112200.0,347.28,347.34,345.2,345.4,65374
1599112800.0,348.26,348.37,346.51,347.28,38190
1599113400.0,348.7,349.36,348.21,348.26,38163
1599114000.0,348.05,349.4,347.72,348.71,20472
1599114600.0,348.19,348.39,347.14,348.06,19141
1599115200.0,348.57,348.85,348.01,348.2,26395
1599115800.0,347.55,348.57,347.43,348.55,17310
1599116400.0,347.06,347.81,346.04,347.55,19137
1599117000.0,345.72,347.2,345.7,347.05,20571
1599117600.0,345.66,346.68,345.49,345.72,18702
1599118200.0,345.6,345.87,344.26,345.65,27424
1599118800.0,345.66,346.76,345.41,345.6,19679
1599119400.0,346.92,346.98,345.33,345.65,17220
1599120000.0,345.1,346.91,344.96,346.91,20226
1599120600.0,344.74,345.71,344.7,345.09,19063
1599121200.0,345.58,346.07,344.74,344.74,15876
1599121800.0,345.81,346.06,345.19,345.59,17077
1599122400.0,345.06,346.4,344.8,345.8,22097
1599123000.0,345.52,345.69,344.65,345.09,16679
1599123600.0,346.23,347.0,345.31,345.51,19262
1599124200.0,345.24,346.49,345.03,346.23,17278
1599124800.0,344.0,345.53,343.97,345.23,21239
1599125400.0,343.77,344.52,343.22,344.0,33926
1599126000.0,343.95,344.66,343.39,343.77,23845
1599126600.0,342.91,344.1,342.79,343.96,30217
1599127200.0,344.1,344.45,342.59,342.91,43550
1599127800.0,343.55,344.91,343.47,344.1,44277
1599128400.0,345.41,345.92,342.96,343.53,95003
1599192000.0,346.46,347.83,345.51,346.13,38284
1599192600.0,344.85,347.09,344.68,346.46,34961
1599193200.0,343.56,345.39,343.05,344.84,36795
1599193800.0,343.81,344.72,343.38,343.55,21733
1599194400.0,340.36,344.0,340.28,343.81,37749
1599195000.0,339.23,341.58,339.08,340.36,44681
1599195600.0,337.74,340.13,336.24,339.24,45948
1599196200.0,337.38,337.79,334.87,337.72,51285
1599196800.0,338.42,338.96,336.18,337.38,34019
1599197400.0,337.11,338.79,336.87,338.41,20309
1599198000.0,337.65,338.25,336.73,337.11,19240
1599198600.0,336.39,337.66,335.42,337.64,20077
1599199200.0,338.11,338.29,336.27,336.4,21836
1599199800.0,337.57,338.24,336.69,338.12,21068
1599200400.0,339.21,339.55,337.25,337.58,21355
1599201000.0,338.6,339.78,338.5,339.22,19803
1599201600.0,338.41,339.33,338.05,338.64,14204
1599202200.0,340.5,340.55,338.31,338.41,15793
1599202800.0,340.98,341.43,340.08,340.49,20189
1599203400.0,340.69,341.6,340.54,341.01,17066
1599204000.0,340.91,341.07,340.06,340.69,16805
1599204600.0,339.98,340.9,339.51,340.89,13641
1599205200.0,338.66,340.22,338.61,339.96,13890
1599205800.0,339.31,339.93,338.6,338.65,11523
1599206400.0,339.72,339.92,338.46,339.31,14439
1599207000.0,339.97,340.4,339.29,339.72,13137
1599207600.0,340.36,340.58,339.21,339.96,10965
1599208200.0,340.17,340.76,339.77,340.36,9556
1599208800.0,340.54,340.79,339.69,340.16,6418
1599209400.0,341.5,341.61,340.21,340.55,11957
1599210000.0,342.8,342.9,341.06,341.49,14754
1599210600.0,343.53,344.35,342.71,342.8,22513
1599211200.0,344.55,344.63,343.25,343.53,19356
1599211800.0,344.5,344.65,343.65,344.56,19031
1599212400.0,344.57,344.91,343.31,344.49,18982
1599213000.0,345.0,345.4,344.43,344.55,24558
1599213600.0,343.22,345.01,342.75,345.0,36000
1599214200.0,342.55,343.99,342.44,343.21,40930
1599214800.0,342.6,343.42,342.26,342.55,86156
1599537600.0,336.34,336.98,335.44,336.71,51735
1599538200.0,334.3,336.34,333.86,336.34,43050
1599538800.0,336.7,336.86,334.07,334.27,27821
1599539400.0,336.44,336.89,334.8,336.72,26421
1599540000.0,336.57,337.44,336.11,336.46,30252
1599540600.0,337.45,337.62,336.05,336.57,23936
1599541200.0,337.79,338.06,336.59,337.45,21759
1599541800.0,335.32,337.87,335.31,337.79,16585
1599542400.0,335.85,336.59,335.12,335.32,12742
1599543000.0,336.67,336.88,335.32,335.9,15999
1599543600.0,337.21,337.36,336.6,336.68,10241
1599544200.0,336.41,337.33,335.94,337.24,13806
1599544800.0,335.36,336.64,335.25,336.41,12683
1599545400.0,335.39,335.62,334.7,335.35,13959
1599546000.0,335.49,335.74,334.43,335.4,14228
1599546600.0,335.98,336.23,335.29,335.48,11643
1599547200.0,336.0,336.4,335.68,335.98,12008
1599547800.0,335.83,336.65,335.72,336.0,10058
1599548400.0,335.97,336.35,335.5,335.8,8736
1599549000.0,336.78,336.88,335.57,335.96,8714
1599549600.0,336.77,336.99,336.49,336.79,8259
1599550200.0,336.14,336.94,336.12,336.75,5670
1599550800.0,337.17,337.28,336.02,336.15,7726
1599551400.0,336.89,337.28,336.75,337.17,6534
1599552000.0,337.25,337.39,336.47,336.88,11321
1599552600.0,337.48,337.64,337.17,337.27,10019
1599553200.0,337.17,337.74,337.08,337.49,10607
1599553800.0,336.79,337.56,336.49,337.2,8484
1599554400.0,335.92,336.92,335.72,336.78,9889
1599555000.0,335.43,336.07,335.29,335.92,11391
1599555600.0,334.44,335.42,334.28,335.42,15846
1599556200.0,333.94,334.58,333.44,334.44,22742
1599556800.0,334.5,334.75,333.03,333.89,28725
1599557400.0,333.44,334.5,332.88,334.49,23512
1599558000.0,334.06,334.47,333.37,333.44,26976
1599558600.0,335.0,335.04,333.93,333.99,24335
1599559200.0,334.75,335.51,334.29,335.0,29358
1599559800.0,334.38,335.14,333.72,334.76,36566
1599560400.0,333.26,334.38,332.88,334.37,97701
1599624000.0,336.78,337.8,336.61,337.55,39466
1599624600.0,336.9,337.6,336.62,336.73,27933
1599625200.0,338.16,338.16,336.69,336.91,25355
1599625800.0,338.23,339.12,338.11,338.16,30285
1599626400.0,338.87,339.29,338.17,338.24,25127
1599627000.0,339.41,339.84,338.62,338.86,28664
1599627600.0,339.66,339.8,339.27,339.41,26858
1599628200.0,339.31,339.87,339.17,339.66,13603
1599628800.0,339.37,339.59,339.01,339.32,12271
1599629400.0,339.33,340.35,339.24,339.39,15496
1599630000.0,339.32,339.63,338.92,339.36,10788
1599630600.0,340.03,340.13,339.27,339.33,7680
1599631200.0,340.14,340.25,339.8,340.03,8418
1599631800.0,340.4,340.53,339.82,340.14,7256
1599632400.0,340.25,340.56,340.04,340.41,8262
1599633000.0,340.53,340.6,340.12,340.27,5566
1599633600.0,340.79,340.82,340.53,340.53,6751
1599634200.0,340.57,340.82,337.14,340.78,6526
1599634800.0,340.99,341.02,340.55,340.57,6597
1599635400.0,341.19,341.39,340.95,340.99,7429
1599636000.0,341.15,341.25,340.95,341.19,4269
1599636600.0,341.99,342.0,341.16,341.16,12418
1599637200.0,341.56,342.23,341.47,341.99,12847
1599637800.0,341.77,341.98,341.56,341.56,5918
1599638400.0,341.87,342.09,341.54,341.75,8441
1599639000.0,341.52,341.96,341.11,341.88,12979
1599639600.0,341.14,341.62,341.04,341.53,6191
1599640200.0,341.28,341.35,340.7,341.15,16581
1599640800.0,341.46,341.55,341.17,341.31,7964
1599641400.0,340.98,341.48,340.81,341.46,7928
1599642000.0,341.82,341.92,340.98,340.98,7533
1599642600.0,341.59,341.95,341.49,341.81,6702
1599643200.0,341.68,341.99,341.43,341.59,8407
1599643800.0,342.18,342.21,341.67,341.67,13664
1599644400.0,342.17,342.2,341.75,342.19,11086
1599645000.0,342.24,342.43,342.0,342.17,14908
1599645600.0,341.16,342.46,341.15,342.25,31287
1599646200.0,340.81,341.43,340.48,341.15,38153
1599646800.0,339.76,341.4,339.63,340.92,80869
1599710400.0,341.98,342.22,341.21,341.82,19741
1599711000.0,341.74,342.43,341.73,342.01,12902
1599711600.0,341.61,342.27,341.2,341.74,13397
1599712200.0,342.18,342.53,341.51,341.62,15139
1599712800.0,342.33,342.52,341.67,342.19,10742
1599713400.0,341.3,342.48,341.29,342.35,14313
1599714000.0,342.06,342.22,341.29,341.3,8418
1599714600.0,340.19,342.15,339.87,342.07,23922
1599715200.0,338.8,340.93,338.64,340.21,33659
1599715800.0,339.75,339.98,338.12,338.8,28065
1599716400.0,339.85,340.29,338.85,339.73,19518
1599717000.0,340.81,340.82,339.8,339.84,14594
1599717600.0,340.43,340.81,340.0,340.79,12767
1599718200.0,340.73,340.83,339.89,340.45,8444
1599718800.0,339.43,340.74,339.16,340.73,10826
1599719400.0,339.31,339.96,338.73,339.43,11609
1599720000.0,339.27,339.83,338.7,339.34,6209
1599720600.0,338.84,339.29,338.31,339.26,9122
1599721200.0,337.51,339.16,337.37,338.82,15896
1599721800.0,337.7,338.05,337.33,337.5,10068
1599722400.0,338.51,338.72,337.6,337.7,7721
1599723000.0,339.05,339.08,338.21,338.5,8479
1599723600.0,339.6,339.6,338.71,339.04,7695
1599724200.0,338.52,339.6,338.4,339.6,7989
1599724800.0,338.39,339.2,338.37,338.57,7477
1599725400.0,338.32,338.56,338.04,338.4,6536
1599726000.0,337.78,338.46,337.57,338.31,8498
1599726600.0,338.0,338.51,337.63,337.75,9226
1599727200.0,336.58,338.22,336.36,338.0,16027
1599727800.0,334.28,336.89,334.18,336.57,33054
1599728400.0,335.59,335.61,334.11,334.26,30667
1599729000.0,335.74,335.9,334.35,335.58,19491
1599729600.0,336.02,336.24,334.92,335.7,18093
1599730200.0,334.28,336.11,334.2,336.03,19999
1599730800.0,333.33,334.74,333.3,334.29,29064
1599731400.0,334.02,334.28,332.85,333.32,23573
1599732000.0,334.51,334.78,333.62,334.04,25442
1599732600.0,333.91,335.65,333.6,334.5,29585
1599733200.0,333.92,335.1,333.56,333.9,75311
1599796800.0,335.19,336.53,334.6,335.82,23147
1599797400.0,336.08,336.15,334.46,335.18,14776
1599798000.0,334.18,336.33,333.94,336.1,22404
1599798600.0,334.6,335.35,333.91,334.17,22040
1599799200.0,335.46,335.58,333.71,334.61,20767
1599799800.0,335.46,336.05,335.26,335.47,14392
1599800400.0,335.14,335.86,334.54,335.46,14693
1599801000.0,336.39,336.47,335.05,335.12,12303
1599801600.0,335.62,336.59,335.56,336.42,12689
1599802200.0,336.92,336.97,335.52,335.65,11100
1599802800.0,336.64,336.93,336.09,336.93,11017
1599803400.0,335.56,336.7,335.26,336.61,14642
1599804000.0,335.23,335.57,334.7,335.55,10380
1599804600.0,335.21,335.46,334.82,335.23,6167
1599805200.0,334.8,335.39,334.75,335.21,7918
1599805800.0,335.39,335.57,334.38,334.79,8095
1599806400.0,335.42,335.52,334.9,335.34,6554
1599807000.0,335.24,335.86,335.21,335.43,6283
1599807600.0,334.2,335.23,334.03,335.23,11420
1599808200.0,334.02,334.24,333.51,334.19,11541
1599808800.0,333.14,334.46,333.06,334.02,13377
1599809400.0,332.58,333.53,332.22,333.14,16242
1599810000.0,332.44,332.85,331.75,332.59,21413
1599810600.0,331.7,332.6,331.59,332.47,12367
1599811200.0,331.99,332.11,331.0,331.7,21644
1599811800.0,332.32,332.57,331.73,331.97,12623
1599812400.0,331.48,332.73,331.45,332.32,11570
1599813000.0,332.53,332.63,331.12,331.48,13970
1599813600.0,332.66,333.13,332.25,332.53,11698
1599814200.0,332.41,333.04,332.22,332.68,8917
1599814800.0,333.94,334.06,332.4,332.41,17134
1599815400.0,333.55,334.23,333.44,333.94,14041
1599816000.0,333.62,334.32,333.43,333.56,13031
1599816600.0,332.65,333.8,332.58,333.6,14706
1599817200.0,333.84,333.96,332.36,332.64,16015
1599817800.0,334.71,334.92,333.68,333.84,18474
1599818400.0,334.3,335.36,334.03,334.73,24895
1599819000.0,334.36,334.68,333.85,334.29,24306
1599819600.0,334.08,334.61,333.82,334.36,39770
1600056000.0,337.59,337.97,336.93,337.49,18228
1600056600.0,338.83,338.94,337.53,337.6,19757
1600057200.0,338.94,339.06,338.56,338.83,13093
1600057800.0,339.65,339.77,338.76,338.94,17066
1600058400.0,340.03,340.04,339.42,339.63,13070
1600059000.0,340.19,340.38,339.95,340.03,12939
1600059600.0,339.63,340.23,339.6,340.19,12410
1600060200.0,339.7,339.97,339.56,339.62,6634
1600060800.0,339.69,340.04,339.47,339.7,6330
1600061400.0,339.73,339.94,339.57,339.69,6613
1600062000.0,339.44,339.77,339.21,339.72,7359
1600062600.0,339.77,339.82,339.44,339.44,4482
1600063200.0,340.08,340.1,339.73,339.79,7155
1600063800.0,339.67,340.22,339.62,340.08,5711
1600064400.0,339.81,339.93,339.59,339.68,4804
1600065000.0,340.03,340.08,339.63,339.78,6040
1600065600.0,339.7,340.04,339.6,340.02,4842
1600066200.0,339.73,339.78,339.41,339.69,6088
1600066800.0,339.52,339.91,339.44,339.72,5728
1600067400.0,339.45,339.8,339.45,339.5,3921
1600068000.0,339.58,339.7,339.25,339.46,6018
1600068600.0,338.99,339.84,338.94,339.57,6900
1600069200.0,338.46,339.14,338.37,339.0,9142
1600069800.0,338.76,338.78,338.21,338.44,9169
1600070400.0,338.43,338.88,338.08,338.76,11585
1600071000.0,338.73,338.84,338.22,338.43,5226
1600071600.0,338.9,339.11,338.73,338.73,4795
1600072200.0,339.24,339.28,338.51,338.9,5828
1600072800.0,339.19,339.34,339.07,339.24,4581
1600073400.0,338.84,339.39,338.77,339.19,6482
1600074000.0,338.74,339.09,338.64,338.85,4799
1600074600.0,338.71,339.14,338.44,338.73,8503
1600075200.0,338.68,339.17,337.9,338.73,16145
1600075800.0,338.53,338.87,338.17,338.69,9594
1600076400.0,338.53,338.65,337.9,338.52,13942
1600077000.0,338.33,338.53,337.54,338.53,13060
1600077600.0,338.8,338.91,338.0,338.34,16554
1600078200.0,339.75,339.82,338.77,338.8,39229
1600078800.0,338.42,339.77,338.3,339.74,58046
1600142400.0,341.69,341.73,341.06,341.12,18898
1600143000.0,341.33,342.02,341.24,341.68,12811
1600143600.0,341.61,341.68,341.26,341.32,10720
1600144200.0,341.64,341.98,341.45,341.61,10456
1600144800.0,341.51,341.79,341.3,341.65,7587
1600145400.0,341.35,341.55,340.8,341.5,11889
1600146000.0,341.31,341.81,341.21,341.36,9396
1600146600.0,341.27,341.3,340.6,341.3,11417
1600147200.0,341.52,341.56,341.08,341.27,6307
1600147800.0,341.75,341.84,341.47,341.52,8905
1600148400.0,341.64,341.9,341.46,341.76,8128
1600149000.0,341.58,341.67,341.24,341.63,9754
1600149600.0,341.76,341.87,341.49,341.57,5902
1600150200.0,341.52,341.81,341.41,341.77,8694
1600150800.0,341.31,341.56,341.08,341.52,9700
1600151400.0,341.41,341.66,341.27,341.31,5404
1600152000.0,341.58,341.58,341.26,341.4,3930
1600152600.0,341.58,341.68,341.29,341.57,5162
1600153200.0,341.63,341.66,341.5,341.56,3149
1600153800.0,341.59,341.75,341.58,341.63,3648
1600154400.0,341.69,341.69,341.5,341.59,4426
1600155000.0,341.8,341.91,341.62,341.68,8138
1600155600.0,341.77,341.95,341.7,341.79,4018
1600156200.0,341.5,341.81,341.42,341.77,6340
1600156800.0,341.56,341.62,341.28,341.5,3898
1600157400.0,341.48,341.64,341.38,341.56,3914
1600158000.0,341.17,341.5,341.12,341.48,4117
1600158600.0,340.57,341.23,340.43,341.16,10729
1600159200.0,340.76,340.86,340.56,340.57,5809
1600159800.0,340.81,340.93,340.58,340.76,6654
1600160400.0,340.66,340.84,340.44,340.83,5189
1600161000.0,340.94,340.97,340.66,340.67,5815
1600161600.0,340.85,341.01,340.64,340.94,6817
1600162200.0,339.9,340.89,339.71,340.87,15064
1600162800.0,339.94,340.15,339.74,339.91,13364
1600163400.0,339.98,340.09,339.6,339.93,14920
1600164000.0,339.28,340.05,339.02,339.98,19291
1600164600.0,339.86,339.88,339.05,339.28,22835
1600165200.0,340.15,340.4,339.6,339.86,39736
1600228800.0,341.56,341.69,341.13,341.53,15917
1600229400.0,341.0,341.72,340.72,341.56,11475
1600230000.0,341.42,341.43,340.92,341.0,7034
1600230600.0,341.53,341.69,341.34,341.41,8119
1600231200.0,341.3,341.79,341.19,341.53,8993
1600231800.0,341.1,341.5,340.9,341.29,9128
1600232400.0,340.91,341.22,340.6,341.1,9433
1600233000.0,340.49,341.15,340.31,340.91,9993
1600233600.0,341.06,341.25,340.48,340.49,10262
1600234200.0,341.56,341.71,341.01,341.06,10818
1600234800.0,342.18,342.18,341.41,341.56,9726
1600235400.0,342.18,342.36,342.02,342.18,10302
1600236000.0,342.03,342.3,341.99,342.19,9095
1600236600.0,341.98,342.17,341.91,342.04,5255
1600237200.0,341.67,342.0,341.67,341.97,5814
1600237800.0,341.73,341.95,341.64,341.68,4803
1600238400.0,341.43,341.83,341.33,341.73,6860
