,close,high,low,open,volume
1599105600.0,356.16,356.16,355.74,355.86,6818
1599105660.0,356.13,356.38,356.09,356.16,3678
1599105720.0,355.95,356.14,355.87,356.13,2896
1599105780.0,356.22,356.27,355.68,355.96,1834
1599105840.0,355.62,356.29,355.6,356.22,1889
1599105900.0,355.71,355.81,355.45,355.63,3306
1599105960.0,355.82,356.11,355.71,355.72,1707
1599106020.0,355.77,355.83,355.62,355.81,1778
1599106080.0,355.93,356.02,355.74,355.77,1777
1599106140.0,356.11,356.16,355.88,355.93,1754
1599106200.0,355.72,356.1,355.64,356.1,1703
1599106260.0,355.61,355.81,355.57,355.71,2594
1599106320.0,355.36,355.74,355.33,355.61,2462
1599106380.0,355.3,355.5,355.29,355.35,2459
1599106440.0,355.38,355.4,355.18,355.3,2069
1599106500.0,355.45,355.55,355.25,355.38,2852
1599106560.0,355.75,355.75,355.26,355.46,2848
1599106620.0,356.07,356.15,355.67,355.75,2693
1599106680.0,356.17,356.22,355.92,356.06,2447
1599106740.0,356.06,356.18,355.95,356.18,2017
1599106800.0,355.88,356.06,355.78,356.06,1600
1599106860.0,355.83,355.98,355.75,355.88,1890
1599106920.0,355.51,355.84,355.37,355.81,1611
1599106980.0,355.36,355.62,355.31,355.53,1491
1599107040.0,355.19,355.47,355.18,355.36,1998
1599107100.0,355.48,355.52,355.16,355.18,1456
1599107160.0,355.71,355.79,355.5,355.5,1156
1599107220.0,355.64,355.81,355.57,355.69,660
1599107280.0,355.48,355.65,355.43,355.65,1074
1599107340.0,355.8,355.82,355.45,355.46,914
1599107400.0,355.67,355.87,355.59,355.77,1434
1599107460.0,355.91,355.92,355.55,355.63,1067
1599107520.0,355.78,355.9,355.67,355.9,794
1599107580.0,355.51,355.81,355.48,355.79,1355
1599107640.0,355.55,355.68,355.49,355.52,1114
1599107700.0,355.29,355.58,355.23,355.56,1202
1599107760.0,354.86,355.32,354.85,355.27,2824
1599107820.0,354.75,354.94,354.68,354.86,2521
1599107880.0,354.7,354.76,354.68,354.75,1986
1599107940.0,354.57,354.7,354.54,354.69,2002
1599108000.0,354.58,354.83,354.49,354.57,2256
1599108060.0,354.51,354.71,354.48,354.59,1047
1599108120.0,354.39,354.61,354.34,354.5,2312
1599108180.0,354.48,354.57,354.38,354.38,1297
1599108240.0,354.67,354.69,354.47,354.47,1183
1599108300.0,354.21,354.69,354.2,354.69,1655
1599108360.0,354.22,354.26,354.12,354.21,2247
1599108420.0,353.99,354.2,353.97,354.19,1824
1599108480.0,353.81,354.02,353.8,353.99,2234
1599108540.0,353.73,353.81,353.6,353.8,2484
1599108600.0,353.24,353.81,353.22,353.74,2507
1599108660.0,353.31,353.5,353.17,353.23,2606
1599108720.0,352.98,353.51,352.95,353.3,2614
1599108780.0,352.64,353.21,352.62,352.97,3579
1599108840.0,352.27,352.64,352.01,352.64,6711
1599108900.0,352.88,353.04,352.27,352.28,4620
1599108960.0,352.85,352.98,352.51,352.87,3335
1599109020.0,352.67,352.92,352.56,352.86,2921
1599109080.0,352.57,352.86,352.52,352.71,2200
1599109140.0,352.74,352.75,352.25,352.59,3252
1599109200.0,352.47,352.77,352.05,352.74,2350
1599109260.0,352.63,352.63,352.38,352.43,1875
1599109320.0,353.01,353.13,352.63,352.65,2301
1599109380.0,352.91,353.15,352.9,353.0,2172
1599109440.0,352.63,352.91,352.55,352.9,1681
1599109500.0,352.55,352.74,352.48,352.63,2604
1599109560.0,352.41,352.77,352.41,352.55,3290
1599109620.0,352.3,352.83,352.23,352.41,2722
1599109680.0,351.8,352.38,351.71,352.29,3033
1599109740.0,351.81,351.96,351.41,351.8,4906
1599109800.0,352.03,352.1,351.81,351.81,3769
1599109860.0,352.07,352.23,351.95,352.03,2949
1599109920.0,351.79,352.11,351.79,352.07,3033
1599109980.0,351.93,351.95,351.74,351.79,3885
1599110040.0,351.72,351.98,351.54,351.95,4059
1599110100.0,351.86,351.89,351.42,351.73,4828
1599110160.0,351.39,351.88,351.35,351.86,6289
1599110220.0,351.35,351.51,351.19,351.38,6025
1599110280.0,350.66,351.35,350.53,351.35,6146
1599110340.0,350.42,350.9,350.35,350.64,3597
1599110400.0,351.13,351.14,350.42,350.42,3877
1599110460.0,351.1,351.15,350.87,351.15,2341
1599110520.0,351.52,351.52,351.02,351.09,3771
1599110580.0,351.27,351.54,351.18,351.52,3685
1599110640.0,351.62,351.7,350.98,351.27,3035
1599110700.0,350.79,351.62,350.78,351.62,2705
1599110760.0,351.17,351.23,350.72,350.8,1453
1599110820.0,351.41,351.48,350.99,351.16,1916
1599110880.0,351.5,351.6,351.35,351.37,1339
1599110940.0,351.32,351.49,351.16,351.49,1707
1599111000.0,351.0,351.48,350.96,351.33,1304
1599111060.0,350.53,351.1,350.51,350.98,2932
1599111120.0,350.48,350.88,350.46,350.52,2614
1599111180.0,350.68,350.68,350.3,350.48,2601
1599111240.0,349.91,350.75,349.84,350.67,3680
1599111300.0,349.62,350.19,349.39,349.89,4647
1599111360.0,349.26,349.9,348.98,349.62,5311
1599111420.0,349.13,349.52,349.04,349.29,2675
1599111480.0,348.4,349.28,348.35,349.14,5531
1599111540.0,348.77,348.82,348.3,348.41,6579
1599111600.0,349.12,349.22,348.79,348.8,4959
1599111660.0,349.08,349.18,348.84,349.12,2821
1599111720.0,348.92,349.28,348.9,349.07,4845
1599111780.0,348.69,349.0,348.49,348.93,4007
1599111840.0,348.74,349.15,348.66,348.7,3650
1599111900.0,348.09,348.77,347.89,348.74,5838
1599111960.0,347.89,348.44,347.88,348.1,4370
1599112020.0,347.37,348.0,347.34,347.88,5569
1599112080.0,346.29,347.39,346.28,347.36,7974
1599112140.0,345.43,346.64,345.31,346.31,12558
1599112200.0,345.63,346.46,345.25,345.4,11199
1599112260.0,345.88,346.18,345.2,345.62,9588
1599112320.0,345.69,346.23,345.44,345.87,8381
1599112380.0,346.53,346.59,345.53,345.68,7441
1599112440.0,346.31,346.68,346.1,346.53,7144
1599112500.0,346.41,346.59,346.06,346.31,5009
1599112560.0,347.08,347.12,346.38,346.42,5634
1599112620.0,347.23,347.3,346.72,347.08,4232
1599112680.0,346.78,347.32,346.64,347.24,4515
1599112740.0,347.28,347.34,346.63,346.8,2228
1599112800.0,347.33,347.33,346.86,347.28,2945
1599112860.0,347.77,347.89,347.17,347.31,3847
1599112920.0,347.65,347.79,347.35,347.77,4155
1599112980.0,347.55,347.71,347.26,347.66,3501
1599113040.0,347.44,347.73,347.27,347.55,2322
1599113100.0,347.13,347.61,346.85,347.46,4085
1599113160.0,346.88,347.26,346.87,347.12,3071
1599113220.0,347.59,347.66,346.51,346.88,7220
1599113280.0,347.84,347.88,347.42,347.57,3266
1599113340.0,348.26,348.37,347.77,347.83,3772
1599113400.0,348.84,348.96,348.21,348.26,7473
