,close,high,low,open,volume
1598414400.0,344.61,344.8,344.58,344.74,3818
1598414460.0,344.43,344.64,344.3,344.61,2210
1598414520.0,344.49,344.49,344.26,344.43,1549
1598414580.0,344.4,344.49,344.33,344.48,1043
1598414640.0,344.51,344.52,344.31,344.4,1922
1598414700.0,344.59,344.6,344.46,344.5,1413
1598414760.0,344.44,344.6,344.39,344.58,1560
1598414820.0,344.41,344.49,344.37,344.44,1589
1598414880.0,344.44,344.48,344.33,344.41,1003
1598414940.0,344.49,344.5,344.41,344.44,1340
1598415000.0,344.49,344.51,344.42,344.48,795
1598415060.0,344.49,344.54,344.45,344.48,575
1598415120.0,344.52,344.53,344.45,344.49,502
1598415180.0,344.42,344.53,344.42,344.53,466
1598415240.0,344.31,344.45,344.31,344.43,636
1598415300.0,344.27,344.33,344.17,344.31,2402
1598415360.0,344.52,344.55,344.27,344.27,1514
1598415420.0,344.48,344.56,344.4,344.53,1006
1598415480.0,344.62,344.62,344.48,344.49,1320
1598415540.0,344.68,344.68,344.61,344.62,615
1598415600.0,344.66,344.68,344.61,344.68,620
1598415660.0,344.62,344.67,344.57,344.66,694
1598415720.0,344.51,344.62,344.5,344.61,586
1598415780.0,344.49,344.57,344.44,344.51,493
1598415840.0,344.41,344.51,344.38,344.49,872
1598415900.0,344.49,344.54,344.38,344.41,1012
1598415960.0,344.61,344.62,344.48,344.49,591
1598416020.0,344.67,344.7,344.61,344.61,568
1598416080.0,344.71,344.74,344.67,344.67,979
1598416140.0,344.66,344.74,344.66,344.72,465
1598416200.0,344.69,344.73,344.64,344.68,720
1598416260.0,344.55,344.72,344.5,344.68,1281
1598416320.0,344.49,344.62,344.48,344.56,615
1598416380.0,344.49,344.59,344.45,344.49,1264
1598416440.0,344.64,344.64,344.49,344.5,712
1598416500.0,344.74,344.78,344.65,344.65,722
1598416560.0,344.79,344.81,344.72,344.74,672
1598416620.0,344.75,344.8,344.74,344.8,638
1598416680.0,344.73,344.79,344.72,344.75,545
1598416740.0,344.8,344.8,344.69,344.71,446
1598416800.0,344.79,344.84,344.74,344.79,615
1598416860.0,344.73,344.82,344.69,344.79,619
1598416920.0,344.68,344.74,344.62,344.73,844
1598416980.0,344.67,344.72,344.65,344.69,315
1598417040.0,344.61,344.67,344.6,344.67,408
1598417100.0,344.76,344.77,344.61,344.61,833
1598417160.0,344.73,344.76,344.69,344.76,449
1598417220.0,344.81,344.83,344.72,344.73,403
1598417280.0,344.78,344.84,344.77,344.82,1064
1598417340.0,344.78,344.8,344.77,344.78,441
1598417400.0,344.72,344.79,344.68,344.79,445
1598417460.0,344.74,344.77,344.71,344.73,992
