,close,high,low,open,volume
1599105600.0,153.09,157.23,152.45,157.0,8762
1599105900.0,154.76,154.93,152.66,153.03,4940
1599106200.0,153.33,154.84,153.25,154.74,2593
1599106500.0,153.42,153.9,152.63,153.27,2790
1599106800.0,153.2,153.91,152.75,153.25,2926
1599107100.0,156.27,156.27,153.17,153.22,3429
1599107400.0,155.97,156.52,155.4,156.23,1751
1599107700.0,154.65,155.95,154.47,155.95,1432
1599108000.0,154.07,154.99,153.94,154.71,1649
1599108300.0,151.91,154.14,151.81,154.14,3047
1599108600.0,152.21,152.75,151.79,151.99,2722
1599108900.0,152.56,152.87,152.1,152.21,1756
1599109200.0,152.32,152.86,151.9,152.48,1618
1599109500.0,152.25,153.0,151.85,152.27,3157
1599109800.0,151.68,152.73,151.57,152.26,1935
1599110100.0,150.04,151.91,149.51,151.61,4592
1599110400.0,152.7,152.87,150.08,150.08,2594
1599110700.0,153.09,153.4,152.5,152.74,2362
1599111000.0,152.5,153.32,152.1,153.09,1519
1599111300.0,151.66,152.76,151.24,152.42,2004
1599111600.0,151.41,152.34,151.23,151.83,1506
1599111900.0,149.94,151.49,149.8,151.41,1944
1599112200.0,150.08,150.7,149.66,150.06,2116
1599112500.0,151.62,151.76,149.87,150.1,1620
1599112800.0,151.69,152.33,151.28,151.62,1770
1599113100.0,152.86,152.92,151.31,151.68,1636
1599113400.0,153.37,153.59,152.69,152.8,2186
1599113700.0,154.33,154.62,153.22,153.36,1964
1599114000.0,155.25,155.44,154.32,154.33,1712
1599114300.0,153.35,155.27,152.85,155.24,1538
1599114600.0,153.49,153.84,152.63,153.33,1193
1599114900.0,154.02,154.57,153.41,153.62,1247
1599115200.0,154.07,154.89,153.81,154.15,708
1599115500.0,153.99,154.6,153.58,154.18,663
1599115800.0,153.8,154.16,153.6,154.07,1182
1599116100.0,153.81,153.97,153.51,153.78,1746
1599116400.0,153.44,153.96,153.3,153.9,1616
1599116700.0,153.8,154.15,152.78,153.46,1732
1599117000.0,153.14,154.05,153.03,153.76,1430
1599117300.0,152.86,153.91,152.81,153.14,1135
1599117600.0,153.39,153.63,152.64,152.94,3050
1599117900.0,153.4,153.8,153.22,153.3,1054
1599118200.0,153.26,153.64,152.94,153.42,1703
1599118500.0,153.4,153.75,152.8,153.29,652
1599118800.0,153.9,154.06,153.3,153.47,427
1599119100.0,153.39,153.98,153.23,153.98,389
1599119400.0,153.56,153.84,153.1,153.47,424
1599119700.0,154.39,154.49,153.41,153.59,551
1599120000.0,153.21,154.44,153.11,154.34,665
1599120300.0,153.0,153.66,152.83,153.21,528
1599120600.0,153.17,153.5,152.98,152.98,423
1599120900.0,152.88,153.4,152.86,153.22,591
1599121200.0,153.54,153.71,152.93,152.94,528
1599121500.0,153.63,153.74,153.35,153.5,422
1599121800.0,153.82,154.2,153.48,153.62,560
1599122100.0,153.57,154.05,153.51,153.88,237
1599122400.0,153.21,153.93,153.02,153.65,405
1599122700.0,153.16,153.25,152.89,153.12,446
1599123000.0,153.0,153.32,152.82,153.03,551
1599123300.0,153.51,153.53,152.87,152.98,530
1599123600.0,153.4,153.95,153.22,153.48,588
1599123900.0,153.11,153.66,153.11,153.27,313
1599124200.0,153.14,153.48,152.82,153.25,374
