,close,high,low,open,volume
1598414400.0,156.64,156.72,156.02,156.09,1021
1598414460.0,156.55,156.88,156.45,156.61,209
1598414520.0,155.81,156.51,155.4,156.5,313
1598414580.0,155.75,156.22,155.43,156.01,163
1598414640.0,155.72,156.09,155.6,155.8,241
1598414700.0,156.38,156.38,155.84,155.92,122
1598414760.0,156.68,156.83,156.35,156.35,254
1598414820.0,156.88,157.05,156.58,156.79,296
1598414880.0,156.94,157.16,156.55,156.72,398
1598414940.0,156.95,157.18,156.8,156.91,286
1598415000.0,156.89,157.1,156.59,156.92,271
1598415060.0,157.13,157.25,156.87,156.96,152
1598415120.0,157.28,157.36,157.06,157.24,228
1598415180.0,157.68,157.69,157.06,157.25,393
1598415240.0,157.53,158.0,157.28,157.48,313
1598415300.0,157.76,157.88,157.52,157.68,230
1598415360.0,157.95,158.2,157.79,157.87,372
1598415420.0,158.06,158.19,157.85,157.85,234
1598415480.0,158.5,158.69,158.1,158.1,412
1598415540.0,158.16,158.41,157.88,158.38,129
1598415600.0,158.0,158.24,157.77,158.24,275
1598415660.0,157.69,158.25,157.56,158.02,169
1598415720.0,157.46,157.73,157.41,157.68,261
1598415780.0,157.25,157.66,157.12,157.43,338
1598415840.0,157.0,157.36,156.95,157.28,256
1598415900.0,157.4,157.7,157.1,157.1,252
1598415960.0,157.64,157.85,157.36,157.36,201
1598416020.0,157.78,157.99,157.52,157.72,183
1598416080.0,157.55,157.88,157.55,157.73,179
1598416140.0,157.49,157.72,157.39,157.58,141
1598416200.0,157.63,157.72,157.21,157.46,136
1598416260.0,156.75,157.71,156.68,157.71,231
1598416320.0,156.72,157.07,156.53,156.75,163
1598416380.0,156.48,156.9,156.48,156.62,132
1598416440.0,156.73,156.86,156.47,156.49,85
1598416500.0,157.08,157.09,156.69,156.73,109
1598416560.0,157.14,157.14,156.83,157.05,95
1598416620.0,156.86,157.13,156.71,157.05,92
1598416680.0,156.62,156.82,156.62,156.81,82
1598416740.0,156.75,156.89,156.6,156.67,70
1598416800.0,156.2,156.73,156.02,156.7,212
1598416860.0,156.09,156.31,155.87,156.18,206
1598416920.0,156.25,156.39,156.1,156.16,129
1598416980.0,156.13,156.45,156.01,156.26,97
1598417040.0,155.95,156.14,155.83,156.14,152
1598417100.0,156.17,156.18,155.87,155.88,172
1598417160.0,156.15,156.24,156.02,156.23,92
1598417220.0,156.47,156.7,156.19,156.19,168
1598417280.0,156.57,156.66,156.36,156.5,69
1598417340.0,156.45,156.6,156.42,156.5,61
1598417400.0,156.4,156.44,156.24,156.44,131
1598417460.0,156.73,156.75,156.39,156.39,111
1598417520.0,156.38,156.85,156.35,156.7,152
1598417580.0,156.48,156.51,156.3,156.37,67
1598417640.0,156.71,156.71,156.35,156.5,117
1598417700.0,156.55,156.79,156.51,156.69,71
1598417760.0,156.47,156.55,156.33,156.54,31
1598417820.0,156.18,156.45,156.06,156.43,181
1598417880.0,156.17,156.3,156.12,156.15,68
1598417940.0,156.33,156.41,155.95,156.02,226
1598418000.0,156.75,156.8,156.38,156.39,95
1598418060.0,156.59,156.84,156.5,156.75,116
1598418120.0,156.57,156.74,156.44,156.57,121
1598418180.0,156.12,156.65,156.02,156.65,128
1598418240.0,156.33,156.44,156.07,156.1,56
1598418300.0,156.51,156.51,156.33,156.33,92
1598418360.0,156.65,156.7,156.52,156.58,70
1598418420.0,156.55,156.64,156.47,156.63,55
1598418480.0,156.66,156.69,156.54,156.55,31
1598418540.0,156.54,156.65,156.48,156.6,24
1598418600.0,156.7,156.8,156.52,156.53,55
1598418660.0,156.95,157.07,156.75,156.77,115
