,close,high,low,open,volume
1599796800.0,142.25,143.9,142.06,143.88,982
1599796860.0,142.01,142.52,141.9,142.3,253
1599796920.0,140.7,142.23,140.58,142.23,320
1599796980.0,141.14,141.59,140.7,140.7,319
1599797040.0,140.21,141.21,140.0,141.16,413
1599797100.0,140.42,141.0,140.0,140.03,332
1599797160.0,140.05,140.4,139.59,140.32,343
1599797220.0,140.06,140.36,139.9,140.09,206
1599797280.0,140.25,140.9,140.0,140.06,383
1599797340.0,140.22,140.5,139.88,140.28,262
1599797400.0,141.33,141.44,140.06,140.21,369
1599797460.0,141.05,141.65,140.9,141.32,245
1599797520.0,140.63,141.05,140.29,141.05,137
1599797580.0,141.01,141.08,140.56,140.69,96
1599797640.0,140.69,141.13,140.52,141.09,90
1599797700.0,140.58,140.81,140.32,140.6,191
1599797760.0,140.6,140.8,140.46,140.66,98
1599797820.0,140.95,141.5,140.64,140.65,261
1599797880.0,141.2,141.79,140.83,140.93,254
1599797940.0,141.43,142.09,141.2,141.2,232
1599798000.0,141.19,141.99,141.03,141.77,174
1599798060.0,141.02,141.34,140.57,141.34,446
1599798120.0,140.71,141.08,140.63,140.98,131
1599798180.0,141.13,141.2,140.5,140.55,260
1599798240.0,140.97,141.47,140.97,141.16,197
1599798300.0,140.53,141.08,140.28,140.97,206
1599798360.0,139.86,140.42,139.68,140.42,601
1599798420.0,139.58,140.2,139.22,139.83,311
1599798480.0,139.31,139.91,139.27,139.47,265
1599798540.0,139.55,139.55,139.16,139.28,195
1599798600.0,139.72,139.85,139.34,139.53,212
1599798660.0,139.34,139.72,139.17,139.66,277
1599798720.0,138.86,139.51,138.68,139.26,551
1599798780.0,139.11,139.18,138.6,138.83,238
1599798840.0,139.39,139.7,139.06,139.09,277
1599798900.0,139.36,139.93,139.17,139.35,191
1599798960.0,138.98,139.52,138.96,139.37,194
1599799020.0,138.69,139.09,138.69,139.0,225
1599799080.0,139.0,139.18,138.6,138.71,131
1599799140.0,138.43,139.0,138.28,138.81,124
1599799200.0,138.22,138.49,138.01,138.49,556
1599799260.0,138.27,138.72,138.17,138.19,151
1599799320.0,138.96,139.1,138.26,138.26,411
1599799380.0,139.13,139.14,138.78,138.84,151
1599799440.0,139.13,139.31,138.96,138.98,214
1599799500.0,139.15,139.42,138.66,139.02,99
1599799560.0,139.2,139.5,139.07,139.22,186
1599799620.0,138.8,139.19,138.75,139.15,103
1599799680.0,138.9,139.06,138.64,138.67,197
1599799740.0,139.38,139.56,138.82,138.82,160
1599799800.0,139.76,139.88,139.38,139.45,244
1599799860.0,139.39,139.83,139.21,139.83,132
1599799920.0,140.28,140.33,139.43,139.43,228
1599799980.0,140.25,140.4,140.17,140.28,110
1599800040.0,140.16,140.31,140.05,140.22,242
1599800100.0,140.11,140.57,140.04,140.21,190
1599800160.0,139.66,140.34,139.63,140.09,115
1599800220.0,139.75,140.25,139.63,139.67,66
1599800280.0,140.02,140.29,139.82,139.95,80
1599800340.0,140.07,140.15,139.81,139.81,51
1599800400.0,140.04,140.33,139.94,140.08,126
1599800460.0,139.43,139.96,139.42,139.91,65
1599800520.0,139.79,139.83,139.14,139.38,126
1599800580.0,139.44,139.74,139.42,139.69,85
1599800640.0,139.26,139.44,139.01,139.44,96
1599800700.0,139.74,139.75,139.11,139.11,80
1599800760.0,139.9,139.91,139.6,139.75,53
1599800820.0,139.57,139.93,139.57,139.8,67
1599800880.0,139.41,139.65,139.0,139.65,101
1599800940.0,139.61,139.74,139.3,139.34,71
1599801000.0,139.74,139.83,139.48,139.5,91
1599801060.0,140.1,140.1,139.56,139.86,63
1599801120.0,139.93,140.15,139.84,140.15,56
1599801180.0,140.15,140.25,140.0,140.0,48
1599801240.0,140.16,140.28,140.07,140.27,42
1599801300.0,140.53,140.62,140.37,140.42,64
1599801360.0,140.68,140.75,140.45,140.45,84
1599801420.0,140.95,141.04,140.74,140.75,155
1599801480.0,140.79,141.09,140.78,141.0,141
1599801540.0,140.84,140.94,140.67,140.84,86
1599801600.0,140.84,141.0,140.71,140.87,58
1599801660.0,140.6,140.89,140.6,140.79,111
1599801720.0,140.63,140.68,140.4,140.55,202
1599801780.0,140.56,140.65,140.45,140.65,48
1599801840.0,140.28,140.56,140.26,140.56,80
1599801900.0,140.36,140.41,140.11,140.31,67
1599801960.0,139.99,140.41,139.99,140.27,35
1599802020.0,140.21,140.29,139.96,140.0,45
1599802080.0,140.1,140.28,139.92,140.14,101
1599802140.0,140.13,140.28,140.0,140.13,68
1599802200.0,140.34,140.38,140.1,140.28,63
1599802260.0,140.18,140.39,140.18,140.37,77
1599802320.0,140.37,140.44,140.1,140.1,79
1599802380.0,140.25,140.41,140.16,140.38,44
1599802440.0,140.23,140.35,140.14,140.23,49
1599802500.0,140.33,140.43,140.22,140.26,88
1599802560.0,140.16,140.42,140.03,140.34,12
1599802620.0,140.09,140.17,140.02,140.13,28
1599802680.0,140.29,140.29,140.07,140.08,79
1599802740.0,140.28,140.5,140.28,140.34,680
1599802800.0,140.26,140.34,140.11,140.28,689
1599802860.0,139.96,140.25,139.92,140.25,111
1599802920.0,140.28,140.38,140.03,140.03,83
1599802980.0,140.27,140.5,140.23,140.34,92
1599803040.0,140.32,140.34,140.05,140.31,87
1599803100.0,140.15,140.33,140.08,140.28,48
1599803160.0,140.25,140.46,140.14,140.15,61
1599803220.0,140.24,140.41,140.11,140.35,53
1599803280.0,140.49,140.67,140.27,140.3,161
1599803340.0,140.58,140.73,140.47,140.58,49
1599803400.0,140.43,140.69,140.34,140.51,72
1599803460.0,139.62,140.54,139.52,140.34,143
1599803520.0,139.58,139.82,139.57,139.57,74
1599803580.0,139.68,139.69,139.44,139.52,100
1599803640.0,139.56,139.56,139.35,139.54,77
1599803700.0,139.28,139.58,139.22,139.57,83
1599803760.0,139.44,139.64,139.19,139.28,95
1599803820.0,139.45,139.52,139.29,139.41,54
1599803880.0,139.43,139.61,139.29,139.39,97
1599803940.0,139.6,139.66,139.44,139.51,88
1599804000.0,139.18,139.54,139.12,139.52,91
1599804060.0,138.97,139.25,138.9,139.24,137
1599804120.0,138.77,138.96,138.7,138.91,194
1599804180.0,138.82,138.9,138.71,138.82,83
1599804240.0,138.98,138.98,138.8,138.87,91
1599804300.0,138.81,138.96,138.73,138.86,85
1599804360.0,138.77,138.93,138.7,138.81,77
1599804420.0,138.84,138.92,138.71,138.72,53
1599804480.0,138.87,138.93,138.81,138.84,78
